Number,Theme,Subtheme,Year,RRP (USD),Value new (USD)
2126-1,Trains,9V,1997,69.5,195.0
2129-1,Technic,,1997,7.0,20.16
2147-1,Town,Special,1997,28.0,23.02
2148-1,Town,Vehicles,1997,11.0,73.86
2151-1,Space,RoboForce,1997,12.0,60.58
2152-1,Space,RoboForce,1997,20.0,82.87
2153-1,Space,RoboForce,1997,30.0,90.0
2154-1,Space,RoboForce,1997,36.0,300.0
2160-1,Aquazone,Aquaraiders,1997,15.0,77.31
2161-1,Aquazone,Aquaraiders,1997,25.0,77.0
2162-1,Aquazone,Aquaraiders,1997,40.0,131.56
2601-1,Duplo,,1997,7.0,24.58
2604-1,Duplo,,1997,70.0,136.2
2806-1,Duplo,,1997,3.0,12.92
2845-1,Western,Indians,1997,0.0,24.1
2846-1,Western,Indians,1997,0.0,29.54
2878-1,Basic,Seasonal,1997,2.0,4.75
2886-1,Town,Racing,1997,2.0,10.35
3200-1,Scala,Dolls,1997,16.5,72.88
3241-1,Scala,Dolls,1997,22.0,49.95
3243-1,Scala,Dolls,1997,26.5,190.0
3270-1,Scala,Dolls,1997,76.0,242.42
4137-1,Freestyle,,1997,15.0,18.59
4139-1,Freestyle,,1997,23.0,45.97
4157-1,Freestyle,,1997,1.5,7.98
5201-1,Service Packs,Technic,1997,4.0,3.86
5202-1,Service Packs,Technic,1997,4.0,5.51
5227-1,Service Packs,,1997,3.0,16.26
5228-1,Service Packs,Technic,1997,4.5,5.37
5229-1,Service Packs,Technic,1997,4.0,13.46
5391-1,Service Packs,,1997,5.0,12.39
5392-1,Service Packs,Western,1997,5.0,33.17
5393-1,Service Packs,,1997,3.0,15.63
5394-1,Service Packs,,1997,4.5,39.57
5561-1,Model Team,,1997,88.0,325.0
6007-1,Castle,Fright Knights,1997,4.5,112.79
6027-1,Castle,Fright Knights,1997,6.75,49.78
6037-1,Castle,Fright Knights,1997,8.0,53.65
6087-1,Castle,Fright Knights,1997,44.0,360.48
6097-1,Castle,Fright Knights,1997,80.0,419.98
6099-1,Castle,Fright Knights,1997,20.0,247.86
6204-1,Pirates,Accessories,1997,6.0,150.0
6249-1,Pirates,,1997,22.0,399.99
6250-1,Pirates,,1997,33.0,752.42
6281-1,Pirates,,1997,73.0,1408.73
6320-1,Town,Accessories,1997,6.0,37.99
6321-1,Town,Accessories,1997,6.0,23.53
6322-1,Town,Accessories,1997,6.0,19.99
6323-1,Town,Accessories,1997,6.99,13.89
6406-1,Town,Racing,1997,2.0,18.07
6407-1,Town,Fire,1997,5.5,11.87
6417-1,Town,Paradisa,1997,4.0,39.66
6441-1,Town,Divers,1997,60.0,213.58
6442-1,Town,Divers,1997,20.0,138.72
6444-1,Town,Outback,1997,20.0,208.55
6486-1,Town,Fire,1997,10.0,28.29
6487-1,Town,Outback,1997,6.0,23.99
6489-1,Town,Paradisa,1997,13.25,235.2
6490-1,Town,Outback,1997,15.0,124.04
6495-1,Time Cruisers,Time Twisters,1997,10.0,34.38
6496-1,Time Cruisers,Time Twisters,1997,22.0,162.67
6497-1,Time Cruisers,Time Twisters,1997,38.5,140.14
6499-1,Time Cruisers,Time Twisters,1997,10.0,34.83
6547-1,Town,Paradisa,1997,27.5,349.95
6548-1,Town,City,1997,24.0,71.8
6549-1,Town,Vehicles,1997,30.0,73.0
6550-1,Town,Outback,1997,4.0,30.81
6553-1,Town,Outback,1997,12.0,44.0
6554-1,Town,Fire,1997,44.0,95.0
6555-1,Town,Divers,1997,4.5,44.9
6556-1,Town,Divers,1997,8.75,25.28
6557-1,Town,Divers,1997,22.0,199.0
6558-1,Town,Divers,1997,30.0,102.84
6559-1,Town,Divers,1997,44.0,210.0
6560-1,Town,Divers,1997,79.0,396.59
6564-1,Town,Maintenance,1997,7.25,15.62
6565-1,Town,Construction,1997,16.5,27.98
6566-1,Town,City,1997,15.0,81.14
6599-1,Town,Divers,1997,10.0,44.45
6706-1,Western,Cowboys,1997,6.0,73.71
6709-1,Western,Indians,1997,4.0,52.84
6718-1,Western,Indians,1997,8.0,91.15
6746-1,Western,Indians,1997,20.0,274.32
6748-1,Western,Indians,1997,40.0,450.64
6766-1,Western,Indians,1997,60.0,399.98
6790-1,Western,Cowboys,1997,2.0,27.31
6791-1,Western,Cowboys,1997,2.0,20.33
6799-1,Western,Cowboys,1997,10.0,149.0
6816-1,Space,UFO,1997,2.0,19.98
6818-1,Space,UFO,1997,3.0,18.42
6829-1,Space,UFO,1997,6.0,46.11
6836-1,Space,UFO,1997,4.0,30.0
6900-1,Space,UFO,1997,22.0,169.56
6915-1,Space,UFO,1997,30.0,284.74
6975-1,Space,UFO,1997,60.0,559.63
6979-1,Space,UFO,1997,80.0,354.29
6999-1,Space,UFO,1997,20.0,168.31
8205-1,Technic,,1997,7.0,23.73
8215-1,Technic,,1997,8.0,38.72
8216-1,Technic,,1997,10.0,32.69
8229-1,Technic,,1997,22.0,44.95
8232-1,Technic,,1997,25.0,69.64
8250-1,Technic,,1997,49.5,125.55
8277-1,Technic,,1997,40.0,143.66
8299-1,Technic,,1997,50.0,108.62
8414-1,Technic,,1997,30.0,64.95
8437-1,Technic,,1997,54.0,112.08
8459-1,Technic,,1997,82.0,322.64
8479-1,Technic,,1997,164.0,705.23
8735-1,Technic,Supplementary,1997,40.0,34.22
9291-1,Dacta,,1997,59.5,167.25
9376-1,Dacta,Castle,1997,63.5,195.0
9615-1,Dacta,Technic,1997,32.0,44.55
9630-1,Dacta,Technic,1997,80.0,136.16
624-1,Basic,Supplementaries,1996,26.0,32.44
626-1,Basic,Supplementaries,1996,4.99,7.25
627-1,Basic,Supplementaries,1996,5.5,11.99
628-1,Basic,Supplementaries,1996,14.99,15.16
630-1,Basic,Supplementaries,1996,2.49,1.25
639-1,Basic,Supplementaries,1996,19.75,42.43
1728-1,Aquazone,Aquanauts,1996,10.0,54.0
1737-1,Space,Exploriens,1996,20.0,89.98
1747-1,Pirates,,1996,2.0,36.03
1749-1,Aquazone,Aquanauts,1996,2.0,9.82
1802-1,Pirates,,1996,2.0,24.99
1804-1,Castle,Royal Knights,1996,2.0,37.2
1808-1,Town,Special,1996,10.0,113.94
1817-1,Town,Special,1996,15.0,53.95
1821-1,Town,Racing,1996,11.0,125.0
1854-1,Town,Special,1996,23.0,171.59
2150-1,Trains,9V,1996,73.0,493.81
2673-1,Duplo,,1996,7.0,5.0
