Number,Theme,Subtheme,Year,RRP (USD),Value new (USD)
60077-1,City,Space,2015,9.99,15.28
60078-1,City,Space,2015,24.99,36.4
60079-1,City,Space,2015,49.99,52.81
60080-1,City,Space,2015,119.99,138.7
60081-1,City,Great Vehicles,2015,19.99,37.79
60082-1,City,Great Vehicles,2015,19.99,29.07
60083-1,City,Great Vehicles,2015,19.99,38.39
60084-1,City,Great Vehicles,2015,19.99,37.86
60085-1,City,Great Vehicles,2015,29.99,54.0
60086-1,City,Town,2015,29.99,30.73
60088-1,City,Fire,2015,9.99,13.82
60090-1,City,Deep Sea Explorers,2015,6.99,18.53
60091-1,City,Deep Sea Explorers,2015,9.99,30.07
60092-1,City,Deep Sea Explorers,2015,39.99,64.93
60093-1,City,Deep Sea Explorers,2015,49.99,86.32
60095-1,City,Deep Sea Explorers,2015,119.99,185.91
60096-1,City,Deep Sea Explorers,2015,99.99,130.79
60097-1,City,Town,2015,189.99,196.82
60098-1,City,Trains,2015,199.99,299.83
60099-1,City,Seasonal,2015,29.99,27.22
70166-1,Ultra Agents,,2015,9.99,18.0
70167-1,Ultra Agents,,2015,19.99,39.73
70168-1,Ultra Agents,,2015,29.99,35.43
70169-1,Ultra Agents,,2015,49.99,39.31
70170-1,Ultra Agents,,2015,79.99,98.33
70171-1,Ultra Agents,,2015,19.99,104.3
70172-1,Ultra Agents,,2015,69.99,100.0
70173-1,Ultra Agents,,2015,99.99,344.58
70220-1,Legends of Chima,Fire vs. Ice,2015,14.99,19.89
70221-1,Legends of Chima,Fire vs. Ice,2015,19.99,34.0
70222-1,Legends of Chima,Fire vs. Ice,2015,29.99,57.14
70223-1,Legends of Chima,Fire vs. Ice,2015,49.99,90.0
70224-1,Legends of Chima,Fire vs. Ice,2015,79.99,162.46
70225-1,Legends of Chima,Fire vs. Ice,2015,39.99,52.61
70226-1,Legends of Chima,Fire vs. Ice,2015,59.99,53.51
70227-1,Legends of Chima,Fire vs. Ice,2015,89.99,87.16
70228-1,Legends of Chima,Fire vs. Ice,2015,39.99,44.0
70229-1,Legends of Chima,Tribe Packs,2015,9.99,16.27
70230-1,Legends of Chima,Tribe Packs,2015,9.99,20.48
70231-1,Legends of Chima,Tribe Packs,2015,9.99,22.32
70232-1,Legends of Chima,Tribe Packs,2015,9.99,21.97
70409-1,Pirates,,2015,12.99,34.26
70410-1,Pirates,,2015,19.99,66.53
70411-1,Pirates,,2015,19.99,93.35
70412-1,Pirates,,2015,29.99,132.74
70413-1,Pirates,,2015,99.99,212.44
70730-1,Ninjago,Possession,2015,29.99,70.75
70731-1,Ninjago,Possession,2015,39.99,56.24
70732-1,Ninjago,Possession,2015,99.99,202.57
70733-1,Ninjago,Possession,2015,19.99,45.0
70734-1,Ninjago,Possession,2015,39.99,79.78
70735-1,Ninjago,Possession,2015,49.99,75.81
70736-1,Ninjago,Possession,2015,69.99,175.34
70737-1,Ninjago,Possession,2015,59.99,158.5
70738-1,Ninjago,Possession,2015,119.99,207.45
70739-1,Ninjago,Airjitzu,2015,9.99,32.23
70740-1,Ninjago,Airjitzu,2015,9.99,19.32
70741-1,Ninjago,Airjitzu,2015,9.99,11.51
70742-1,Ninjago,Airjitzu,2015,9.99,24.93
70743-1,Ninjago,Airjitzu,2015,9.99,14.39
70744-1,Ninjago,Airjitzu,2015,9.99,31.88
70745-1,Ninjago,Tournament of Elements,2015,19.99,43.2
70746-1,Ninjago,Tournament of Elements,2015,29.99,37.27
70747-1,Ninjago,Tournament of Elements,2015,29.99,29.24
70748-1,Ninjago,Tournament of Elements,2015,39.99,86.03
70749-1,Ninjago,Tournament of Elements,2015,59.99,122.81
70750-1,Ninjago,Tournament of Elements,2015,79.99,155.24
70751-1,Ninjago,General,2015,199.99,380.32
70752-1,Ninjago,Tournament of Elements,2015,6.99,16.73
70753-1,Ninjago,Tournament of Elements,2015,7.99,23.89
70754-1,Ninjago,Tournament of Elements,2015,14.99,58.67
70755-1,Ninjago,Tournament of Elements,2015,19.99,25.0
70756-1,Ninjago,Tournament of Elements,2015,24.99,82.18
70778-1,Bionicle,Companions,2015,9.99,36.22
70779-1,Bionicle,Companions,2015,9.99,32.21
70780-1,Bionicle,Companions,2015,9.99,8.34
70781-1,Bionicle,Companions,2015,9.99,43.08
70782-1,Bionicle,Companions,2015,9.99,38.37
70783-1,Bionicle,Companions,2015,9.99,49.99
70784-1,Bionicle,Toa,2015,14.99,45.32
70785-1,Bionicle,Toa,2015,14.99,38.99
70786-1,Bionicle,Toa,2015,14.99,54.99
70787-1,Bionicle,Toa,2015,19.99,69.99
70788-1,Bionicle,Toa,2015,19.99,79.39
70789-1,Bionicle,Toa,2015,19.99,51.87
70790-1,Bionicle,Reboot Villains,2015,14.99,32.57
70791-1,Bionicle,Reboot Villains,2015,14.99,45.04
70792-1,Bionicle,Reboot Villains,2015,14.99,52.1
70793-1,Bionicle,Reboot Villains,2015,14.99,35.57
70794-1,Bionicle,Reboot Villains,2015,14.99,29.39
70795-1,Bionicle,Miscellaneous,2015,29.99,86.07
70817-1,The LEGO Movie,,2015,9.99,17.85
70818-1,The LEGO Movie,,2015,14.99,32.59
70819-1,The LEGO Movie,,2015,29.99,71.03
71008-1,Collectable Minifigures,Series 13,2015,3.99,12.65
71008-2,Collectable Minifigures,Series 13,2015,3.99,5.9
71008-3,Collectable Minifigures,Series 13,2015,3.99,10.59
71008-4,Collectable Minifigures,Series 13,2015,3.99,4.5
71008-5,Collectable Minifigures,Series 13,2015,3.99,3.99
71008-6,Collectable Minifigures,Series 13,2015,3.99,4.66
71008-7,Collectable Minifigures,Series 13,2015,3.99,4.47
71008-8,Collectable Minifigures,Series 13,2015,3.99,4.98
71008-9,Collectable Minifigures,Series 13,2015,3.99,4.9
71008-10,Collectable Minifigures,Series 13,2015,3.99,4.29
71008-11,Collectable Minifigures,Series 13,2015,3.99,8.96
71008-12,Collectable Minifigures,Series 13,2015,3.99,4.44
71008-13,Collectable Minifigures,Series 13,2015,3.99,4.49
71008-14,Collectable Minifigures,Series 13,2015,3.99,9.47
71008-15,Collectable Minifigures,Series 13,2015,3.99,4.09
71008-16,Collectable Minifigures,Series 13,2015,3.99,4.43
71009-1,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.93
71009-2,Collectable Minifigures,The Simpsons Series 2,2015,3.99,4.19
71009-3,Collectable Minifigures,The Simpsons Series 2,2015,3.99,4.69
71009-4,Collectable Minifigures,The Simpsons Series 2,2015,3.99,7.16
71009-5,Collectable Minifigures,The Simpsons Series 2,2015,3.99,4.33
71009-6,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.73
71009-7,Collectable Minifigures,The Simpsons Series 2,2015,3.99,9.37
71009-8,Collectable Minifigures,The Simpsons Series 2,2015,3.99,4.94
71009-9,Collectable Minifigures,The Simpsons Series 2,2015,3.99,6.51
71009-10,Collectable Minifigures,The Simpsons Series 2,2015,3.99,5.48
71009-11,Collectable Minifigures,The Simpsons Series 2,2015,3.99,5.03
71009-12,Collectable Minifigures,The Simpsons Series 2,2015,3.99,4.47
71009-13,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.86
71009-14,Collectable Minifigures,The Simpsons Series 2,2015,3.99,4.69
71009-15,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.37
71009-16,Collectable Minifigures,The Simpsons Series 2,2015,3.99,4.0
71010-1,Collectable Minifigures,Series 14 - Monsters,2015,3.99,7.81
71010-2,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.05
71010-3,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.54
71010-4,Collectable Minifigures,Series 14 - Monsters,2015,3.99,7.9
71010-5,Collectable Minifigures,Series 14 - Monsters,2015,3.99,3.92
71010-6,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.33
71010-7,Collectable Minifigures,Series 14 - Monsters,2015,3.99,5.5
71010-8,Collectable Minifigures,Series 14 - Monsters,2015,3.99,5.69
71010-9,Collectable Minifigures,Series 14 - Monsters,2015,3.99,6.23
71010-10,Collectable Minifigures,Series 14 - Monsters,2015,3.99,5.52
71010-11,Collectable Minifigures,Series 14 - Monsters,2015,3.99,5.93
71010-12,Collectable Minifigures,Series 14 - Monsters,2015,3.99,3.58
71010-13,Collectable Minifigures,Series 14 - Monsters,2015,3.99,6.58
71010-14,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.94
71010-15,Collectable Minifigures,Series 14 - Monsters,2015,3.99,6.12
71010-16,Collectable Minifigures,Series 14 - Monsters,2015,3.99,5.74
71016-1,The Simpsons,,2015,199.99,391.11
71170-1,Dimensions,Starter Pack,2015,99.99,18.99
71171-1,Dimensions,Starter Pack,2015,99.99,92.38
71172-1,Dimensions,Starter Pack,2015,99.99,72.85
71173-1,Dimensions,Starter Pack,2015,99.99,23.4
71174-1,Dimensions,Starter Pack,2015,99.99,30.71
71201-1,Dimensions,Level Pack,2015,29.99,34.08
71202-1,Dimensions,Level Pack,2015,29.99,10.11
71203-1,Dimensions,Level Pack,2015,29.99,28.93
71204-1,Dimensions,Level Pack,2015,29.99,35.27
71205-1,Dimensions,Team Pack,2015,24.99,21.71
71206-1,Dimensions,Team Pack,2015,24.99,32.84
71207-1,Dimensions,Team Pack,2015,24.99,45.03
71209-1,Dimensions,Fun Pack,2015,14.99,12.57
71210-1,Dimensions,Fun Pack,2015,14.99,23.51
71211-1,Dimensions,Fun Pack,2015,14.99,9.1
71212-1,Dimensions,Fun Pack,2015,14.99,10.95
71213-1,Dimensions,Fun Pack,2015,14.99,7.58
71214-1,Dimensions,Fun Pack,2015,14.99,9.06
71215-1,Dimensions,Fun Pack,2015,14.99,18.8
71216-1,Dimensions,Fun Pack,2015,14.99,10.44
71217-1,Dimensions,Fun Pack,2015,14.99,13.17
71218-1,Dimensions,Fun Pack,2015,14.99,11.68
71219-1,Dimensions,Fun Pack,2015,14.99,10.95
71220-1,Dimensions,Fun Pack,2015,14.99,9.52
71221-1,Dimensions,Fun Pack,2015,14.99,16.41
71222-1,Dimensions,Fun Pack,2015,14.99,6.84
71223-1,Dimensions,Fun Pack,2015,14.99,9.85
71227-1,Dimensions,Fun Pack,2015,14.99,9.71
71231-1,Dimensions,Fun Pack,2015,14.99,6.36
71232-1,Dimensions,Fun Pack,2015,14.99,7.2
75060-1,Star Wars,Ultimate Collector Series,2015,199.99,390.3
75072-1,Star Wars,Microfighters,2015,9.99,23.23
75073-1,Star Wars,Microfighters,2015,9.99,26.29
75074-1,Star Wars,Microfighters,2015,9.99,14.56
75075-1,Star Wars,Microfighters,2015,9.99,15.22
75076-1,Star Wars,Microfighters,2015,9.99,28.66
75077-1,Star Wars,Microfighters,2015,9.99,23.8
75078-1,Star Wars,Rebels,2015,12.99,31.36
75079-1,Star Wars,Battlefront,2015,12.99,26.77
75080-1,Star Wars,Episode I,2015,24.99,55.28
75081-1,Star Wars,Episode IV,2015,24.99,44.87
75082-1,Star Wars,Rebels,2015,39.99,75.76
75083-1,Star Wars,Rebels,2015,49.99,111.78
75084-1,Star Wars,Rebels,2015,69.99,110.8
75085-1,Star Wars,Episode II,2015,19.99,66.79
75086-1,Star Wars,Episode I,2015,39.99,170.32
75087-1,Star Wars,Legends,2015,39.99,101.31
75088-1,Star Wars,The Clone Wars,2015,12.99,36.46
75089-1,Star Wars,Legends,2015,12.99,41.28
75090-1,Star Wars,Rebels,2015,19.99,38.86
75091-1,Star Wars,Episode I,2015,29.99,41.91
75092-1,Star Wars,Episode I,2015,49.99,117.93
75093-1,Star Wars,Episode VI,2015,79.99,95.39
75094-1,Star Wars,Episode VI,2015,99.99,188.66
75095-1,Star Wars,Ultimate Collector Series,2015,199.99,283.9
75096-1,Star Wars,Episode I,2015,89.99,136.45
75097-1,Star Wars,Seasonal,2015,39.99,45.99
75099-1,Star Wars,The Force Awakens,2015,19.99,25.47
75100-1,Star Wars,The Force Awakens,2015,39.99,45.66
75101-1,Star Wars,The Force Awakens,2015,69.99,79.83
75102-1,Star Wars,The Force Awakens,2015,79.99,108.38
75103-1,Star Wars,The Force Awakens,2015,89.99,145.14
75104-1,Star Wars,The Force Awakens,2015,119.99,95.22
75105-1,Star Wars,The Force Awakens,2015,149.99,175.02
75106-1,Star Wars,Rebels,2015,129.99,180.39
75107-1,Star Wars,Buildable Figures,2015,19.99,30.37
75108-1,Star Wars,Buildable Figures,2015,19.99,36.43
75109-1,Star Wars,Buildable Figures,2015,24.99,30.28
75110-1,Star Wars,Buildable Figures,2015,19.99,25.34
75111-1,Star Wars,Buildable Figures,2015,29.99,39.53
75112-1,Star Wars,Buildable Figures,2015,34.99,58.59
75899-1,Speed Champions,Ferrari,2015,14.99,62.14
75900-1,Scooby-Doo,,2015,14.99,57.94
75901-1,Scooby-Doo,,2015,19.99,59.32
75902-1,Scooby-Doo,,2015,29.99,126.81
75903-1,Scooby-Doo,,2015,49.99,118.93
75904-1,Scooby-Doo,,2015,89.99,220.87
75908-1,Speed Champions,Ferrari,2015,14.99,54.68
75909-1,Speed Champions,McLaren,2015,14.99,75.22
75910-1,Speed Champions,Porsche,2015,14.99,87.33
75911-1,Speed Champions,McLaren,2015,29.99,106.77
75912-1,Speed Champions,Porsche,2015,49.99,125.6
75913-1,Speed Champions,Ferrari,2015,99.99,215.81
75915-1,Jurassic World,,2015,19.99,45.12
75916-1,Jurassic World,,2015,29.99,83.76
75917-1,Jurassic World,,2015,49.99,119.44
75918-1,Jurassic World,,2015,69.99,115.2
75919-1,Jurassic World,,2015,129.99,349.11
75920-1,Jurassic World,,2015,39.99,144.57
76025-1,DC Comics Super Heroes,Justice League,2015,19.99,37.83
76026-1,DC Comics Super Heroes,Justice League,2015,49.99,67.01
76027-1,DC Comics Super Heroes,Justice League,2015,39.99,47.27
76028-1,DC Comics Super Heroes,Justice League,2015,69.99,85.98
76029-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,12.99,29.9
76030-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,19.99,38.47
76031-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,29.99,81.86
76032-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,79.99,117.44
76034-1,DC Comics Super Heroes,Batman,2015,29.99,55.58
76035-1,DC Comics Super Heroes,Batman,2015,119.99,145.91
76036-1,Marvel Super Heroes,Ultimate Spider-Man,2015,12.99,26.0
76037-1,Marvel Super Heroes,Ultimate Spider-Man,2015,39.99,62.03
76038-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,59.99,152.5
76039-1,Marvel Super Heroes,Ant-Man,2015,19.99,63.95
76040-1,DC Comics Super Heroes,Justice League,2015,24.99,57.57
76041-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,49.99,104.12
76042-1,Marvel Super Heroes,The Avengers,2015,349.99,500.63
851342-1,Ninjago,Possession,2015,14.99,21.66
5002948-1,Star Wars,The Force Awakens,2015,3.99,7.75
5003163-1,Education,Technic,2015,12.0,14.0
5003164-1,Education,Technic,2015,12.0,10.0
5003165-1,Education,Technic,2015,12.0,11.99
5004077-1,Promotional,Target,2015,9.99,25.07
5004891-1,Gear,Storage,2015,15.99,31.44
5004892-1,Gear,Storage,2015,29.99,74.29
5004893-1,Gear,Storage,2015,21.99,37.16
1100-1,Town,Special,2001,17.0,47.99
1351-1,Studios,,2001,60.0,52.19
1352-1,Studios,,2001,35.0,60.0
1353-1,Studios,,2001,20.0,29.0
1354-1,Studios,,2001,10.0,28.4
1355-1,Studios,,2001,7.0,22.98
1356-1,Studios,,2001,4.0,10.0
1357-1,Studios,,2001,2.0,15.44
1360-1,Studios,,2001,3.0,10.0
1361-1,Studios,,2001,3.0,12.68
1362-1,Studios,,2001,3.0,6.5
1363-1,Studios,,2001,3.0,6.64
1370-1,Studios,Jurassic Park III,2001,20.0,84.0
1371-1,Studios,Jurassic Park III,2001,35.0,188.0
1388-1,Bionicle,Matoran,2001,2.0,27.74
1389-1,Bionicle,Matoran,2001,2.0,36.0
1390-1,Bionicle,Matoran,2001,2.0,36.26
1391-1,Bionicle,Matoran,2001,2.0,42.23
1392-1,Bionicle,Matoran,2001,2.0,30.75
1393-1,Bionicle,Matoran,2001,2.0,33.45
1404-1,Duplo,,2001,3.0,5.57
1405-1,Duplo,,2001,3.0,2.93
1411-1,Studios,,2001,0.0,24.49
1457-1,Baby,,2001,8.0,24.64
2946-1,Action Wheelers,,2001,13.0,54.05
2947-1,Action Wheelers,,2001,15.0,29.53
2949-1,Action Wheelers,,2001,35.0,343.98
2951-1,Duplo,Dolls,2001,10.0,27.1
2952-1,Duplo,Dolls,2001,10.0,27.25
2953-1,Duplo,Dolls,2001,10.0,27.1
2954-1,Duplo,Dolls,2001,15.0,27.18
2955-1,Duplo,Dolls,2001,30.0,152.1
2961-1,Duplo,Dolls,2001,20.0,40.65
2971-1,Duplo,,2001,3.0,4.7
2974-1,Baby,,2001,10.0,28.74
3085-1,Duplo,,2001,20.0,63.97
3087-1,Duplo,,2001,4.0,16.5
3089-1,Duplo,,2001,15.0,49.51
3090-1,Duplo,,2001,15.0,39.96
3092-1,Duplo,,2001,10.0,35.64
3095-1,Duplo,,2001,40.0,84.79
3121-1,Scala,Dolls,2001,8.0,40.04
3122-1,Scala,Dolls,2001,15.0,26.0
3123-1,Scala,Dolls,2001,20.0,59.9
3124-1,Scala,Dolls,2001,50.0,64.68
3161-1,Baby,,2001,10.0,26.82
3263-1,Duplo,Zooters,2001,10.0,15.85
3264-1,Duplo,Zooters,2001,10.0,15.85
3265-1,Duplo,Zooters,2001,12.0,47.86
3266-1,Duplo,,2001,15.0,66.9
3267-1,Duplo,,2001,10.0,27.1
3271-1,Duplo,Bob the Builder,2001,6.0,35.55
3272-1,Duplo,Bob the Builder,2001,10.0,41.64
3273-1,Duplo,Bob the Builder,2001,15.0,52.02
3276-1,Duplo,Bob the Builder,2001,30.0,71.03
3416-1,Sports,Football,2001,9.95,30.0
3451-1,Creator Expert,Aircraft,2001,50.0,254.32
3507-1,Bulk Bricks,,2001,8.0,16.65
3508-1,Bulk Bricks,,2001,9.0,11.88
3724-1,Creator Expert,Sculptures,2001,99.0,1315.92
3740-1,Trains,9V,2001,15.0,84.7
3741-1,Trains,9V,2001,20.0,120.0
3742-1,Trains,9V,2001,11.0,106.73
3743-1,Trains,9V,2001,7.0,28.65
3744-1,Trains,9V,2001,7.0,33.74
3745-1,Trains,9V,2001,7.0,200.0
3746-1,Trains,9V,2001,7.0,39.14
3747-1,Trains,9V,2001,7.0,20.28
3748-1,Trains,9V,2001,10.0,49.08
3750-1,Bulk Bricks,Space,2001,4.99,14.5
3751-1,Bulk Bricks,,2001,6.0,9.09
3755-1,Bulk Bricks,,2001,8.0,13.33
3756-1,Bulk Bricks,,2001,5.0,8.7
3800-1,Mindstorms,1.5,2001,60.0,105.0
3804-1,Mindstorms,2.0,2001,200.0,224.97
4016-1,Creator,Promotional,2001,2.0,5.72
4017-1,Creator,Promotional,2001,2.0,2.76
4018-1,Creator,Promotional,2001,2.0,20.0
4019-1,Creator,Promotional,2001,2.0,13.79
4115-1,Creator,Bucket,2001,8.0,16.0
4117-1,Creator,Bucket,2001,15.0,36.46
4119-1,Creator,Bucket,2001,15.0,25.75
4124-1,Creator,Seasonal,2001,15.0,39.99
4171-1,Creator,,2001,3.0,7.94
4172-1,Creator,,2001,4.0,15.99
4173-1,Creator,,2001,7.0,10.0
4174-1,Creator,,2001,15.0,36.46
4175-1,Creator,,2001,20.0,36.96
4176-1,Creator,,2001,25.0,24.0
4177-1,Creator,,2001,30.0,32.07
4566-1,Racers,Xalax,2001,3.0,10.0
4567-1,Racers,Xalax,2001,3.0,8.9
4568-1,Racers,Xalax,2001,3.0,8.9
4569-1,Racers,Xalax,2001,3.0,10.0
4570-1,Racers,Xalax,2001,3.0,15.0
4571-1,Racers,Xalax,2001,3.0,10.0
4572-1,Racers,Xalax,2001,3.0,10.92
4573-1,Racers,Xalax,2001,3.0,19.99
4574-1,Racers,Xalax,2001,3.0,10.0
4575-1,Racers,Xalax,2001,3.0,10.0
4576-1,Racers,Xalax,2001,3.0,10.0
4577-1,Racers,Xalax,2001,3.0,10.0
4578-1,Racers,Xalax,2001,3.0,15.0
4579-1,Racers,Xalax,2001,20.0,45.0
4600-1,Jack Stone,,2001,4.0,12.47
4601-1,Jack Stone,,2001,4.0,11.75
4603-1,Jack Stone,,2001,7.0,4.2
4604-1,Jack Stone,,2001,7.0,12.0
4605-1,Jack Stone,,2001,10.0,13.64
4606-1,Jack Stone,,2001,13.0,18.0
4607-1,Jack Stone,,2001,20.0,29.72
4608-1,Jack Stone,,2001,20.0,13.95
4609-1,Jack Stone,,2001,35.0,29.75
4610-1,Jack Stone,,2001,50.0,28.29
4611-1,Jack Stone,,2001,70.0,35.15
4701-1,Harry Potter,Philosopher's Stone,2001,7.0,58.72
4702-1,Harry Potter,Philosopher's Stone,2001,10.0,62.5
4704-1,Harry Potter,Philosopher's Stone,2001,20.0,115.57
4705-1,Harry Potter,Philosopher's Stone,2001,20.0,69.88
4706-1,Harry Potter,Philosopher's Stone,2001,30.0,228.2
4707-1,Harry Potter,Philosopher's Stone,2001,30.0,54.88
4708-1,Harry Potter,Philosopher's Stone,2001,50.0,210.76
4709-1,Harry Potter,Philosopher's Stone,2001,90.0,260.23
4721-1,Harry Potter,Philosopher's Stone,2001,10.0,148.32
4722-1,Harry Potter,Philosopher's Stone,2001,10.0,70.21
4723-1,Harry Potter,Philosopher's Stone,2001,10.0,100.0
5223-1,Technic,,2001,10.0,30.39
5599-1,Racers,,2001,80.0,79.99
5831-1,Belville,Fairy-Tale,2001,5.0,16.33
5832-1,Belville,Fairy-Tale,2001,9.0,46.16
5833-1,Belville,Fairy-Tale,2001,17.0,49.11
5834-1,Belville,Fairy-Tale,2001,42.0,68.99
6290-1,Pirates,,2001,99.99,491.86
6291-1,Pirates,,2001,50.0,531.86
6292-1,Pirates,Islanders,2001,70.0,540.68
6472-1,Town,Shops and Services,2001,50.0,237.38
6719-1,Dinosaurs,,2001,10.0,85.0
6720-1,Dinosaurs,,2001,10.0,70.0
6721-1,Dinosaurs,,2001,10.0,91.66
6722-1,Dinosaurs,,2001,10.0,50.0
6771-1,Alpha Team,,2001,4.0,19.5
6772-1,Alpha Team,,2001,7.0,16.28
6773-1,Alpha Team,,2001,10.0,37.44
6774-1,Alpha Team,,2001,20.0,48.33
6775-1,Alpha Team,,2001,35.0,40.78
6776-1,Alpha Team,,2001,50.0,230.0
7000-1,Dinosaurs,,2001,3.0,12.58
7001-1,Dinosaurs,,2001,3.0,10.0
7002-1,Dinosaurs,,2001,3.0,14.79
7003-1,Dinosaurs,,2001,3.0,27.0
7106-1,Star Wars,Episode IV,2001,6.0,39.88
7126-1,Star Wars,Episode I,2001,10.0,83.3
7127-1,Star Wars,Episode VI,2001,10.0,67.57
7146-1,Star Wars,Episode IV,2001,20.0,103.25
7166-1,Star Wars,Episode VI,2001,35.0,140.0
7186-1,Star Wars,Episode I,2001,50.0,240.25
7300-1,Space,Life On Mars,2001,3.0,17.95
7301-1,Space,Life On Mars,2001,3.0,24.5
7302-1,Space,Life On Mars,2001,3.0,20.0
7310-1,Space,Life On Mars,2001,4.0,10.81
7311-1,Space,Life On Mars,2001,7.0,9.9
7312-1,Space,Life On Mars,2001,10.0,29.13
7313-1,Space,Life On Mars,2001,20.0,48.67
7314-1,Space,Life On Mars,2001,20.0,51.37
7315-1,Space,Life On Mars,2001,35.0,63.75
7316-1,Space,Life On Mars,2001,50.0,63.0
7317-1,Space,Life On Mars,2001,90.0,340.12
8007-1,Star Wars,Technic,2001,35.0,112.37
8008-1,Star Wars,Technic,2001,35.0,55.85
8240-1,Technic,Speed Slammers,2001,15.0,21.57
8241-1,Technic,Speed Slammers,2001,9.0,13.5
8242-1,Technic,Speed Slammers,2001,20.0,18.64
8463-1,Technic,,2001,30.0,80.0
8464-1,Technic,,2001,70.0,290.98
8465-1,Technic,,2001,40.0,181.24
8466-1,Technic,,2001,119.99,375.57
8525-1,Bionicle,Accessories,2001,2.0,12.5
8531-1,Bionicle,Toa Mata,2001,7.0,126.64
8532-1,Bionicle,Toa Mata,2001,7.0,73.49
8533-1,Bionicle,Toa Mata,2001,7.0,99.99
8534-1,Bionicle,Toa Mata,2001,7.0,217.43
8535-1,Bionicle,Toa Mata,2001,7.0,219.85
8536-1,Bionicle,Toa Mata,2001,7.0,211.19
8537-1,Bionicle,Rahi,2001,15.0,109.07
8538-1,Bionicle,Rahi,2001,70.0,280.43
8539-1,Bionicle,Rahi,2001,90.0,376.88
8540-1,Bionicle,Turaga,2001,3.0,38.04
8541-1,Bionicle,Turaga,2001,3.0,26.81
8542-1,Bionicle,Turaga,2001,3.0,28.19
8543-1,Bionicle,Turaga,2001,3.0,24.43
8544-1,Bionicle,Turaga,2001,3.0,30.21
8545-1,Bionicle,Turaga,2001,3.0,28.71
8546-1,Bionicle,Matoran,2001,15.0,218.35
8548-1,Bionicle,Rahi,2001,35.0,174.32
8549-1,Bionicle,Rahi,2001,50.0,192.02
9303-1,Education,,2001,89.0,76.25
10000-1,Castle,Lion Knights,2001,25.0,253.33
10001-1,Trains,9V,2001,149.0,899.99
10002-1,Trains,9V,2001,37.5,374.75
10003-1,Bulk Bricks,,2001,6.0,112.12
10004-1,Bulk Bricks,,2001,7.0,40.59
10006-1,Bulk Bricks,,2001,7.0,54.0
10007-1,Bulk Bricks,,2001,5.0,5.95
10008-1,Bulk Bricks,,2001,8.0,25.77
10009-1,Bulk Bricks,,2001,5.0,9.08
10010-1,Bulk Bricks,,2001,4.99,8.5
10011-1,Bulk Bricks,,2001,4.99,8.79
10012-1,Bulk Bricks,,2001,5.0,20.0
10013-1,Trains,9V,2001,17.0,71.3
10014-1,Trains,9V,2001,15.0,97.91
10015-1,Trains,9V,2001,19.99,87.66
10016-1,Trains,9V,2001,20.0,124.63
10017-1,Trains,9V,2001,20.0,86.48
10018-1,Star Wars,Ultimate Collector Series,2001,150.0,2278.26
10019-1,Star Wars,Ultimate Collector Series,2001,200.0,1415.43
10111-1,Bulk Bricks,,2001,6.0,27.7
10112-1,Bulk Bricks,,2001,7.0,24.35
10113-1,Bulk Bricks,,2001,5.0,117.16
10114-1,Bulk Bricks,,2001,7.99,22.77
10115-1,Bulk Bricks,,2001,4.99,16.99
78777-1,Space,Life On Mars,2001,8.0,47.94
78800-1,Sports,Product Collection,2001,20.0,60.0
10255-1,Creator Expert,Modular Buildings Collection,2017,279.99,238.95
10256-1,Creator Expert,Buildings,2017,369.99,410.12
10257-1,Creator Expert,Fairground,2017,199.99,361.87
10258-1,Creator Expert,Vehicles,2017,139.99,112.78
10259-1,Creator Expert,Winter Village,2017,79.99,177.6
10706-1,Classic,,2017,4.99,5.75
10707-1,Classic,,2017,4.99,6.77
10708-1,Classic,,2017,4.99,4.92
10709-1,Classic,,2017,4.99,6.05
10730-1,Juniors,Cars 3,2017,9.99,15.76
10731-1,Juniors,Cars 3,2017,9.99,14.58
10732-1,Juniors,Cars 3,2017,9.99,16.2
10733-1,Juniors,Cars 3,2017,9.99,20.24
10734-1,Juniors,City,2017,29.99,39.99
10735-1,Juniors,City,2017,19.99,23.7
10736-1,Juniors,Disney Princess,2017,24.99,41.32
10737-1,Juniors,DC Comics Super Heroes,2017,14.99,18.49
10738-1,Juniors,Disney Princess,2017,14.99,24.8
10739-1,Juniors,Ninjago,2017,19.99,21.28
10740-1,Juniors,City,2017,19.99,20.0
10742-1,Juniors,Cars 3,2017,19.99,20.64
10743-1,Juniors,Cars 3,2017,19.99,56.42
10744-1,Juniors,Cars 3,2017,34.99,58.99
10745-1,Juniors,Cars 3,2017,49.99,76.0
10746-1,Juniors,Friends,2017,19.99,27.77
10747-1,Juniors,Friends,2017,29.99,24.11
