set_number,Year,Pieces,Minifigs,retale_price,resale_price,Launch date,Exit date,Theme,years_in_retirement,total_price_increase,average_increase_per_year,percentage_increase_per_year,adjusted_value_new,total_price_increase_real,percentage_increase_per_year_real,average_increase_per_year_real
5547-1,2009,34.0,2.0,29.99,43.65,01/06/2009,2009-12-31,Duplo,13,13.66,1.0507692307692307,2.4072605515904484,33.742869719744405,3.7528697197444068,0.6613568983601035,0.2886822861341851
5560-1,2009,402.0,1.0,29.99,36.89,01/06/2009,2013-12-31,Bricks and More,9,6.900000000000002,0.7666666666666669,2.0782506551007507,30.867901758042365,0.8779017580423663,0.2644202759080649,0.09754463978248513
5595-1,2009,59.0,4.0,89.99,117.45,01/08/2009,2011-12-31,Duplo,11,27.460000000000008,2.496363636363637,2.125469251906034,94.46069394150683,4.470693941506838,0.3460423345723006,0.40642672195516705
5634-1,2009,53.0,3.0,49.99,80.37,01/03/2009,2011-12-31,Duplo,11,30.380000000000003,2.761818181818182,3.436379472213739,64.63862045192766,14.648620451927663,1.6569525548800053,1.3316927683570603
5635-1,2009,125.0,4.0,89.99,203.66,01/03/2009,2011-12-31,Duplo,11,113.67,10.333636363636364,5.07396462910555,163.7962105417393,73.8062105417393,3.294537711771817,6.709655503794482
5639-1,2009,71.0,4.0,69.99,117.45,01/06/2009,2012-12-31,Duplo,10,47.46000000000001,4.746,4.040868454661559,96.34990782033698,26.359907820336986,2.2443514534131106,2.6359907820336987
5969-1,2009,42.0,2.0,5.99,13.32,01/06/2009,2010-12-31,Space,12,7.33,0.6108333333333333,4.585835835835836,10.502729098747661,4.512729098747661,2.8232789656829707,0.3760607582289717
5970-1,2009,80.0,2.0,9.99,22.03,01/06/2009,2010-12-31,Space,12,12.040000000000001,1.0033333333333334,4.55439552125889,17.370504658063886,7.380504658063886,2.7918386511060245,0.6150420548386571
5971-1,2009,205.0,2.0,19.99,60.0,01/06/2009,2010-12-31,Space,12,40.010000000000005,3.334166666666667,5.5569444444444445,47.30959053489938,27.31959053489938,3.7943875742915805,2.2766325445749485
5972-1,2009,282.0,2.0,29.99,100.33,01/06/2009,2010-12-31,Space,12,70.34,5.861666666666667,5.842386790258813,79.10952030610757,49.119520306107574,4.079829920105948,4.093293358842298
5973-1,2009,456.0,3.0,49.99,81.68,01/06/2009,2010-12-31,Space,12,31.690000000000005,2.6408333333333336,3.2331456088801827,64.40412258150968,14.41412258150968,1.470588738727318,1.2011768817924733
5974-1,2009,825.0,7.0,99.99,171.35,01/06/2009,2010-12-31,Space,12,71.36,5.946666666666666,3.470479525338002,135.1083056359168,35.1183056359168,1.7079226551851374,2.926525469659733
5979-1,2009,330.0,3.0,39.99,116.75,01/08/2009,2009-12-31,Space,13,76.75999999999999,5.904615384615384,5.057486410805468,90.25154730309643,50.26154730309643,3.311582757575123,3.866272869468956
5980-1,2009,389.0,4.0,49.99,83.38,01/08/2009,2009-12-31,Space,13,33.38999999999999,2.568461538461538,3.080428806022473,64.45545194117499,14.465451941174983,1.3345251527921274,1.1127270723980756
7078-1,2009,103.0,4.0,19.99,78.8,01/06/2009,2010-07-31,Castle,12,58.81,4.900833333333334,6.219331641285957,62.13326223583451,42.14326223583451,4.456774771133092,3.511938519652876
7079-1,2009,335.0,7.0,39.99,232.75,01/06/2009,2010-07-31,Castle,12,192.76,16.063333333333333,6.901539563193698,183.5217866166305,143.53178661663048,5.138982693040833,11.960982218052541
7097-1,2009,844.0,10.0,99.99,259.65,01/06/2009,2010-12-31,Castle,12,159.65999999999997,13.304999999999998,5.12420566146736,204.73225303977702,104.74225303977703,3.361648791314495,8.728521086648085
7195-1,2009,79.0,4.0,10.99,66.56,01/06/2009,2010-07-31,Indiana Jones,12,55.57,4.630833333333333,6.957381810897435,52.482105766715044,41.49210576671504,5.194824940744572,3.457675480559587
7196-1,2009,187.0,5.0,19.99,113.65,01/06/2009,2010-07-31,Indiana Jones,12,93.66000000000001,7.805000000000001,6.867575890893093,89.61224940485523,69.62224940485524,5.105019020740229,5.80185411707127
7197-1,2009,420.0,4.0,39.99,125.73,01/06/2009,2010-07-31,Indiana Jones,12,85.74000000000001,7.1450000000000005,5.682812375725761,99.13724696588164,59.14724696588164,3.9202555055728965,4.928937247156804
7198-1,2009,384.0,3.0,49.99,276.25,01/06/2009,2010-07-31,Indiana Jones,12,226.26,18.855,6.825339366515837,217.82123975443255,167.83123975443254,5.062782496362973,13.985936646202711
7199-1,2009,652.0,6.0,89.99,429.27,01/06/2009,2010-12-31,Indiana Jones,12,339.28,28.27333333333333,6.586375319340585,338.47646548193757,248.48646548193756,4.823818449187722,20.70720545682813
7630-1,2009,108.0,1.0,12.99,41.51,01/01/2009,2011-07-31,City,11,28.519999999999996,2.5927272727272723,6.246030529335756,33.38495875276244,20.394958752762435,4.4666036120020225,1.8540871593420396
7632-1,2009,481.0,2.0,59.99,145.48,01/01/2009,2010-12-31,City,12,85.48999999999998,7.124166666666665,4.897007607002108,114.70998718361935,54.719987183619345,3.1344507368492436,4.559998931968279
7634-1,2009,78.0,1.0,12.99,49.6,01/03/2009,2011-07-31,City,11,36.61,3.328181818181818,6.710043988269794,39.89144673902715,26.90144673902715,4.93061707093606,2.4455860671842866
7636-1,2009,360.0,1.0,44.99,198.28,01/03/2009,2010-12-31,City,12,153.29,12.774166666666666,6.442488736466949,156.3424268543308,111.35242685433079,4.679931866314083,9.279368904527566
7637-1,2009,609.0,3.0,89.99,259.28,01/03/2009,2011-07-31,City,11,169.28999999999996,15.389999999999997,5.935668003702561,208.52932077610805,118.53932077610806,4.156241086368828,10.776301888737096
7638-1,2009,129.0,1.0,12.99,41.6,01/06/2009,2010-12-31,City,12,28.61,2.3841666666666668,5.731169871794871,32.8013161041969,19.811316104196898,3.9686130016420065,1.6509430086830748
7639-1,2009,165.0,2.0,16.99,47.5,01/06/2009,2011-12-31,City,11,30.51,2.773636363636364,5.839234449760767,38.20249435693125,21.21249435693125,4.059807532427033,1.9284085779028408
7641-1,2009,483.0,5.0,59.99,99.07,01/06/2009,2011-12-31,City,11,39.07999999999999,3.552727272727272,3.5860777962322317,79.67833928297217,19.688339282972173,1.8066508788984992,1.789849025724743
7642-1,2009,953.0,4.0,99.99,269.92,01/06/2009,2010-12-31,City,12,169.93,14.160833333333334,5.246307547915431,212.83007795300068,112.84007795300069,3.483750677762568,9.403339829416725
7682-1,2009,244.0,5.0,29.99,174.94,01/01/2009,2009-12-31,Indiana Jones,13,144.95,11.149999999999999,6.373613810449298,135.23430993750483,105.24430993750484,4.627710157218951,8.095716149038834
7683-1,2009,376.0,4.0,49.99,316.74,01/01/2009,2009-12-31,Indiana Jones,13,266.75,20.51923076923077,6.47825685711649,244.85032199385665,194.86032199385664,4.732353203886144,14.989255537988972
7685-1,2009,352.0,1.0,39.99,73.14,01/01/2009,2009-12-31,City,13,33.15,2.55,3.486464315012305,56.53959888435523,16.549598884355227,1.7405606617819596,1.2730460680273252
7686-1,2009,377.0,3.0,39.99,81.67,01/06/2009,2009-12-31,City,13,41.68,3.206153846153846,3.925742434374735,63.1335663232881,23.1435663232881,2.1798387811443893,1.780274332560623
7746-1,2009,208.0,2.0,29.99,51.91,01/02/2009,2010-12-31,City,12,21.919999999999998,1.8266666666666664,3.5189109355936554,40.93068074444378,10.940680744443778,1.7563540654407914,0.9117233953703149
7747-1,2009,444.0,2.0,59.99,140.28,01/07/2009,2010-12-31,City,12,80.28999999999999,6.690833333333333,4.76962741184298,110.60982267059474,50.619822670594736,3.007070541690116,4.218318555882894
7748-1,2009,216.0,4.0,24.99,77.34,01/06/2009,2010-12-31,Star Wars,12,52.35000000000001,4.362500000000001,5.640677527799329,60.9820621994853,35.992062199485304,3.878120657646464,2.999338516623775
7749-1,2009,155.0,5.0,24.99,50.71,01/06/2009,2010-12-31,Star Wars,12,25.720000000000002,2.1433333333333335,4.22664826135542,39.98448893374579,14.994488933745789,2.464091391202555,1.2495407444788158
7751-1,2009,291.0,4.0,39.99,151.53,01/01/2009,2009-12-31,Star Wars,13,111.53999999999999,8.58,5.662245099980201,117.13761852538074,77.14761852538075,3.9163414467498567,5.934432194260058
7752-1,2009,385.0,4.0,54.99,166.08,01/02/2009,2010-12-31,Star Wars,12,111.09,9.2575,5.574120905587669,130.95294660060148,75.96294660060147,3.8115640354348037,6.3302455500501225
7753-1,2009,372.0,3.0,39.99,95.94,01/08/2009,2010-12-31,Star Wars,12,55.949999999999996,4.6625,4.859808213466749,75.6480352653041,35.6580352653041,3.0972513433138857,2.9715029387753416
7754-1,2009,789.0,6.0,109.99,157.37,01/08/2009,2010-12-31,Star Wars,12,47.38000000000001,3.948333333333334,2.5089491855711596,124.08517104128525,14.095171041285255,0.7463923154182952,1.1745975867737712
8014-1,2009,72.0,4.0,11.99,64.8,01/01/2009,2010-12-31,Star Wars,12,52.809999999999995,4.400833333333333,6.791409465020576,51.09435777769132,39.10435777769132,5.028852594867711,3.2586964814742765
8015-1,2009,94.0,5.0,11.99,31.66,01/01/2009,2010-12-31,Star Wars,12,19.67,1.6391666666666669,5.177405769635713,24.963693938915238,12.973693938915238,3.4148488994828483,1.0811411615762698
8016-1,2009,232.0,3.0,19.99,85.24,01/01/2009,2010-12-31,Star Wars,12,65.25,5.4375,6.379047395588926,67.21115828658037,47.221158286580376,4.6164905254360615,3.935096523881698
8017-1,2009,251.0,1.0,29.99,151.07,01/01/2009,2010-12-31,Star Wars,12,121.08,10.09,6.679022969484344,119.11766403512081,89.12766403512082,4.916466099331481,7.427305336260068
8018-1,2009,407.0,7.0,49.99,198.03,01/01/2009,2010-12-31,Star Wars,12,148.04,12.336666666666666,6.229695837331043,156.1453035604354,106.15530356043539,4.46713896717818,8.846275296702949
8019-1,2009,636.0,3.0,59.99,244.04,01/01/2009,2010-12-31,Star Wars,12,184.04999999999998,15.337499999999999,6.2848303556793965,192.42387456894738,132.43387456894737,4.522273485526532,11.036156214078948
8036-1,2009,259.0,5.0,29.99,94.4,01/06/2009,2010-12-31,Star Wars,12,64.41000000000001,5.367500000000001,5.685911016949153,74.43375577490835,44.443755774908354,3.9233541467962882,3.703646314575696
8037-1,2009,570.0,3.0,59.99,206.29,01/06/2009,2010-12-31,Star Wars,12,146.29999999999998,12.191666666666665,5.9099649360932025,162.65825719073987,102.66825719073987,4.147408065940337,8.555688099228322
8038-1,2009,890.0,12.0,99.99,221.6,01/06/2009,2011-12-31,Star Wars,11,121.61,11.055454545454545,4.988923531342304,178.2246894630729,78.23468946307291,3.2094966140085703,7.112244496642992
8039-1,2009,1170.0,5.0,119.99,576.05,01/06/2009,2011-12-31,Star Wars,11,456.05999999999995,41.459999999999994,7.19729190174464,463.2957236696893,343.3057236696893,5.417864984410906,31.20961124269903
8185-1,2009,534.0,5.0,79.99,247.0,01/06/2009,2010-12-31,Racers,12,167.01,13.917499999999999,5.634615384615384,194.7578143686691,114.76781436866911,3.872058514462521,9.563984530722426
8398-1,2009,22.0,1.0,3.49,11.78,01/01/2009,2010-05-31,City,12,8.29,0.6908333333333333,5.864459535936615,9.288449608351911,5.798449608351911,4.101902665783752,0.4832041340293259
8399-1,2009,22.0,1.0,3.49,13.52,01/06/2009,2009-12-31,Space,13,10.03,0.7715384615384615,5.706645425580337,10.451399739082344,6.961399739082344,3.9607417723499907,0.5354922876217187
8400-1,2009,14.0,1.0,3.49,10.35,01/06/2009,2009-12-31,Space,13,6.859999999999999,0.5276923076923077,5.098476402824228,8.00088663457857,4.51088663457857,3.352572749593884,0.34699127958296694
8401-1,2009,60.0,4.0,9.99,21.44,01/01/2009,2010-12-31,City,12,11.450000000000001,0.9541666666666667,4.450404228855722,16.90529368447071,6.91529368447071,2.687847358702857,0.5762744737058925
8402-1,2009,68.0,1.0,9.99,14.57,01/06/2009,2010-12-31,City,12,4.58,0.38166666666666665,2.6195378631892017,11.488345568224732,1.4983455682247317,0.8569809930363371,0.12486213068539431
8707-1,2009,293.0,2.0,26.99,157.42,01/02/2009,2009-12-31,Power Miners,13,130.42999999999998,10.033076923076921,6.3734448755411774,121.69078009810227,94.70078009810227,4.627541222310833,7.284675392161713
8708-1,2009,259.0,3.0,49.99,148.4,01/08/2009,2009-12-31,Power Miners,13,98.41,7.569999999999999,5.101078167115902,114.71802672188018,64.72802672188018,3.3551745138855575,4.979078978606168
8709-1,2009,637.0,4.0,79.99,317.43,01/08/2009,2009-12-31,Power Miners,13,237.44,18.264615384615386,5.75390334392319,245.38371443616188,165.39371443616187,4.007999690692845,12.722593418166298
8956-1,2009,31.0,2.0,5.99,25.19,01/01/2009,2009-12-31,Power Miners,13,19.200000000000003,1.4769230769230772,5.863132500687087,19.47268930676659,13.48268930676659,4.117228847456741,1.037129946674353
8957-1,2009,67.0,2.0,7.99,36.39,01/01/2009,2009-12-31,Power Miners,13,28.4,2.1846153846153844,6.003339886274758,28.130653587663204,20.140653587663202,4.257436233044412,1.5492810452048618
8958-1,2009,94.0,2.0,9.99,63.35,01/01/2009,2009-12-31,Power Miners,13,53.36,4.104615384615385,6.479266589763828,48.97161046382149,38.98161046382149,4.7333629365334815,2.998585420293961
8959-1,2009,197.0,2.0,19.99,54.5,01/01/2009,2009-12-31,Power Miners,13,34.510000000000005,2.654615384615385,4.870853916725477,42.130272616863,22.140272616863005,3.1249502634951307,1.7030978936048464
8960-1,2009,235.0,3.0,29.99,105.43,01/01/2009,2010-07-31,Power Miners,12,75.44000000000001,6.286666666666668,5.9628821651016475,83.13083550157403,53.14083550157403,4.200325294948783,4.428402958464503
8961-1,2009,474.0,4.0,69.99,234.49,01/01/2009,2009-12-31,Power Miners,13,164.5,12.653846153846153,5.3963265614082285,181.2683968060221,111.27839680602212,3.6504229081778825,8.559876677386317
8962-1,2009,168.0,2.0,19.99,78.09,01/06/2009,2010-12-31,Power Miners,12,58.10000000000001,4.841666666666668,6.200110983053743,61.57343208117154,41.58343208117154,4.437554112900877,3.4652860067642948
8963-1,2009,225.0,2.0,34.99,65.0,01/06/2009,2010-12-31,Power Miners,12,30.009999999999998,2.500833333333333,3.847435897435897,51.252056412807654,16.262056412807652,2.084879027283032,1.355171367733971
8964-1,2009,706.0,5.0,99.99,231.59,01/06/2009,2010-12-31,Power Miners,12,131.60000000000002,10.966666666666669,4.735380053830765,182.60713453295577,82.61713453295577,2.9728231836778996,6.884761211079648
8967-1,2009,68.0,2.0,9.99,28.47,01/06/2009,2009-12-31,Agents,13,18.479999999999997,1.4215384615384612,4.993110156439977,22.008235989029167,12.018235989029167,3.2472065032096316,0.9244796914637821
8968-1,2009,203.0,3.0,19.99,33.58,01/06/2009,2009-12-31,Agents,13,13.59,1.0453846153846154,3.113116781967288,25.958432192188248,5.968432192188249,1.3672131287369427,0.4591101686298653
8969-1,2009,320.0,2.0,29.99,40.32,01/06/2009,2009-12-31,Agents,13,10.330000000000002,0.7946153846153847,1.9707722832722836,31.16867141122782,1.1786714112278212,0.22486863004193777,0.09066703163290932
8970-1,2009,414.0,6.0,49.99,79.37,01/06/2009,2009-12-31,Agents,13,29.380000000000003,2.2600000000000002,2.8474234597454955,61.355591515603976,11.365591515603974,1.1015198065151504,0.8742762704310749
8971-1,2009,733.0,7.0,79.99,200.0,01/06/2009,2009-12-31,Agents,13,120.01,9.231538461538461,4.615769230769231,154.60650501601103,74.61650501601103,2.869865577538886,5.739731155077772
9686-1,2009,396.0,2.0,199.95,228.58,01/01/2009,2020-12-31,Education,2,28.630000000000024,14.315000000000012,6.262577653338004,219.70396001537873,19.753960015378738,4.321016715237278,9.876980007689369
10193-1,2009,1601.0,8.0,99.99,335.44,01/01/2009,2009-02-01,Castle,13,235.45,18.111538461538462,5.39933772404557,259.30603021285367,159.31603021285366,3.6534340708152246,12.25507924714259
10194-1,2009,1085.0,3.0,99.99,665.01,01/04/2009,2011-12-31,Creator Expert,11,565.02,51.36545454545455,7.72401235251418,534.8429636274284,434.8529636274284,5.944585435180446,39.53208760249349
10195-1,2009,1758.0,8.0,249.99,1309.14,01/05/2009,2011-12-31,Star Wars,11,1059.15,96.28636363636365,7.354932523363707,1052.8929149985888,802.9029149985888,5.5755056060299735,72.9911740907808
10196-1,2009,3263.0,9.0,249.99,2027.34,01/07/2009,2010-05-31,Creator Expert,12,1777.35,148.11249999999998,7.305755324711197,1598.5437545837149,1348.5537545837149,5.543198454558333,112.3794795486429
10197-1,2009,2231.0,4.0,149.99,518.03,01/09/2009,2013-12-31,Creator Expert,9,368.03999999999996,40.89333333333333,7.894008712494129,433.46433038001317,283.47433038001316,6.0801783333014425,31.497147820001462
10198-1,2009,1408.0,5.0,149.99,300.1,01/09/2009,2011-12-31,Star Wars,11,150.11,13.646363636363638,4.547272121414074,241.35933803189616,91.36933803189615,2.767845204080341,8.306303457445104
10199-1,2009,815.0,7.0,59.99,192.64,01/10/2009,2011-12-31,Creator Expert,11,132.64999999999998,12.059090909090907,6.259910147991544,154.93323185093126,94.94323185093126,4.48048323065781,8.631202895539205
30002-1,2009,30.0,1.0,2.99,4.72,01/09/2009,2010-12-31,City,12,1.7299999999999995,0.14416666666666664,3.054378531073446,3.721687788745417,0.731687788745417,1.2918216609205808,0.06097398239545141
3177-1,2010,43.0,1.0,4.99,14.67,01/01/2010,2012-12-31,City,10,9.68,0.968,6.598500340831629,12.034509559168526,7.044509559168526,4.801983339583181,0.7044509559168526
3178-1,2010,102.0,1.0,10.99,24.49,01/01/2010,2012-12-31,City,10,13.499999999999998,1.3499999999999999,5.512454062882808,20.090329863942546,9.100329863942546,3.715937061634359,0.9100329863942547
3179-1,2010,118.0,1.0,12.99,32.22,01/01/2010,2011-12-31,City,11,19.229999999999997,1.7481818181818178,5.425766040291179,25.913355119585784,12.923355119585784,3.646339122957447,1.1748504654168894
3180-1,2010,222.0,1.0,19.99,84.22,01/01/2010,2011-12-31,City,11,64.23,5.83909090909091,6.933140476241878,67.73503315243683,47.74503315243683,5.153713558908144,4.34045755931244
3181-1,2010,309.0,3.0,39.99,94.38,01/01/2010,2012-12-31,City,10,54.38999999999999,5.438999999999999,5.762873490146218,77.42447254221715,37.434472542217144,3.9663564888977696,3.7434472542217145
3182-1,2010,703.0,5.0,99.99,288.9,01/02/2010,2012-12-31,City,10,188.90999999999997,18.891,6.538940809968847,236.9986238339323,137.0086238339323,4.742423808720398,13.700862383393229
3221-1,2010,278.0,2.0,34.99,139.42,01/06/2010,2012-12-31,City,10,104.42999999999998,10.442999999999998,7.490317027686127,114.37295996859412,79.38295996859412,5.69380002643768,7.938295996859412
3222-1,2010,267.0,4.0,29.99,96.81,01/02/2010,2010-12-31,City,12,66.82000000000001,5.568333333333334,5.751816272423647,76.33402432806014,46.344024328060144,3.989259402270783,3.8620020273383453
3862-1,2010,332.0,9.0,34.99,37.15,01/08/2010,2013-07-31,Games,9,2.1599999999999966,0.23999999999999963,0.6460296096904431,31.085458127169254,-3.904541872830748,-1.1678007695022425,-0.43383798587008315
4736-1,2010,73.0,3.0,10.99,33.47,01/10/2010,2011-12-31,Harry Potter,11,22.479999999999997,2.0436363636363635,6.10587500339517,26.918683918452395,15.928683918452395,4.326448086061438,1.448062174404763
4737-1,2010,153.0,5.0,19.99,72.18,01/10/2010,2012-12-31,Harry Potter,10,52.19000000000001,5.219000000000001,7.230534774175673,59.212740284988705,39.2227402849887,5.434017772927223,3.92227402849887
4738-1,2010,442.0,4.0,39.99,85.8,01/10/2010,2012-12-31,Harry Potter,10,45.809999999999995,4.5809999999999995,5.339160839160839,70.38588412928831,30.395884129288312,3.542643837912391,3.0395884129288313
4840-1,2010,568.0,6.0,59.99,179.73,01/10/2010,2011-12-31,Harry Potter,11,119.73999999999998,10.885454545454543,6.0565595868550295,144.5501960162369,84.56019601623689,4.277132669521297,7.687290546930626
4841-1,2010,646.0,5.0,79.99,225.0,01/10/2010,2011-12-31,Harry Potter,11,145.01,13.182727272727272,5.858989898989899,180.9591837959901,100.9691837959901,4.079562981656166,9.179016708726373
4842-1,2010,1290.0,11.0,129.99,275.76,01/10/2010,2012-12-31,Harry Potter,10,145.76999999999998,14.576999999999998,5.2861183637946025,226.21924717357277,96.22924717357276,3.489601362546155,9.622924717357275
5506-1,2010,71.0,1.0,29.99,29.99,01/01/2010,2013-12-31,Duplo,9,0.0,0.0,0.0,25.09429042352102,-4.895709576478978,-1.8138303791926857,-0.5439677307198865
5508-1,2010,704.0,2.0,49.99,87.45,01/01/2010,2013-12-31,Bricks and More,9,37.46,4.162222222222223,4.759545136903628,73.17424800056396,23.18424800056396,2.945714757710941,2.576027555618218
5648-1,2010,58.0,2.0,39.99,70.44,01/01/2010,2012-12-31,Duplo,10,30.449999999999996,3.0449999999999995,4.322827938671209,57.785334243205924,17.79533424320592,2.52631093742276,1.7795334243205922
5649-1,2010,68.0,3.0,59.99,100.0,01/01/2010,2013-12-31,Duplo,9,40.01,4.445555555555555,4.445555555555555,83.67552658726582,23.68552658726582,2.6317251763628686,2.6317251763628686
5653-1,2010,48.0,3.0,59.99,200.0,01/06/2010,2012-12-31,Duplo,10,140.01,14.001,7.0005,164.06965997503102,104.079659975031,5.203982998751551,10.407965997503101
5659-1,2010,39.0,3.0,34.99,100.0,01/06/2010,2011-07-31,Duplo,11,65.00999999999999,5.909999999999999,5.909999999999999,80.42630390932894,45.436303909328934,4.130573082666267,4.130573082666267
5691-1,2010,23.0,3.0,39.99,88.0,01/06/2010,2010-12-31,Duplo,12,48.01,4.0008333333333335,4.546401515151515,69.38739945118576,29.397399451185755,2.7838446449986507,2.449783287598813
5816-1,2010,34.0,3.0,49.99,115.3,01/06/2010,2012-12-31,Duplo,10,65.31,6.531000000000001,5.6643538594969645,94.58615897560539,44.596158975605384,3.8678368582485154,4.459615897560538
5983-1,2010,317.0,2.0,29.99,60.96,01/06/2010,2010-12-31,Space,12,30.970000000000002,2.5808333333333335,4.233650481189852,48.06654398345776,18.076543983457764,2.4710936110369865,1.506378665288147
5984-1,2010,391.0,3.0,39.99,126.68,01/06/2010,2010-12-31,Space,12,86.69,7.224166666666666,5.7026891906115145,99.88631548268422,59.89631548268422,3.94013232045865,4.991359623557019
5985-1,2010,631.0,5.0,79.99,218.84,01/06/2010,2010-12-31,Space,12,138.85000000000002,11.570833333333335,5.287348443307136,172.55384654428966,92.56384654428966,3.52479157315427,7.713653878690805
7206-1,2010,342.0,3.0,39.99,58.86,01/01/2010,2010-12-31,City,12,18.869999999999997,1.5724999999999998,2.6715936119605836,46.41070831473629,6.420708314736288,0.90903674180772,0.535059026228024
7213-1,2010,388.0,3.0,39.99,72.45,01/01/2010,2012-12-31,City,10,32.46,3.246,4.480331262939958,59.43423432595499,19.444234325954987,2.6838142616915097,1.9444234325954988
7566-1,2010,16.0,1.0,3.99,10.34,01/06/2010,2010-12-31,City,12,6.35,0.5291666666666667,5.117666021921341,8.153019435514326,4.163019435514325,3.355109151768476,0.3469182862928604
7567-1,2010,21.0,1.0,3.99,6.53,01/01/2010,2010-12-31,City,12,2.54,0.21166666666666667,3.2414497192445126,5.148860436548215,1.1588604365482151,1.4788928490916478,0.09657170304568459
7569-1,2010,57.0,4.0,10.99,24.15,01/04/2010,2010-12-31,Prince of Persia,12,13.159999999999998,1.0966666666666665,4.541062801932367,19.042110190297,8.052110190296998,2.7785059317795024,0.6710091825247498
7570-1,2010,169.0,3.0,19.99,38.62,01/04/2010,2010-12-31,Prince of Persia,12,18.63,1.5525,4.019937856033144,30.451606440963563,10.461606440963564,2.2573809858802787,0.8718005367469637
7571-1,2010,258.0,4.0,29.99,64.18,01/04/2010,2010-12-31,Prince of Persia,12,34.19000000000001,2.8491666666666675,4.439337280565078,50.6054920088307,20.615492008830703,2.6767804104122135,1.7179576674025585
7572-1,2010,506.0,4.0,49.99,60.0,01/04/2010,2010-12-31,Prince of Persia,12,10.009999999999998,0.8341666666666665,1.3902777777777775,47.30959053489938,-2.680409465100624,-0.37227909237508666,-0.223367455425052
7573-1,2010,821.0,7.0,79.99,160.92,01/04/2010,2010-12-31,Prince of Persia,12,80.92999999999999,6.744166666666666,4.191005882840335,126.88432181460011,46.89432181460012,2.4284490126874703,3.9078601512166764
7590-1,2010,92.0,2.0,19.99,73.41,01/01/2010,2011-12-31,Toy Story,11,53.42,4.856363636363636,6.615397951728153,59.04094969983837,39.05094969983837,4.8359710343944196,3.5500863363489428
7591-1,2010,118.0,1.0,24.99,29.82,01/01/2010,2010-12-31,Toy Story,12,4.830000000000002,0.40250000000000014,1.349765258215963,23.51286649584499,-1.4771335041550095,-0.4127916119369018,-0.12309445867958413
7592-1,2010,205.0,1.0,24.99,100.32,01/01/2010,2011-05-31,Toy Story,11,75.33,6.848181818181818,6.826337538060027,80.68366808183879,55.693668081838794,5.046910620726294,5.063060734712618
7593-1,2010,257.0,2.0,29.99,64.68,01/01/2010,2011-05-31,Toy Story,11,34.69000000000001,3.1536363636363647,4.875751953674032,52.019733368553965,22.029733368553966,3.0963250363402994,2.002703033504906
7594-1,2010,502.0,3.0,49.99,95.98,01/01/2010,2011-05-31,Toy Story,11,45.99,4.180909090909091,4.356021140767964,77.19316649217392,27.203166492173914,2.57659422343423,2.473015135652174
7595-1,2010,90.0,4.0,10.99,34.25,01/01/2010,2011-05-31,Toy Story,11,23.259999999999998,2.1145454545454543,6.173855341738553,27.546009088945162,16.55600908894516,4.39442842440482,1.5050917353586508
7596-1,2010,370.0,3.0,49.99,77.95,01/06/2010,2011-07-31,Toy Story,11,27.96,2.541818181818182,3.2608315353664934,62.69230389732191,12.702303897321904,1.4814046180327602,1.1547548997565367
7597-1,2010,584.0,3.0,79.99,146.06,01/06/2010,2011-12-31,Toy Story,11,66.07000000000001,6.006363636363637,4.112257727210487,117.47065948996584,37.480659489965845,2.332830809876753,3.407332680905986
7598-1,2010,225.0,2.0,39.99,112.42,01/06/2010,2011-07-31,Toy Story,11,72.43,6.584545454545455,5.857094337791723,90.4152508548676,50.42525085486759,4.077667420457989,4.584113714078872
7599-1,2010,402.0,3.0,49.99,115.58,01/06/2010,2011-07-31,Toy Story,11,65.59,5.962727272727273,5.1589611288521136,92.95672205840238,42.966722058402375,3.3795342115183797,3.906065641672943
7684-1,2010,256.0,2.0,34.99,139.19,01/03/2010,2011-07-31,City,11,104.19999999999999,9.47272727272727,6.805609075887111,111.94537241139494,76.95537241139493,5.026182158553379,6.995942946490448
7789-1,2010,129.0,1.0,19.99,29.6,01/06/2010,2011-12-31,Toy Story,11,9.610000000000003,0.8736363636363639,2.9514742014742024,23.806185957161368,3.8161859571613697,1.1720472841404699,0.34692599610557906
7848-1,2010,356.0,3.0,44.99,102.94,01/08/2010,2011-12-31,City,11,57.949999999999996,5.268181818181818,5.1177208259003475,82.7908372442632,37.8008372442632,3.338293908566614,3.4364397494784726
7936-1,2010,142.0,1.0,19.99,81.19,01/06/2010,2011-12-31,City,11,61.2,5.5636363636363635,6.852612838571702,65.29811614398416,45.308116143984165,5.073185921237968,4.1189196494531055
7937-1,2010,361.0,4.0,49.99,126.21,01/06/2010,2013-12-31,City,9,76.22,8.46888888888889,6.710156793351469,105.6068821057882,55.6168821057882,4.896326414158783,6.1796535673098
7938-1,2010,669.0,3.0,129.99,211.87,01/06/2010,2014-07-31,City,8,81.88,10.235,4.830792467078869,180.8290049440489,50.839004944048895,2.999422106955261,6.354875618006112
7939-1,2010,839.0,4.0,179.99,284.09,01/06/2010,2014-07-31,City,8,104.09999999999997,13.012499999999996,4.5804146573269025,242.46807955139874,62.478079551398736,2.749044297203296,7.809759943924842
7946-1,2010,933.0,8.0,99.99,347.77,01/06/2010,2011-12-31,Castle,11,247.77999999999997,22.525454545454544,6.477112616227547,279.69855710547324,179.70855710547323,4.697685698893816,16.337141555043022
