Number,Theme,Subtheme,Year,RRP (USD),Value used (USD)
1711-1,Space,Ice Planet 2002,1994,2.0,9.04
1712-1,Castle,Dragon Knights,1994,2.0,15.14
1720-1,Town,Bonus/Value Pack,1994,10.0,26.65
1721-1,Town,Bonus/Value Pack,1994,15.0,40.2
1723-1,Assorted,Bonus/Value Pack,1994,8.0,34.99
1798-1,Basic,Supplementaries,1994,49.5,27.91
1906-1,Castle,Dragon Knights,1994,20.0,109.83
2621-1,Duplo,,1994,9.0,11.28
2621-2,Duplo,,1994,1.7,5.63
2682-1,Duplo,,1994,13.0,10.0
2688-1,Duplo,,1994,46.0,23.33
2738-1,Duplo,Trains,1994,17.0,22.65
2784-1,Duplo,,1994,6.0,11.37
2787-1,Duplo,,1994,9.0,20.9
2788-1,Duplo,,1994,15.0,28.42
2794-1,Duplo,,1994,84.0,106.31
4525-1,Trains,9V,1994,10.0,27.17
4544-1,Trains,9V,1994,18.75,44.73
4564-1,Trains,9V,1994,134.0,220.19
5122-1,Service Packs,Pirates,1994,3.0,7.5
5138-1,Service Packs,Castle,1994,3.5,25.27
5278-1,Service Packs,Technic,1994,4.0,5.27
5591-1,Model Team,,1994,110.0,175.41
5860-1,Belville,,1994,25.0,22.14
5870-1,Belville,,1994,42.0,44.05
5880-1,Belville,,1994,54.0,42.18
5890-1,Belville,,1994,99.0,83.0
6236-1,Pirates,Islanders,1994,4.0,19.46
6246-1,Pirates,Islanders,1994,7.25,21.64
6256-1,Pirates,Islanders,1994,12.0,44.76
6262-1,Pirates,Islanders,1994,21.0,56.9
6264-1,Pirates,Islanders,1994,29.75,81.02
6278-1,Pirates,Islanders,1994,66.0,234.43
6340-1,Town,Fire,1994,20.0,26.37
6341-1,Town,Flight,1994,13.25,16.18
6348-1,Town,Police,1994,33.0,30.01
6350-1,Town,Shops and Services,1994,15.0,46.13
6402-1,Town,Paradisa,1994,7.25,19.89
6410-1,Town,Paradisa,1994,25.5,57.62
6483-1,Town,Police,1994,48.0,39.23
6514-1,Town,Vehicles,1994,3.25,5.54
6515-1,Town,Flight,1994,3.25,5.92
6537-1,Town,Boats,1994,4.5,4.26
6538-1,Town,Vehicles,1994,4.5,5.77
6543-1,Town,Boats,1994,85.0,228.12
6561-1,Town,Vehicles,1994,26.5,44.2
6571-1,Town,Fire,1994,55.0,71.97
6597-1,Town,Flight,1994,109.0,183.29
6665-1,Town,Leisure,1994,7.25,9.78
6666-1,Town,Medical,1994,9.25,21.8
6705-1,Space,Miscellaneous,1994,6.0,26.56
