Number,Theme,Subtheme,Year,RRP (USD),Value used (USD)
70228-1,Legends of Chima,Fire vs. Ice,2015,39.99,35.0
70229-1,Legends of Chima,Tribe Packs,2015,9.99,8.84
70230-1,Legends of Chima,Tribe Packs,2015,9.99,9.12
70231-1,Legends of Chima,Tribe Packs,2015,9.99,9.26
70232-1,Legends of Chima,Tribe Packs,2015,9.99,10.44
70409-1,Pirates,,2015,12.99,20.93
70410-1,Pirates,,2015,19.99,44.2
70411-1,Pirates,,2015,19.99,60.57
70412-1,Pirates,,2015,29.99,102.0
70413-1,Pirates,,2015,99.99,195.19
70730-1,Ninjago,Possession,2015,29.99,31.36
70731-1,Ninjago,Possession,2015,39.99,35.78
70732-1,Ninjago,Possession,2015,99.99,156.06
70733-1,Ninjago,Possession,2015,19.99,16.17
70734-1,Ninjago,Possession,2015,39.99,39.47
70735-1,Ninjago,Possession,2015,49.99,42.02
70736-1,Ninjago,Possession,2015,69.99,83.41
70737-1,Ninjago,Possession,2015,59.99,58.57
70738-1,Ninjago,Possession,2015,119.99,107.14
70739-1,Ninjago,Airjitzu,2015,9.99,10.13
70740-1,Ninjago,Airjitzu,2015,9.99,8.95
70741-1,Ninjago,Airjitzu,2015,9.99,1.96
70742-1,Ninjago,Airjitzu,2015,9.99,11.8
70743-1,Ninjago,Airjitzu,2015,9.99,10.83
70744-1,Ninjago,Airjitzu,2015,9.99,8.52
70745-1,Ninjago,Tournament of Elements,2015,19.99,16.49
70746-1,Ninjago,Tournament of Elements,2015,29.99,27.34
70747-1,Ninjago,Tournament of Elements,2015,29.99,19.58
70748-1,Ninjago,Tournament of Elements,2015,39.99,36.25
70749-1,Ninjago,Tournament of Elements,2015,59.99,59.57
70750-1,Ninjago,Tournament of Elements,2015,79.99,82.27
70751-1,Ninjago,General,2015,199.99,307.84
70752-1,Ninjago,Tournament of Elements,2015,6.99,6.97
70753-1,Ninjago,Tournament of Elements,2015,7.99,9.09
70754-1,Ninjago,Tournament of Elements,2015,14.99,17.48
70755-1,Ninjago,Tournament of Elements,2015,19.99,13.12
70756-1,Ninjago,Tournament of Elements,2015,24.99,54.94
70778-1,Bionicle,Companions,2015,9.99,12.29
70779-1,Bionicle,Companions,2015,9.99,13.91
70780-1,Bionicle,Companions,2015,9.99,12.05
70781-1,Bionicle,Companions,2015,9.99,11.8
70782-1,Bionicle,Companions,2015,9.99,9.82
70783-1,Bionicle,Companions,2015,9.99,10.24
70784-1,Bionicle,Toa,2015,14.99,20.55
70785-1,Bionicle,Toa,2015,14.99,18.82
70786-1,Bionicle,Toa,2015,14.99,30.7
70787-1,Bionicle,Toa,2015,19.99,21.43
70788-1,Bionicle,Toa,2015,19.99,24.91
70789-1,Bionicle,Toa,2015,19.99,24.51
70790-1,Bionicle,Reboot Villains,2015,14.99,13.42
70791-1,Bionicle,Reboot Villains,2015,14.99,15.8
70792-1,Bionicle,Reboot Villains,2015,14.99,11.02
70793-1,Bionicle,Reboot Villains,2015,14.99,12.56
70794-1,Bionicle,Reboot Villains,2015,14.99,9.71
70795-1,Bionicle,Miscellaneous,2015,29.99,45.62
70817-1,The LEGO Movie,,2015,9.99,10.02
70818-1,The LEGO Movie,,2015,14.99,23.36
70819-1,The LEGO Movie,,2015,29.99,36.37
71008-1,Collectable Minifigures,Series 13,2015,3.99,11.08
71008-2,Collectable Minifigures,Series 13,2015,3.99,4.14
71008-3,Collectable Minifigures,Series 13,2015,3.99,8.79
71008-4,Collectable Minifigures,Series 13,2015,3.99,3.64
71008-5,Collectable Minifigures,Series 13,2015,3.99,3.59
71008-6,Collectable Minifigures,Series 13,2015,3.99,3.88
71008-7,Collectable Minifigures,Series 13,2015,3.99,3.27
71008-8,Collectable Minifigures,Series 13,2015,3.99,5.49
71008-9,Collectable Minifigures,Series 13,2015,3.99,3.68
71008-10,Collectable Minifigures,Series 13,2015,3.99,3.81
71008-11,Collectable Minifigures,Series 13,2015,3.99,4.61
71008-12,Collectable Minifigures,Series 13,2015,3.99,3.78
71008-13,Collectable Minifigures,Series 13,2015,3.99,3.38
71008-14,Collectable Minifigures,Series 13,2015,3.99,7.96
71008-15,Collectable Minifigures,Series 13,2015,3.99,3.39
71008-16,Collectable Minifigures,Series 13,2015,3.99,3.59
71009-1,Collectable Minifigures,The Simpsons Series 2,2015,3.99,2.91
71009-2,Collectable Minifigures,The Simpsons Series 2,2015,3.99,2.81
71009-3,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.44
71009-4,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.89
71009-5,Collectable Minifigures,The Simpsons Series 2,2015,3.99,2.67
71009-6,Collectable Minifigures,The Simpsons Series 2,2015,3.99,2.8
71009-7,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.83
71009-8,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.24
71009-9,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.77
71009-10,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.4
71009-11,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.37
71009-12,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.3
71009-13,Collectable Minifigures,The Simpsons Series 2,2015,3.99,2.61
71009-14,Collectable Minifigures,The Simpsons Series 2,2015,3.99,3.21
71009-15,Collectable Minifigures,The Simpsons Series 2,2015,3.99,2.91
71009-16,Collectable Minifigures,The Simpsons Series 2,2015,3.99,2.84
71010-1,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.86
71010-2,Collectable Minifigures,Series 14 - Monsters,2015,3.99,3.28
71010-3,Collectable Minifigures,Series 14 - Monsters,2015,3.99,2.75
71010-4,Collectable Minifigures,Series 14 - Monsters,2015,3.99,6.61
71010-5,Collectable Minifigures,Series 14 - Monsters,2015,3.99,3.18
71010-6,Collectable Minifigures,Series 14 - Monsters,2015,3.99,3.46
71010-7,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.02
71010-8,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.59
71010-9,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.8
71010-10,Collectable Minifigures,Series 14 - Monsters,2015,3.99,3.86
71010-11,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.42
71010-12,Collectable Minifigures,Series 14 - Monsters,2015,3.99,2.82
71010-13,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.46
71010-14,Collectable Minifigures,Series 14 - Monsters,2015,3.99,3.72
71010-15,Collectable Minifigures,Series 14 - Monsters,2015,3.99,3.31
71010-16,Collectable Minifigures,Series 14 - Monsters,2015,3.99,4.06
71016-1,The Simpsons,,2015,199.99,314.63
71170-1,Dimensions,Starter Pack,2015,99.99,32.38
71171-1,Dimensions,Starter Pack,2015,99.99,52.28
71172-1,Dimensions,Starter Pack,2015,99.99,36.85
71173-1,Dimensions,Starter Pack,2015,99.99,23.48
71174-1,Dimensions,Starter Pack,2015,99.99,12.48
71201-1,Dimensions,Level Pack,2015,29.99,24.44
71202-1,Dimensions,Level Pack,2015,29.99,8.2
71203-1,Dimensions,Level Pack,2015,29.99,25.83
71204-1,Dimensions,Level Pack,2015,29.99,25.45
71205-1,Dimensions,Team Pack,2015,24.99,15.64
71206-1,Dimensions,Team Pack,2015,24.99,29.28
71207-1,Dimensions,Team Pack,2015,24.99,23.82
71209-1,Dimensions,Fun Pack,2015,14.99,7.29
71210-1,Dimensions,Fun Pack,2015,14.99,12.58
71211-1,Dimensions,Fun Pack,2015,14.99,4.89
71212-1,Dimensions,Fun Pack,2015,14.99,4.6
71213-1,Dimensions,Fun Pack,2015,14.99,3.93
71214-1,Dimensions,Fun Pack,2015,14.99,5.47
71215-1,Dimensions,Fun Pack,2015,14.99,13.0
71216-1,Dimensions,Fun Pack,2015,14.99,7.46
71217-1,Dimensions,Fun Pack,2015,14.99,9.84
71218-1,Dimensions,Fun Pack,2015,14.99,7.1
71219-1,Dimensions,Fun Pack,2015,14.99,11.75
71220-1,Dimensions,Fun Pack,2015,14.99,8.04
71221-1,Dimensions,Fun Pack,2015,14.99,12.86
71222-1,Dimensions,Fun Pack,2015,14.99,4.7
71223-1,Dimensions,Fun Pack,2015,14.99,8.79
71227-1,Dimensions,Fun Pack,2015,14.99,6.17
71231-1,Dimensions,Fun Pack,2015,14.99,4.07
71232-1,Dimensions,Fun Pack,2015,14.99,4.82
75060-1,Star Wars,Ultimate Collector Series,2015,199.99,360.72
75072-1,Star Wars,Microfighters,2015,9.99,11.85
75073-1,Star Wars,Microfighters,2015,9.99,11.22
75074-1,Star Wars,Microfighters,2015,9.99,7.92
75075-1,Star Wars,Microfighters,2015,9.99,8.12
75076-1,Star Wars,Microfighters,2015,9.99,16.16
75077-1,Star Wars,Microfighters,2015,9.99,9.51
75078-1,Star Wars,Rebels,2015,12.99,17.05
75079-1,Star Wars,Battlefront,2015,12.99,17.99
75080-1,Star Wars,Episode I,2015,24.99,30.66
75081-1,Star Wars,Episode IV,2015,24.99,24.23
75082-1,Star Wars,Rebels,2015,39.99,60.83
75083-1,Star Wars,Rebels,2015,49.99,67.7
75084-1,Star Wars,Rebels,2015,69.99,64.25
75085-1,Star Wars,Episode II,2015,19.99,48.82
75086-1,Star Wars,Episode I,2015,39.99,79.16
75087-1,Star Wars,Legends,2015,39.99,64.07
75088-1,Star Wars,The Clone Wars,2015,12.99,21.83
75089-1,Star Wars,Legends,2015,12.99,26.16
75090-1,Star Wars,Rebels,2015,19.99,28.67
75091-1,Star Wars,Episode I,2015,29.99,28.67
75092-1,Star Wars,Episode I,2015,49.99,70.82
75093-1,Star Wars,Episode VI,2015,79.99,65.5
75094-1,Star Wars,Episode VI,2015,99.99,151.15
75095-1,Star Wars,Ultimate Collector Series,2015,199.99,235.88
75096-1,Star Wars,Episode I,2015,89.99,115.94
75097-1,Star Wars,Seasonal,2015,39.99,29.88
75099-1,Star Wars,The Force Awakens,2015,19.99,14.28
75100-1,Star Wars,The Force Awakens,2015,39.99,27.01
75101-1,Star Wars,The Force Awakens,2015,69.99,54.87
75102-1,Star Wars,The Force Awakens,2015,79.99,71.69
75103-1,Star Wars,The Force Awakens,2015,89.99,92.26
75104-1,Star Wars,The Force Awakens,2015,119.99,63.55
75105-1,Star Wars,The Force Awakens,2015,149.99,103.36
75106-1,Star Wars,Rebels,2015,129.99,149.52
75107-1,Star Wars,Buildable Figures,2015,19.99,17.7
75108-1,Star Wars,Buildable Figures,2015,19.99,14.74
75109-1,Star Wars,Buildable Figures,2015,24.99,13.08
75110-1,Star Wars,Buildable Figures,2015,19.99,11.64
75111-1,Star Wars,Buildable Figures,2015,29.99,13.19
75112-1,Star Wars,Buildable Figures,2015,34.99,41.64
75899-1,Speed Champions,Ferrari,2015,14.99,29.51
75900-1,Scooby-Doo,,2015,14.99,32.93
75901-1,Scooby-Doo,,2015,19.99,44.21
75902-1,Scooby-Doo,,2015,29.99,84.59
75903-1,Scooby-Doo,,2015,49.99,88.53
75904-1,Scooby-Doo,,2015,89.99,187.43
75908-1,Speed Champions,Ferrari,2015,14.99,27.12
75909-1,Speed Champions,McLaren,2015,14.99,27.06
75910-1,Speed Champions,Porsche,2015,14.99,33.72
75911-1,Speed Champions,McLaren,2015,29.99,56.91
75912-1,Speed Champions,Porsche,2015,49.99,79.35
75913-1,Speed Champions,Ferrari,2015,99.99,122.69
75915-1,Jurassic World,,2015,19.99,20.82
75916-1,Jurassic World,,2015,29.99,39.02
75917-1,Jurassic World,,2015,49.99,67.61
75918-1,Jurassic World,,2015,69.99,79.73
75919-1,Jurassic World,,2015,129.99,216.34
75920-1,Jurassic World,,2015,39.99,97.32
76025-1,DC Comics Super Heroes,Justice League,2015,19.99,21.22
76026-1,DC Comics Super Heroes,Justice League,2015,49.99,38.93
76027-1,DC Comics Super Heroes,Justice League,2015,39.99,37.51
76028-1,DC Comics Super Heroes,Justice League,2015,69.99,58.79
76029-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,12.99,19.18
76030-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,19.99,15.65
76031-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,29.99,44.55
76032-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,79.99,87.69
76034-1,DC Comics Super Heroes,Batman,2015,29.99,29.2
76035-1,DC Comics Super Heroes,Batman,2015,119.99,104.29
76036-1,Marvel Super Heroes,Ultimate Spider-Man,2015,12.99,16.23
76037-1,Marvel Super Heroes,Ultimate Spider-Man,2015,39.99,48.39
76038-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,59.99,101.15
76039-1,Marvel Super Heroes,Ant-Man,2015,19.99,47.08
76040-1,DC Comics Super Heroes,Justice League,2015,24.99,51.16
76041-1,Marvel Super Heroes,Avengers: Age of Ultron,2015,49.99,65.0
76042-1,Marvel Super Heroes,The Avengers,2015,349.99,388.81
5002948-1,Star Wars,The Force Awakens,2015,3.99,6.12
5004077-1,Promotional,Target,2015,9.99,14.99
1100-1,Town,Special,2001,17.0,27.2
1351-1,Studios,,2001,60.0,40.0
1352-1,Studios,,2001,35.0,31.55
1353-1,Studios,,2001,20.0,18.11
1354-1,Studios,,2001,10.0,12.98
1355-1,Studios,,2001,7.0,14.99
1356-1,Studios,,2001,4.0,4.26
1357-1,Studios,,2001,2.0,5.51
1360-1,Studios,,2001,3.0,3.47
1361-1,Studios,,2001,3.0,3.24
1362-1,Studios,,2001,3.0,3.71
1363-1,Studios,,2001,3.0,2.31
1370-1,Studios,Jurassic Park III,2001,20.0,26.18
1371-1,Studios,Jurassic Park III,2001,35.0,66.34
1388-1,Bionicle,Matoran,2001,2.0,16.07
1389-1,Bionicle,Matoran,2001,2.0,23.71
1390-1,Bionicle,Matoran,2001,2.0,20.12
1391-1,Bionicle,Matoran,2001,2.0,25.57
1392-1,Bionicle,Matoran,2001,2.0,17.42
1393-1,Bionicle,Matoran,2001,2.0,21.11
1403-1,Duplo,,2001,3.0,3.29
1404-1,Duplo,,2001,3.0,4.65
1405-1,Duplo,,2001,3.0,2.8
1411-1,Studios,,2001,0.0,11.4
2947-1,Action Wheelers,,2001,15.0,22.03
2949-1,Action Wheelers,,2001,35.0,109.19
2951-1,Duplo,Dolls,2001,10.0,29.76
2952-1,Duplo,Dolls,2001,10.0,48.47
2953-1,Duplo,Dolls,2001,10.0,28.28
2954-1,Duplo,Dolls,2001,15.0,35.45
2955-1,Duplo,Dolls,2001,30.0,64.99
2961-1,Duplo,Dolls,2001,20.0,64.69
2971-1,Duplo,,2001,3.0,4.63
2973-1,Baby,,2001,8.0,11.28
3085-1,Duplo,,2001,20.0,29.92
3087-1,Duplo,,2001,4.0,5.79
3088-1,Duplo,,2001,10.0,39.15
3089-1,Duplo,,2001,15.0,24.99
3090-1,Duplo,,2001,15.0,29.48
3091-1,Duplo,,2001,4.0,5.52
3092-1,Duplo,,2001,10.0,21.96
3093-1,Duplo,,2001,20.0,28.35
3095-1,Duplo,,2001,40.0,40.98
3121-1,Scala,Dolls,2001,8.0,16.77
3122-1,Scala,Dolls,2001,15.0,36.65
3124-1,Scala,Dolls,2001,50.0,55.59
3263-1,Duplo,Zooters,2001,10.0,17.5
3264-1,Duplo,Zooters,2001,10.0,10.0
3265-1,Duplo,Zooters,2001,12.0,30.28
3266-1,Duplo,,2001,15.0,35.35
3267-1,Duplo,,2001,10.0,16.17
3271-1,Duplo,Bob the Builder,2001,6.0,5.52
3272-1,Duplo,Bob the Builder,2001,10.0,11.0
3273-1,Duplo,Bob the Builder,2001,15.0,31.52
3275-1,Duplo,Bob the Builder,2001,20.0,43.53
3276-1,Duplo,Bob the Builder,2001,30.0,27.57
3416-1,Sports,Football,2001,9.95,12.75
3451-1,Creator Expert,Aircraft,2001,50.0,127.2
3724-1,Creator Expert,Sculptures,2001,99.0,325.0
3740-1,Trains,9V,2001,15.0,45.0
3741-1,Trains,9V,2001,20.0,101.74
3742-1,Trains,9V,2001,11.0,62.5
3743-1,Trains,9V,2001,7.0,10.0
3744-1,Trains,9V,2001,7.0,16.2
3747-1,Trains,9V,2001,7.0,17.58
3748-1,Trains,9V,2001,10.0,19.99
3800-1,Mindstorms,1.5,2001,60.0,108.92
3804-1,Mindstorms,2.0,2001,200.0,100.0
4016-1,Creator,Promotional,2001,2.0,0.65
4017-1,Creator,Promotional,2001,2.0,2.83
4018-1,Creator,Promotional,2001,2.0,1.79
4019-1,Creator,Promotional,2001,2.0,1.52
4115-1,Creator,Bucket,2001,8.0,11.47
4116-1,Creator,Bucket,2001,10.0,7.48
4118-1,Creator,Bucket,2001,30.0,32.0
4119-1,Creator,Bucket,2001,15.0,17.97
4120-1,Creator,Bucket,2001,20.0,26.06
4124-1,Creator,Seasonal,2001,15.0,22.11
4171-1,Creator,,2001,3.0,2.94
4172-1,Creator,,2001,4.0,5.09
4173-1,Creator,,2001,7.0,8.48
4175-1,Creator,,2001,20.0,37.98
4566-1,Racers,Xalax,2001,3.0,10.75
4567-1,Racers,Xalax,2001,3.0,5.0
4568-1,Racers,Xalax,2001,3.0,2.92
4569-1,Racers,Xalax,2001,3.0,7.99
4570-1,Racers,Xalax,2001,3.0,4.75
4571-1,Racers,Xalax,2001,3.0,4.99
4572-1,Racers,Xalax,2001,3.0,4.74
4573-1,Racers,Xalax,2001,3.0,4.98
4574-1,Racers,Xalax,2001,3.0,2.35
4575-1,Racers,Xalax,2001,3.0,9.99
4576-1,Racers,Xalax,2001,3.0,12.45
4577-1,Racers,Xalax,2001,3.0,6.59
4578-1,Racers,Xalax,2001,3.0,119.99
4579-1,Racers,Xalax,2001,20.0,21.28
4600-1,Jack Stone,,2001,4.0,3.8
4601-1,Jack Stone,,2001,4.0,2.67
4603-1,Jack Stone,,2001,7.0,4.0
4604-1,Jack Stone,,2001,7.0,5.64
4605-1,Jack Stone,,2001,10.0,3.94
4606-1,Jack Stone,,2001,13.0,5.29
4607-1,Jack Stone,,2001,20.0,17.5
4608-1,Jack Stone,,2001,20.0,10.78
4609-1,Jack Stone,,2001,35.0,10.0
4610-1,Jack Stone,,2001,50.0,22.86
4611-1,Jack Stone,,2001,70.0,22.54
4701-1,Harry Potter,Philosopher's Stone,2001,7.0,18.83
4702-1,Harry Potter,Philosopher's Stone,2001,10.0,23.76
4704-1,Harry Potter,Philosopher's Stone,2001,20.0,45.94
4705-1,Harry Potter,Philosopher's Stone,2001,20.0,42.35
4706-1,Harry Potter,Philosopher's Stone,2001,30.0,48.24
4707-1,Harry Potter,Philosopher's Stone,2001,30.0,44.8
4708-1,Harry Potter,Philosopher's Stone,2001,50.0,64.99
4709-1,Harry Potter,Philosopher's Stone,2001,90.0,114.83
4721-1,Harry Potter,Philosopher's Stone,2001,10.0,37.85
4722-1,Harry Potter,Philosopher's Stone,2001,10.0,30.35
4723-1,Harry Potter,Philosopher's Stone,2001,10.0,35.31
5599-1,Racers,,2001,80.0,29.68
5831-1,Belville,Fairy-Tale,2001,5.0,15.27
5832-1,Belville,Fairy-Tale,2001,9.0,16.83
5833-1,Belville,Fairy-Tale,2001,17.0,25.26
5834-1,Belville,Fairy-Tale,2001,42.0,43.97
6290-1,Pirates,,2001,99.99,308.46
6291-1,Pirates,,2001,50.0,212.94
6292-1,Pirates,Islanders,2001,70.0,188.17
6472-1,Town,Shops and Services,2001,50.0,93.5
6719-1,Dinosaurs,,2001,10.0,25.94
6720-1,Dinosaurs,,2001,10.0,14.27
6721-1,Dinosaurs,,2001,10.0,43.54
6722-1,Dinosaurs,,2001,10.0,15.29
6771-1,Alpha Team,,2001,4.0,5.58
6772-1,Alpha Team,,2001,7.0,7.13
6773-1,Alpha Team,,2001,10.0,10.86
6774-1,Alpha Team,,2001,20.0,14.78
6775-1,Alpha Team,,2001,35.0,17.26
6776-1,Alpha Team,,2001,50.0,100.34
7000-1,Dinosaurs,,2001,3.0,4.53
7001-1,Dinosaurs,,2001,3.0,6.27
7002-1,Dinosaurs,,2001,3.0,7.31
7003-1,Dinosaurs,,2001,3.0,6.41
7106-1,Star Wars,Episode IV,2001,6.0,18.37
7126-1,Star Wars,Episode I,2001,10.0,34.27
7127-1,Star Wars,Episode VI,2001,10.0,25.55
7146-1,Star Wars,Episode IV,2001,20.0,42.28
7166-1,Star Wars,Episode VI,2001,35.0,75.2
7186-1,Star Wars,Episode I,2001,50.0,177.5
7300-1,Space,Life On Mars,2001,3.0,5.0
7301-1,Space,Life On Mars,2001,3.0,4.19
7302-1,Space,Life On Mars,2001,3.0,16.0
7310-1,Space,Life On Mars,2001,4.0,4.58
7311-1,Space,Life On Mars,2001,7.0,5.73
7312-1,Space,Life On Mars,2001,10.0,13.85
7313-1,Space,Life On Mars,2001,20.0,16.63
7314-1,Space,Life On Mars,2001,20.0,22.39
7315-1,Space,Life On Mars,2001,35.0,35.49
7316-1,Space,Life On Mars,2001,50.0,33.01
7317-1,Space,Life On Mars,2001,90.0,108.43
8007-1,Star Wars,Technic,2001,35.0,51.67
8008-1,Star Wars,Technic,2001,35.0,30.62
8240-1,Technic,Speed Slammers,2001,15.0,9.0
8241-1,Technic,Speed Slammers,2001,9.0,8.75
8242-1,Technic,Speed Slammers,2001,20.0,10.73
8463-1,Technic,,2001,30.0,22.24
8464-1,Technic,,2001,70.0,85.48
8465-1,Technic,,2001,40.0,68.19
8466-1,Technic,,2001,119.99,161.36
8531-1,Bionicle,Toa Mata,2001,7.0,13.18
8532-1,Bionicle,Toa Mata,2001,7.0,12.37
8533-1,Bionicle,Toa Mata,2001,7.0,13.66
8534-1,Bionicle,Toa Mata,2001,7.0,15.13
8535-1,Bionicle,Toa Mata,2001,7.0,14.45
8536-1,Bionicle,Toa Mata,2001,7.0,17.44
8537-1,Bionicle,Rahi,2001,15.0,39.15
8538-1,Bionicle,Rahi,2001,70.0,134.95
8539-1,Bionicle,Rahi,2001,90.0,204.71
8540-1,Bionicle,Turaga,2001,3.0,9.92
8541-1,Bionicle,Turaga,2001,3.0,10.2
8542-1,Bionicle,Turaga,2001,3.0,9.5
8543-1,Bionicle,Turaga,2001,3.0,9.31
8544-1,Bionicle,Turaga,2001,3.0,10.2
8545-1,Bionicle,Turaga,2001,3.0,9.84
8546-1,Bionicle,Matoran,2001,15.0,86.06
8548-1,Bionicle,Rahi,2001,35.0,73.15
8549-1,Bionicle,Rahi,2001,50.0,124.22
9126-1,Education,Duplo,2001,43.25,58.53
9783-1,Education,,2001,30.0,13.0
10000-1,Castle,Lion Knights,2001,25.0,220.49
10001-1,Trains,9V,2001,149.0,406.31
10002-1,Trains,9V,2001,37.5,246.37
10003-1,Bulk Bricks,,2001,6.0,41.65
10006-1,Bulk Bricks,,2001,7.0,23.38
10010-1,Bulk Bricks,,2001,4.99,5.51
10011-1,Bulk Bricks,,2001,4.99,5.5
10013-1,Trains,9V,2001,17.0,49.99
10014-1,Trains,9V,2001,15.0,62.57
10015-1,Trains,9V,2001,19.99,79.46
10016-1,Trains,9V,2001,20.0,82.53
10017-1,Trains,9V,2001,20.0,68.07
10018-1,Star Wars,Ultimate Collector Series,2001,150.0,624.39
10019-1,Star Wars,Ultimate Collector Series,2001,200.0,542.5
78777-1,Space,Life On Mars,2001,8.0,30.0
78800-1,Sports,Product Collection,2001,20.0,49.99
10255-1,Creator Expert,Modular Buildings Collection,2017,279.99,224.07
10256-1,Creator Expert,Buildings,2017,369.99,303.96
10257-1,Creator Expert,Fairground,2017,199.99,261.65
10258-1,Creator Expert,Vehicles,2017,139.99,95.74
10259-1,Creator Expert,Winter Village,2017,79.99,145.39
10706-1,Classic,,2017,4.99,4.0
10707-1,Classic,,2017,4.99,4.0
10708-1,Classic,,2017,4.99,3.58
10709-1,Classic,,2017,4.99,2.04
10730-1,Juniors,Cars 3,2017,9.99,5.85
10731-1,Juniors,Cars 3,2017,9.99,8.27
10732-1,Juniors,Cars 3,2017,9.99,9.0
10733-1,Juniors,Cars 3,2017,9.99,14.98
10734-1,Juniors,City,2017,29.99,20.0
10735-1,Juniors,City,2017,19.99,13.1
10736-1,Juniors,Disney Princess,2017,24.99,40.2
10737-1,Juniors,DC Comics Super Heroes,2017,14.99,6.75
10738-1,Juniors,Disney Princess,2017,14.99,22.5
10739-1,Juniors,Ninjago,2017,19.99,9.68
10740-1,Juniors,City,2017,19.99,11.68
10742-1,Juniors,Cars 3,2017,19.99,18.0
10743-1,Juniors,Cars 3,2017,19.99,32.45
10744-1,Juniors,Cars 3,2017,34.99,39.3
10745-1,Juniors,Cars 3,2017,49.99,42.97
10823-1,Duplo,Batman,2017,29.99,35.0
10832-1,Duplo,,2017,14.99,10.95
10833-1,Duplo,,2017,19.99,14.21
10834-1,Duplo,,2017,29.99,20.99
10835-1,Duplo,,2017,39.99,39.99
10837-1,Duplo,,2017,29.99,37.76
10838-1,Duplo,,2017,9.99,16.71
10840-1,Duplo,,2017,79.99,49.63
10842-1,Duplo,Batman,2017,49.99,76.5
10843-1,Duplo,Mickey and the Roadster Racers,2017,14.99,11.1
10844-1,Duplo,Minnie,2017,39.99,45.57
10846-1,Duplo,Cars 3,2017,39.99,58.5
10847-1,Duplo,,2017,19.99,10.67
10849-1,Duplo,,2017,4.99,1.86
10850-1,Duplo,,2017,4.99,4.06
10852-1,Duplo,,2017,4.99,1.26
10856-1,Duplo,Cars 3,2017,19.99,11.31
10857-1,Duplo,Cars 3,2017,29.99,36.85
17101-1,Boost,,2017,159.99,100.43
21032-1,Architecture,Skylines,2017,29.99,87.96
21033-1,Architecture,Skylines,2017,39.99,109.81
21034-1,Architecture,Skylines,2017,39.99,21.17
21035-1,Architecture,Landmark Series,2017,79.99,71.27
21036-1,Architecture,Landmark Series,2017,39.99,53.95
21129-1,Minecraft,Minifig-scale,2017,19.99,20.96
21130-1,Minecraft,Minifig-scale,2017,29.99,45.0
21131-1,Minecraft,Minifig-scale,2017,39.99,78.58
21132-1,Minecraft,Minifig-scale,2017,49.99,65.0
21133-1,Minecraft,Minifig-scale,2017,59.99,134.84
21134-1,Minecraft,Minifig-scale,2017,69.99,105.0
21135-1,Minecraft,Minifig-scale,2017,59.99,80.0
21136-1,Minecraft,Minifig-scale,2017,119.99,177.04
21137-1,Minecraft,Minifig-scale,2017,249.99,668.81
21308-1,Ideas,Licensed,2017,49.99,26.85
21309-1,Ideas,NASA,2017,119.99,90.84
21310-1,Ideas,,2017,149.99,317.66
21312-1,Ideas,NASA,2017,24.99,31.94
30401-1,Friends,Summer,2017,3.99,2.35
30496-1,Star Wars,Rogue One,2017,3.99,3.82
30607-1,The LEGO Batman Movie,Promotional,2017,3.99,11.7
31054-1,Creator,3 in 1,2017,4.99,5.3
31055-1,Creator,3 in 1,2017,4.99,3.45
31056-1,Creator,3 in 1,2017,9.99,7.18
31057-1,Creator,3 in 1,2017,9.99,5.82
31058-1,Creator,3 in 1,2017,14.99,9.88
31059-1,Creator,3 in 1,2017,19.99,26.58
31060-1,Creator,3 in 1,2017,19.99,17.25
31062-1,Creator,3 in 1,2017,19.99,11.5
31063-1,Creator,3 in 1,2017,29.99,23.97
31064-1,Creator,3 in 1,2017,34.99,24.95
31065-1,Creator,3 in 1,2017,49.99,54.5
31066-1,Creator,3 in 1,2017,29.99,20.61
31067-1,Creator,3 in 1,2017,29.99,34.25
31068-1,Creator,3 in 1,2017,29.99,38.68
31069-1,Creator,3 in 1,2017,69.99,55.0
31070-1,Creator,3 in 1,2017,59.99,44.0
40170-1,City,General,2017,9.99,11.0
40171-1,Friends,Miscellaneous,2017,12.99,11.0
40236-1,Seasonal,Valentine's Day,2017,9.99,9.33
40237-1,Seasonal,Easter,2017,9.99,9.87
40260-1,Seasonal,Halloween,2017,9.99,24.22
40261-1,Seasonal,Thanksgiving,2017,9.99,14.0
40262-1,Seasonal,Christmas,2017,9.99,11.82
40263-1,Seasonal,Christmas,2017,9.99,15.29
