set_number,Year,Pieces,Minifigs,retale_price,resale_price,Launch date,Exit date,Theme,years_in_retirement,total_price_increase,average_increase_per_year,percentage_increase_per_year,adjusted_value_new,total_price_increase_real,percentage_increase_per_year_real,average_increase_per_year_real,Subtheme
6581-1,1996,127.0,2.0,13.25,54.59,01/07/1996,1997-12-31,Town,25,41.34,1.6536000000000002,3.029126213592233,33.274290222138745,20.024290222138745,1.4672496957053485,0.8009716088855499,Construction
6598-1,1996,552.0,8.0,66.0,270.69,01/01/1996,1997-12-31,Town,25,204.69,8.1876,3.0247146181979385,164.99391134329983,98.99391134329983,1.4628381003110544,3.959756453731993,Police
6615-1,1996,76.0,1.0,8.75,56.4,01/07/1996,1997-12-31,Town,25,47.65,1.906,3.379432624113475,34.37754109779493,25.627541097794932,1.817556106226591,1.0251016439117973,Flight
6712-1,1996,28.0,2.0,4.0,81.1,01/09/1996,1998-12-31,Western,24,77.1,3.2125,3.961159062885327,50.421612671840286,46.421612671840286,2.3849985959638453,1.9342338613266785,Cowboys
6716-1,1996,64.0,1.0,8.0,152.52,01/09/1996,1998-12-31,Western,24,144.52,6.021666666666667,3.9481160940641664,94.82496134043257,86.82496134043257,2.371955627142685,3.6177067225180237,Cowboys
6755-1,1996,176.0,4.0,25.0,375.0,01/08/1996,1998-12-31,Western,24,350.0,14.583333333333334,3.888888888888889,233.1455579770667,208.1455579770667,2.312728421967408,8.672731582377779,Cowboys
6769-1,1996,687.0,10.0,85.0,400.0,01/10/1996,1998-12-31,Western,24,315.0,13.125,3.28125,248.68859517553778,163.68859517553778,1.7050895330785185,6.820358132314074,Cowboys
6854-1,1996,53.0,1.0,6.0,112.59,01/04/1996,1996-12-31,Space,26,106.59,4.099615384615385,3.641189612412634,67.28145167919503,61.28145167919503,2.093417630995888,2.3569789107382704,Exploriens
6856-1,1996,80.0,1.0,8.0,37.91,01/04/1996,1997-12-31,Space,25,29.909999999999997,1.1964,3.1558955420733317,23.107315301727052,15.107315301727052,1.5940190241864471,0.6042926120690821,Exploriens
6899-1,1996,158.0,2.0,15.0,65.03,01/04/1996,1997-12-31,Space,25,50.03,2.0012,3.077348915884976,39.63779251045398,24.637792510453977,1.5154723979980917,0.985511700418159,Exploriens
6938-1,1996,196.0,2.0,24.0,137.63,01/04/1996,1996-12-31,Space,26,113.63,4.370384615384615,3.175459286045641,82.24483697137944,58.24483697137944,1.6276873046288949,2.240186037360748,Exploriens
6958-1,1996,267.0,3.0,40.0,338.54,01/01/1996,1997-12-31,Space,25,298.54,11.941600000000001,3.527382288651267,206.35058090864356,166.35058090864356,1.9655057707643833,6.6540232363457426,Exploriens
6982-1,1996,662.0,4.0,80.0,312.0,01/01/1996,1997-12-31,Space,25,232.0,9.28,2.9743589743589745,190.17363160482302,110.17363160482302,1.41248245647209,4.40694526419292,Exploriens
2147-1,1997,183.0,2.0,28.0,23.02,01/01/1997,2000-12-31,Town,22,-4.98,-0.22636363636363638,-0.9833346497117131,14.89023460990723,-13.10976539009277,-2.5886117585681956,-0.5958984268223987,Special
2148-1,1997,105.0,1.0,11.0,73.86,01/01/1997,1999-12-31,Town,23,62.86,2.7330434782608695,3.7003025700797045,46.838756081146315,35.838756081146315,2.1096761252867537,1.5582067861367963,Vehicles
2153-1,1997,280.0,2.0,30.0,90.0,01/01/1997,1999-03-01,Space,23,60.0,2.608695652173913,2.8985507246376807,57.074032592785926,27.074032592785926,1.3079242798447306,1.1771318518602576,RoboForce
2160-1,1997,110.0,1.0,15.0,77.31,01/05/1997,1998-12-31,Aquazone,24,62.31,2.59625,3.3582330875695257,48.06528823255207,33.06528823255207,1.7820726206480442,1.377720343023003,Aquaraiders
2161-1,1997,136.0,1.0,25.0,77.0,01/05/1997,1998-12-31,Aquazone,24,52.0,2.1666666666666665,2.813852813852814,47.872554571291026,22.872554571291026,1.2376923469313328,0.9530231071371261,Aquaraiders
6027-1,1997,55.0,2.0,6.75,49.78,01/01/1997,1998-12-31,Castle,24,43.03,1.7929166666666667,3.6016807285389043,30.949295669595678,24.199295669595678,2.025520261617423,1.0083039862331533,Fright Knights
