Number,Theme,Subtheme,Year,RRP (USD),Minifigs,Pieces,Launch date,Retired Date,min_value_new,max_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used,final_value_new
5053-1,Service Packs,,1993.0,3.5,,76.0,,,,,,,,,,6.39
5056-1,Service Packs,Space,1993.0,4.25,,37.0,,,,,,,,,,26.37
5057-1,Service Packs,Space,1993.0,3.0,,27.0,,,,,,,,,,10.96
5117-1,Service Packs,Technic,1993.0,4.0,,7.0,,,,,,,,,,11.25
5119-1,Service Packs,,1993.0,10.0,,4.0,,,,,,,,,,87.9
5120-1,Service Packs,Technic,1993.0,5.5,,3.0,,,11.454612637024264,11.454612637024264,11.0,4.033491667337573,8.061897457143177,6.047694562240375,4.0,11.454612637024264
5235-1,Service Packs,Technic,1993.0,4.5,,10.0,,,,,,,,,,7.35
5267-1,Service Packs,Technic,1993.0,4.0,,16.0,,,,,,,,,,2.35
5276-1,Service Packs,Technic,1993.0,4.5,,23.0,,,,,,,,,,21.42
5277-1,Service Packs,Technic,1993.0,4.0,,12.0,,,,,,,,,,8.4
5280-1,Service Packs,Technic,1993.0,3.25,,10.0,,,,,,,,,,2.24
5521-1,Model Team,,1993.0,36.5,,401.0,,,,,,,,,,299.29
5581-1,Model Team,,1993.0,79.0,,784.0,,,,,,,,,,540.0
6020-1,Castle,Dragon Knights,1993.0,4.5,1.0,47.0,,,112.5,112.5,1.0,17.87549716226483,53.67254381021389,31.669370577080887,7.0,112.5
6043-1,Castle,Dragon Knights,1993.0,12.0,2.0,157.0,,,60.6,60.6,1.0,32.471531424604464,41.50437013110393,35.85571365349055,4.0,60.6
6048-1,Castle,Dragon Knights,1993.0,26.0,2.0,185.0,,,,,,,,,,229.85
6056-1,Castle,Dragon Knights,1993.0,20.0,2.0,105.0,,,,,,,,,,139.3
6076-1,Castle,Dragon Knights,1993.0,43.0,4.0,214.0,,,,,,,,,,420.0
6082-1,Castle,Dragon Knights,1993.0,64.0,6.0,397.0,,,,,,,,,,756.06
6105-1,Castle,Accessories,1993.0,6.75,4.0,41.0,,,,,,,,,,165.59
6237-1,Pirates,,1993.0,3.0,2.0,21.0,,,,,,,,,,101.84
6252-1,Pirates,Accessories,1993.0,7.25,4.0,32.0,,,,,,,,,,75.0
6266-1,Pirates,Imperial Guards,1993.0,17.5,3.0,106.0,,,,,,,,,,235.85
6268-1,Pirates,,1993.0,39.75,4.0,178.0,,,268.3627190510694,268.3627190510694,1.0,147.5994954780882,228.108311193409,176.4777016678743,4.0,268.3627190510694
6286-1,Pirates,,1993.0,126.5,9.0,912.0,,,3030.0,3030.0,1.0,503.8685910714486,503.8685910714486,503.8685910714486,2.0,3030.0
6319-1,Town,Accessories,1993.0,4.5,,37.0,,,,,,,,,,26.24
6342-1,Town,Coastguard,1993.0,17.5,3.0,147.0,,,,,,,,,,93.49
6344-1,Town,Police,1993.0,21.0,2.0,157.0,,,,,,,,,,107.03
6345-1,Town,Flight,1993.0,34.0,6.0,351.0,,,,,,,,,,177.3
6398-1,Town,Police,1993.0,73.0,5.0,615.0,,,,,,,,,,450.0
6403-1,Town,Paradisa,1993.0,13.25,3.0,94.0,,,,,,,,,,119.75
6409-1,Town,Paradisa,1993.0,21.0,5.0,145.0,,,,,,,,,,138.13
6513-1,Town,Boats,1993.0,3.25,1.0,31.0,,,,,,,,,,28.43
6536-1,Town,Flight,1993.0,4.5,1.0,48.0,,,,,,,,,,26.8
6539-1,Town,Racing,1993.0,42.0,4.0,458.0,,,,,,,,,,146.02
6552-1,Town,Leisure,1993.0,29.75,2.0,241.0,,,,,,,,,,187.96
6663-1,Town,Vehicles,1993.0,7.25,1.0,79.0,,,,,,,,,,30.37
6664-1,Town,Police,1993.0,7.25,2.0,67.0,,,,,,,,,,45.0
6667-1,Town,Maintenance,1993.0,9.25,1.0,97.0,,,45.0,45.0,1.0,23.75071252137564,53.67254381021389,36.98953207099107,5.0,45.0
6670-1,Town,Vehicles,1993.0,9.25,1.0,114.0,,,67.18247880952647,67.18247880952647,1.0,11.69,13.425298682103708,12.693350266652104,6.0,67.18247880952647
6813-1,Space,Space Police 2,1993.0,3.0,1.0,24.0,,,,,,,,,,72.5
6814-1,Space,Ice Planet 2002,1993.0,3.0,1.0,25.0,,,,,,,,,,61.41
6834-1,Space,Ice Planet 2002,1993.0,4.0,1.0,55.0,,,,,,,,,,119.94
6852-1,Space,Space Police 2,1993.0,6.0,1.0,61.0,,,,,,,,,,51.04
6879-1,Space,Ice Planet 2002,1993.0,8.0,1.0,82.0,,,,,,,,,,93.02
6898-1,Space,Ice Planet 2002,1993.0,15.0,1.0,135.0,,,334.7926860674736,334.7926860674736,1.0,44.788319206350984,45.836352413922654,45.312335810136815,2.0,334.7926860674736
6973-1,Space,Ice Planet 2002,1993.0,45.0,3.0,417.0,,,,,,,,,,974.61
6983-1,Space,Ice Planet 2002,1993.0,60.0,3.0,343.0,,,,,,,,,,641.9
8022-1,Technic,Universal,1993.0,15.5,,118.0,,,27.5,27.5,1.0,7.390072669047912,17.376486058556743,12.383279363802329,2.0,27.5
8042-1,Technic,Universal,1993.0,38.5,,230.0,,,87.21788369159756,87.21788369159756,1.0,36.95036334523956,67.0705080115106,52.010435678375075,2.0,87.21788369159756
8082-1,Technic,Universal,1993.0,99.0,,459.0,,,,,,,,,,188.37
8714-1,Technic,Supplementary,1993.0,9.0,3.0,9.0,,,,,,,,,,90.0
8818-1,Technic,,1993.0,13.25,,120.0,,,,,,,,,,38.04
8824-1,Technic,,1993.0,25.5,,194.0,,,44.7771221265494,44.7771221265494,1.0,19.95,22.55186109545662,20.700317752337767,4.0,44.7771221265494
8872-1,Technic,,1993.0,82.0,,763.0,,,,,,,,,,413.45
9365-1,Dacta,,1993.0,69.0,13.0,739.0,,,,,,,,,,449.0
9610-1,Dacta,Technic,1993.0,12.5,2.0,67.0,,,20.75,35.01326853956488,6.0,19.0,21.12,20.06,2.0,27.87831713489122
9612-1,Dacta,Technic,1993.0,15.0,,62.0,,,27.936714104961425,31.0,7.0,22.25,49.99,29.96688503733942,10.0,29.468357052480712
9614-1,Dacta,Technic,1993.0,15.0,,77.0,,,,,,,,,,10.0
1782-1,Town,Divers,1997.0,50.0,5.0,322.0,,,,,,,,,,200.0
1783-1,Primo,,1997.0,1.0,,2.0,,,,,,,,,,3.99
2126-1,Trains,9V,1997.0,69.5,5.0,378.0,,,368.38392547223685,446.76348408335105,2.0,156.75911722222844,156.75911722222844,156.75911722222844,1.0,407.573704777794
2129-1,Technic,,1997.0,7.0,,63.0,01/01/1997,31/12/1998,,,,,,,,20.16
2147-1,Town,Special,1997.0,28.0,2.0,183.0,01/01/1997,31/12/2000,,,,,,,,23.02
2148-1,Town,Vehicles,1997.0,11.0,1.0,105.0,01/01/1997,31/12/1999,,,,,,,,73.86
2151-1,Space,RoboForce,1997.0,12.0,1.0,136.0,,,,,,,,,,60.58
2152-1,Space,RoboForce,1997.0,20.0,1.0,221.0,,,,,,,,,,82.87
2153-1,Space,RoboForce,1997.0,30.0,2.0,280.0,01/01/1997,01/03/1999,,,,,,,,90.0
2154-1,Space,RoboForce,1997.0,36.0,2.0,366.0,,,,,,,,,,300.0
2160-1,Aquazone,Aquaraiders,1997.0,15.0,1.0,110.0,01/05/1997,31/12/1998,,,,,,,,77.31
2161-1,Aquazone,Aquaraiders,1997.0,25.0,1.0,136.0,01/05/1997,31/12/1998,,,,,,,,77.0
2162-1,Aquazone,Aquaraiders,1997.0,40.0,2.0,287.0,,,268.12575412253653,268.12575412253653,1.0,83.9780985119081,90.0,86.98904925595406,2.0,268.12575412253653
2601-1,Duplo,,1997.0,7.0,,7.0,,,,,,,,,,24.58
2604-1,Duplo,,1997.0,70.0,4.0,58.0,,,,,,,,,,136.2
2806-1,Duplo,,1997.0,3.0,1.0,4.0,,,,,,,,,,12.92
2845-1,Western,Indians,1997.0,0.0,1.0,20.0,,,,,,,,,,24.1
2846-1,Western,Indians,1997.0,0.0,1.0,18.0,,,56.0,56.0,1.0,10.734508762042775,10.734508762042775,10.734508762042775,1.0,56.0
2878-1,Basic,Seasonal,1997.0,2.0,,16.0,,,,,,,,,,4.75
2886-1,Town,Racing,1997.0,2.0,,25.0,,,,,,,,,,10.35
3200-1,Scala,Dolls,1997.0,16.5,1.0,31.0,,,,,,,,,,72.88
3241-1,Scala,Dolls,1997.0,22.0,2.0,54.0,,,,,,,,,,49.95
3243-1,Scala,Dolls,1997.0,26.5,2.0,92.0,,,,,,,,,,190.0
3270-1,Scala,Dolls,1997.0,76.0,1.0,120.0,,,,,,,,,,242.42
4137-1,Freestyle,,1997.0,15.0,,131.0,,,,,,,,,,18.59
4139-1,Freestyle,,1997.0,23.0,,249.0,,,,,,,,,,45.97
4157-1,Freestyle,,1997.0,1.5,,33.0,,,,,,,,,,7.98
5201-1,Service Packs,Technic,1997.0,4.0,,20.0,,,,,,,,,,3.86
5202-1,Service Packs,Technic,1997.0,4.0,,8.0,,,,,,,,,,5.51
5227-1,Service Packs,,1997.0,3.0,,8.0,,,,,,,,,,16.26
5228-1,Service Packs,Technic,1997.0,4.5,,26.0,,,,,,,,,,5.37
5229-1,Service Packs,Technic,1997.0,4.0,,23.0,,,,,,,,,,13.46
5391-1,Service Packs,,1997.0,5.0,,1.0,,,,,,,,,,12.39
5392-1,Service Packs,Western,1997.0,5.0,,34.0,,,,,,,,,,33.17
5393-1,Service Packs,,1997.0,3.0,,31.0,,,,,,,,,,15.63
5394-1,Service Packs,,1997.0,4.5,,12.0,,,,,,,,,,39.57
5561-1,Model Team,,1997.0,88.0,,761.0,,,,,,,,,,325.0
6007-1,Castle,Fright Knights,1997.0,4.5,1.0,12.0,,,,,,,,,,112.79
6027-1,Castle,Fright Knights,1997.0,6.75,2.0,55.0,01/01/1997,31/12/1998,77.63785481017234,77.63785481017234,2.0,20.12720392883021,38.62992531547772,29.378564622153966,2.0,77.63785481017234
6037-1,Castle,Fright Knights,1997.0,8.0,1.0,56.0,01/01/1997,31/12/1998,83.9780985119081,83.9780985119081,1.0,28.787692169882096,67.09067976276735,47.93918596632472,2.0,83.9780985119081
6087-1,Castle,Fright Knights,1997.0,44.0,6.0,250.0,01/01/1997,31/12/1998,331.807212763105,331.807212763105,1.0,128.76641771825908,187.8539033357486,150.26722685984743,3.0,331.807212763105
6097-1,Castle,Fright Knights,1997.0,80.0,8.0,601.0,01/01/1997,31/12/1998,,,,,,,,419.98
6099-1,Castle,Fright Knights,1997.0,20.0,3.0,140.0,,,,,,,,,,247.86
6204-1,Pirates,Accessories,1997.0,6.0,5.0,36.0,,,,,,,,,,150.0
6249-1,Pirates,,1997.0,22.0,3.0,156.0,,,,,,,,,,399.99
6250-1,Pirates,,1997.0,33.0,3.0,154.0,,,871.4237833489744,871.4237833489744,1.0,350.0,700.0,525.0,2.0,871.4237833489744
6281-1,Pirates,,1997.0,73.0,6.0,395.0,,,,,,,,,,1408.73
6320-1,Town,Accessories,1997.0,6.0,,2.0,,,28.843677568890037,48.0,5.0,18.47518167261978,24.12754014935768,21.30136091098873,2.0,38.421838784445015
6321-1,Town,Accessories,1997.0,6.0,,2.0,,,28.28046445487017,28.28046445487017,2.0,12.31678778174652,12.31678778174652,12.31678778174652,1.0,28.28046445487017
6322-1,Town,Accessories,1997.0,6.0,,2.0,,,44.41881557289859,111.95960093607589,8.0,12.31678778174652,12.31678778174652,12.31678778174652,1.0,68.493283618299
6323-1,Town,Accessories,1997.0,6.99,,2.0,,,,,,,,,,13.89
6406-1,Town,Racing,1997.0,2.0,1.0,22.0,,,,,,,,,,18.07
6407-1,Town,Fire,1997.0,5.5,1.0,24.0,01/05/1997,31/12/1998,17.58948920766859,17.58948920766859,1.0,3.4643764906112486,10.0,5.227085783809157,10.0,17.58948920766859
6417-1,Town,Paradisa,1997.0,4.0,1.0,36.0,01/01/1997,31/12/1997,,,,,,,,39.66
6441-1,Town,Divers,1997.0,60.0,5.0,433.0,01/01/1997,31/12/1998,,,,,,,,213.58
6442-1,Town,Divers,1997.0,20.0,3.0,147.0,01/01/1997,31/12/1998,,,,,,,,138.72
6444-1,Town,Outback,1997.0,20.0,3.0,167.0,,,,,,,,,,208.55
6486-1,Town,Fire,1997.0,10.0,1.0,64.0,01/05/1997,31/12/1998,,,,,,,,28.29
6487-1,Town,Outback,1997.0,6.0,1.0,67.0,01/01/1997,31/12/1998,,,,,,,,23.99
6489-1,Town,Paradisa,1997.0,13.25,2.0,84.0,,,,,,,,,,235.2
6490-1,Town,Outback,1997.0,15.0,1.0,117.0,,,,,,,,,,124.04
6495-1,Time Cruisers,Time Twisters,1997.0,10.0,1.0,81.0,01/01/1997,31/12/1998,,,,,,,,34.38
6496-1,Time Cruisers,Time Twisters,1997.0,22.0,2.0,147.0,01/01/1997,31/12/1998,,,,,,,,162.67
6497-1,Time Cruisers,Time Twisters,1997.0,38.5,4.0,300.0,01/01/1997,31/12/1998,,,,,,,,140.14
6499-1,Time Cruisers,Time Twisters,1997.0,10.0,1.0,80.0,,,,,,,,,,34.83
6547-1,Town,Paradisa,1997.0,27.5,5.0,176.0,,,,,,,,,,349.95
6548-1,Town,City,1997.0,24.0,3.0,120.0,01/05/1997,31/12/1998,,,,,,,,71.8
6549-1,Town,Vehicles,1997.0,30.0,4.0,181.0,,,,,,,,,,73.0
6550-1,Town,Outback,1997.0,4.0,1.0,48.0,01/01/1997,31/12/1998,,,,,,,,30.81
6553-1,Town,Outback,1997.0,12.0,3.0,133.0,,,113.94959109800244,113.94959109800244,1.0,31.27511363700843,32.471531424604464,31.873322530806448,2.0,113.94959109800244
6554-1,Town,Fire,1997.0,44.0,4.0,250.0,01/05/1997,31/12/1998,,,,,,,,95.0
6555-1,Town,Divers,1997.0,4.5,1.0,30.0,01/01/1997,31/12/1998,,,,,,,,44.9
6556-1,Town,Divers,1997.0,8.75,2.0,72.0,01/01/1997,31/12/1998,43.56482102158467,43.56482102158467,1.0,7.837955861111422,14.433035864246603,11.190766048214629,4.0,43.56482102158467
6557-1,Town,Divers,1997.0,22.0,3.0,139.0,,,,,,,,,,199.0
6558-1,Town,Divers,1997.0,30.0,3.0,185.0,01/01/1997,31/12/1998,194.38932832819415,201.09263976404344,2.0,24.0,39.18977930555711,31.594889652778555,2.0,197.7409840461188
6559-1,Town,Divers,1997.0,44.0,5.0,344.0,01/01/1997,31/12/1998,301.6423113017831,335.9123940476324,2.0,91.81605437301953,195.94889652778556,128.49417005487712,4.0,318.77735267470774
6560-1,Town,Divers,1997.0,79.0,7.0,464.0,01/01/1997,31/12/1998,,,,,,,,396.59
6564-1,Town,Maintenance,1997.0,7.25,1.0,34.0,01/05/1997,31/12/1998,,,,,,,,15.62
6565-1,Town,Construction,1997.0,16.5,3.0,73.0,01/05/1997,31/12/1998,,,,,,,,27.98
6566-1,Town,City,1997.0,15.0,2.0,96.0,01/01/1997,31/12/1998,134.05952540555035,147.46614827724898,2.0,25.19342955357243,50.0,34.678912080750266,4.0,140.7628368413997
