Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"76188-1","DC Comics Super Heroes","Batman Classic TV Series",2021,"Batman Classic TV Series Batmobile",2,345,29.99,29.99,34.99,34.99,5702016974355,673419345255,35.4,19.1,5.9,,"",0,0,0,"Yes",1,1,,,,,,,,,40.1300,29.4500,"26/04/2021","31/12/2022"
"76189-1","Marvel Super Heroes","Avengers: Age of Ultron",2021,"Captain America and Hydra Face-Off",2,49,8.99,9.99,13.99,9.99,5702016913170,673419339858,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,9.7600,,"01/06/2021","31/12/2022"
"76190-1","Marvel Super Heroes","Iron Man",2021,"Iron Man: Iron Monger Mayhem",3,479,34.99,39.99,49.99,39.99,5702016913187,673419339865,22.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,37.2600,,"01/06/2021","31/12/2022"
"76191-1","Marvel Super Heroes","Avengers: Infinity War",2021,"Infinity Gauntlet",,590,69.99,69.99,99.99,79.99,5702016913194,673419339872,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,63.7200,49.4400,"01/06/2021","31/12/2023"
"76192-1","Marvel Super Heroes","Avengers: Endgame",2021,"Avengers: Endgame Final Battle",8,527,79.99,69.99,99.99,89.99,5702016913200,673419339889,54,28.2,5.9,,"",0,0,0,,0,0,,,,,,,,,70.8400,,"01/06/2021","31/12/2022"
"76193-1","Marvel Super Heroes","Avengers: Endgame",2021,"The Guardians' Ship",6,1901,129.99,149.99,189.99,149.99,5702016913217,673419339896,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,146.4600,146.5000,"01/06/2021","31/12/2023"
"76194-1","Marvel Super Heroes","What If...?",2021,"Tony Stark's Sakaarian Iron Man",3,369,29.99,34.99,49.99,34.99,5702016913224,673419339902,22.2,26.2,6.2,,"",0,0,0,,0,0,,,,,,,,,31.8500,,"01/08/2021","31/12/2022"
"76195-1","Marvel Super Heroes","Spider-Man: Homecoming",2021,"Spider-Man's Drone Duel",2,198,17.99,19.99,24.99,19.99,5702016913231,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,19.5300,,"01/10/2021","31/12/2022"
"76196-1","Marvel Super Heroes","Seasonal",2021,"The Avengers Advent Calendar",8,298,24.99,39.99,49.99,29.99,5702016912425,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,32.1900,,"01/09/2021","31/12/2021"
"76198-1","Marvel Super Heroes","Spider-Man",2021,"Spider-Man & Doctor Octopus Mech Battle",2,305,17.99,19.99,24.99,19.99,5702016989694,673419345606,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,19.2900,,"26/04/2021","31/12/2022"
