Number,Theme,Subtheme,Year,RRP (USD),Value new (USD),Minifigs,Pieces,Launch date,Retired Date
3548-1,Sports,Basketball,2003,4.0,15.0,1.0,19.0,15/03/2003,31/12/2003
3549-1,Sports,Basketball,2003,4.0,20.0,1.0,17.0,15/03/2003,31/12/2003
3550-1,Sports,Basketball,2003,4.0,21.55,1.0,17.0,15/03/2003,31/12/2003
3557-1,Sports,Hockey,2003,4.0,9.99,,33.0,15/09/2003,31/12/2003
3558-1,Sports,Hockey,2003,4.0,5.49,,33.0,15/09/2003,31/12/2003
3559-1,Sports,Hockey,2003,4.0,5.0,,40.0,15/09/2003,31/12/2003
3560-1,Sports,Basketball,2003,8.0,18.46,3.0,12.0,,
3561-1,Sports,Basketball,2003,8.0,29.58,3.0,12.0,,
3562-1,Sports,Basketball,2003,8.0,32.15,3.0,13.0,,
3563-1,Sports,Basketball,2003,8.0,61.44,3.0,12.0,,
3564-1,Sports,Basketball,2003,8.0,26.98,3.0,12.0,,
3565-1,Sports,Basketball,2003,8.0,17.0,3.0,12.0,,
3566-1,Sports,Basketball,2003,8.0,38.0,3.0,12.0,,
3567-1,Sports,Basketball,2003,8.0,22.28,3.0,12.0,,
3584-1,Sports,Basketball,2003,8.0,20.82,1.0,47.0,01/01/2003,31/12/2003
3585-1,Sports,Gravity Games,2003,50.0,228.6,2.0,227.0,01/08/2003,01/06/2004
3586-1,Explore,Logic,2003,6.0,37.1,1.0,9.0,,
3587-1,Explore,Logic,2003,10.0,46.69,1.0,15.0,,
3588-1,Explore,Logic,2003,15.0,40.66,1.0,18.0,,
3589-1,Explore,Logic,2003,20.0,64.98,1.0,22.0,,
3590-1,Explore,Logic,2003,20.0,64.19,1.0,24.0,,
3656-1,Explore,Together,2003,40.0,53.8,4.0,32.0,,
4024-1,Creator,Seasonal,2003,15.0,33.72,,344.0,,
4026-1,Creator,,2003,3.5,7.0,,100.0,01/06/2003,31/12/2004
4027-1,Creator,,2003,3.5,7.0,,100.0,01/06/2003,31/01/2005
4028-1,Creator,Bucket,2003,10.0,30.94,,500.0,01/04/2003,31/12/2004
4048-1,Creator,Designer Set,2003,30.0,75.0,,554.0,01/11/2003,31/12/2003
4090-1,Creator,Inventor Set,2003,14.99,51.35,,243.0,01/06/2003,31/12/2004
4093-1,Creator,Inventor Set,2003,25.0,49.13,,314.0,01/06/2003,31/12/2004
4094-1,Creator,Inventor Set,2003,40.0,90.0,,254.0,01/06/2003,31/01/2005
4095-1,Creator,Inventor Set,2003,50.0,103.55,,345.0,01/09/2003,31/12/2004
4096-1,Creator,Designer Set,2003,10.0,22.49,,215.0,01/04/2003,31/12/2005
4097-1,Creator,Designer Set,2003,10.0,22.75,,229.0,01/04/2003,31/12/2004
4098-1,Creator,Designer Set,2003,10.0,28.6,,197.0,01/04/2003,31/12/2004
4099-1,Creator,Designer Set,2003,20.0,40.0,,325.0,01/04/2003,31/12/2004
4100-1,Creator,Designer Set,2003,20.0,33.45,,299.0,01/04/2003,31/12/2004
4101-1,Creator,Designer Set,2003,30.0,75.0,,492.0,01/04/2003,31/12/2004
4401-1,Creator,Designer Set,2003,7.0,7.63,,110.0,01/04/2003,31/12/2003
4402-1,Creator,Designer Set,2003,40.0,73.32,,547.0,,
4403-1,Creator,Designer Set,2003,50.0,107.54,,702.0,01/04/2003,31/12/2004
4404-1,Creator,Designer Set,2003,60.0,50.0,,770.0,01/08/2003,31/12/2004
4475-1,Star Wars,Episode VI,2003,7.0,60.37,3.0,44.0,01/01/2003,31/12/2003
4476-1,Star Wars,Episode VI,2003,7.0,92.37,3.0,40.0,01/01/2003,31/12/2003
4477-1,Star Wars,Episode IV,2003,15.0,33.3,1.0,98.0,01/01/2003,31/12/2003
4478-1,Star Wars,Episode II,2003,20.0,124.66,4.0,170.0,01/01/2003,31/12/2004
4479-1,Star Wars,Episode V,2003,30.0,161.35,1.0,230.0,01/01/2003,01/04/2005
4480-1,Star Wars,Episode VI,2003,30.0,246.57,6.0,231.0,01/01/2003,31/12/2004
4481-1,Star Wars,Episode II,2003,50.0,120.0,,681.0,01/06/2003,31/12/2003
4482-1,Star Wars,Episode II,2003,70.0,285.67,4.0,658.0,01/01/2003,31/12/2004
4483-1,Star Wars,Episode V,2003,100.0,387.5,4.0,1064.0,01/06/2003,31/12/2004
4484-1,Star Wars,Mini Building Set,2003,4.0,19.73,,76.0,01/01/2003,31/12/2003
4485-1,Star Wars,Mini Building Set,2003,4.0,17.67,,72.0,01/01/2003,31/12/2003
4486-1,Star Wars,Mini Building Set,2003,4.0,23.9,,76.0,01/01/2003,31/12/2003
4487-1,Star Wars,Mini Building Set,2003,4.0,22.5,,53.0,01/01/2003,31/12/2003
4488-1,Star Wars,Mini Building Set,2003,7.0,46.58,,87.0,01/06/2003,01/06/2004
4489-1,Star Wars,Mini Building Set,2003,7.0,26.33,,98.0,01/06/2003,01/06/2004
4490-1,Star Wars,Mini Building Set,2003,7.0,32.79,,102.0,01/06/2003,01/06/2004
4491-1,Star Wars,Mini Building Set,2003,7.0,16.72,,99.0,01/06/2003,01/06/2004
4511-1,World City,Trains,2003,90.0,280.0,3.0,333.0,01/06/2003,31/07/2006
4512-1,World City,Trains,2003,139.99,450.0,3.0,544.0,01/06/2003,31/12/2005
4513-1,World City,Trains,2003,50.0,156.01,5.0,344.0,01/06/2003,31/12/2005
4514-1,World City,Trains,2003,19.99,104.1,2.0,175.0,01/06/2003,31/12/2005
4652-1,4 Juniors,City,2003,10.0,16.72,1.0,25.0,,
4653-1,4 Juniors,City,2003,10.0,19.99,1.0,27.0,,
4654-1,4 Juniors,City,2003,15.0,60.5,1.0,42.0,,
4655-1,4 Juniors,City,2003,25.0,41.53,2.0,97.0,01/07/2003,31/12/2004
4657-1,4 Juniors,City,2003,40.0,110.1,3.0,139.0,01/07/2003,31/12/2004
4719-1,Harry Potter,Chamber of Secrets,2003,10.0,79.71,1.0,120.0,01/04/2003,31/12/2004
4720-1,Harry Potter,Chamber of Secrets,2003,20.0,186.45,2.0,209.0,01/04/2003,31/12/2004
4850-1,Spider-Man,,2003,20.0,150.0,3.0,191.0,01/10/2003,30/06/2004
4851-1,Spider-Man,Spider-Man,2003,30.0,200.0,6.0,218.0,01/10/2003,30/06/2004
4852-1,Spider-Man,Spider-Man,2003,50.0,262.27,4.0,360.0,01/10/2003,30/06/2004
5437-1,Explore,Imagination,2003,2.0,4.34,,6.0,,
5856-1,Belville,,2003,9.0,28.42,1.0,51.0,,
5857-1,Belville,,2003,20.0,60.0,1.0,93.0,01/03/2003,31/12/2004
5858-1,Belville,,2003,55.0,69.73,2.0,173.0,01/03/2003,31/12/2004
5859-1,Belville,,2003,9.0,14.72,1.0,51.0,,
5861-1,Belville,,2003,28.0,61.13,2.0,101.0,01/03/2003,31/12/2004
5862-1,Belville,,2003,48.0,82.8,2.0,161.0,01/03/2003,31/12/2004
7030-1,World City,Police and Rescue,2003,4.0,30.55,1.0,51.0,01/06/2003,31/12/2003
7031-1,World City,Police and Rescue,2003,10.0,17.0,1.0,88.0,01/06/2003,31/12/2004
7032-1,World City,Police and Rescue,2003,15.0,26.0,2.0,154.0,01/06/2003,31/12/2004
7033-1,World City,Police and Rescue,2003,20.0,51.8,2.0,181.0,01/06/2003,31/12/2004
7034-1,World City,Police and Rescue,2003,30.0,59.92,2.0,261.0,01/06/2003,31/12/2004
7035-1,World City,Police and Rescue,2003,50.0,110.19,4.0,422.0,01/06/2003,31/12/2004
7212-1,Creator,Designer Set,2003,10.0,28.5,,129.0,27/01/2003,31/12/2004
7409-1,Adventurers,Orient Expedition,2003,4.0,19.29,2.0,42.0,01/01/2003,31/12/2003
7410-1,Adventurers,Orient Expedition,2003,8.0,28.09,1.0,64.0,01/01/2003,31/12/2003
7411-1,Adventurers,Orient Expedition,2003,10.0,39.29,1.0,94.0,01/01/2003,31/12/2004
7412-1,Adventurers,Orient Expedition,2003,10.0,44.72,1.0,107.0,01/01/2003,31/12/2004
7413-1,Adventurers,Orient Expedition,2003,10.0,32.64,1.0,94.0,01/07/2003,31/12/2004
7414-1,Adventurers,Orient Expedition,2003,20.0,143.66,3.0,86.0,01/01/2003,31/12/2004
7415-1,Adventurers,Orient Expedition,2003,20.0,75.29,2.0,120.0,01/01/2003,31/12/2004
7416-1,Adventurers,Orient Expedition,2003,20.0,84.99,3.0,177.0,01/07/2003,31/12/2004
7417-1,Adventurers,Orient Expedition,2003,30.0,180.0,4.0,292.0,01/01/2003,31/12/2004
7418-1,Adventurers,Orient Expedition,2003,50.0,231.07,5.0,341.0,01/01/2003,31/12/2004
7419-1,Adventurers,Orient Expedition,2003,90.0,495.46,9.0,732.0,01/07/2003,31/12/2004
7420-1,Adventurers,Orient Expedition,2003,8.0,47.2,1.0,69.0,01/07/2003,31/12/2003
7422-1,Adventurers,Orient Expedition,2003,4.0,8.77,1.0,33.0,15/06/2003,31/12/2003
7423-1,Adventurers,Orient Expedition,2003,4.0,8.67,1.0,30.0,15/06/2003,31/12/2003
7424-1,Adventurers,Orient Expedition,2003,4.0,10.71,1.0,28.0,15/06/2003,31/12/2003
7467-1,Discovery,,2003,15.0,72.5,,162.0,01/07/2003,31/12/2004
7468-1,Discovery,,2003,20.0,102.5,,178.0,01/06/2003,31/12/2004
7469-1,Discovery,,2003,30.0,95.3,,418.0,01/07/2003,31/12/2004
7470-1,Discovery,,2003,50.0,234.77,,828.0,01/07/2003,31/12/2004
7471-1,Discovery,,2003,90.0,265.0,,870.0,01/07/2003,31/12/2004
7501-1,Clikits,,2003,4.0,10.47,,32.0,,
7502-1,Clikits,,2003,4.0,7.84,,30.0,,
7503-1,Clikits,,2003,4.0,2.63,,24.0,,
7511-1,Clikits,,2003,15.0,9.88,,94.0,,
7512-1,Clikits,,2003,15.0,10.15,,94.0,,
7513-1,Clikits,,2003,30.0,83.3,,281.0,,
7520-1,Clikits,,2003,20.0,33.28,,104.0,,
7522-1,Clikits,,2003,20.0,40.49,,63.0,,
8350-1,Racers,Drome Racers,2003,4.0,15.0,1.0,30.0,01/01/2003,31/12/2003
8353-1,Racers,Drome Racers,2003,20.0,18.81,,218.0,01/01/2003,31/12/2003
8354-1,Racers,Drome Racers,2003,10.0,15.0,,101.0,01/01/2003,31/12/2004
8355-1,Racers,Drome Racers,2003,10.0,12.11,,88.0,01/01/2003,31/12/2004
8356-1,Racers,Drome Racers,2003,15.0,161.64,1.0,116.0,01/01/2003,31/12/2003
8358-1,Racers,Drome Racers,2003,4.0,10.61,1.0,26.0,01/01/2003,31/12/2004
8359-1,Racers,Drome Racers,2003,4.0,10.61,1.0,27.0,01/01/2003,31/12/2004
8360-1,Racers,Drome Racers,2003,4.0,10.61,1.0,24.0,01/01/2003,31/12/2004
8363-1,Racers,Drome Racers,2003,40.0,27.46,,322.0,01/07/2003,31/12/2003
8364-1,Racers,Drome Racers,2003,89.99,259.83,4.0,623.0,01/09/2003,31/12/2004
8365-1,Racers,Drome Racers,2003,70.0,58.07,,196.0,01/07/2003,01/06/2004
8366-1,Racers,Drome Racers,2003,130.0,679.47,,429.0,01/07/2003,31/12/2004
8370-1,Racers,Drome Racers,2003,10.0,39.9,,92.0,01/01/2003,31/12/2004
8371-1,Racers,Drome Racers,2003,10.0,16.96,,98.0,01/01/2003,31/12/2004
8374-1,Racers,Williams F1,2003,13.0,94.9,1.0,98.0,01/09/2003,01/03/2004
8376-1,Racers,Drome Racers,2003,80.0,400.0,,257.0,01/10/2003,31/12/2004
8441-1,Technic,,2003,6.0,18.07,,70.0,01/04/2003,31/12/2005
8451-1,Technic,,2003,20.0,43.44,,183.0,01/04/2003,31/07/2004
8453-1,Technic,,2003,20.0,37.0,,214.0,01/04/2003,31/12/2005
8454-1,Technic,,2003,70.0,152.56,,639.0,01/08/2003,31/07/2004
8455-1,Technic,,2003,100.0,523.92,,704.0,01/07/2003,31/12/2005
8573-1,Bionicle,Bohrok-Kal,2003,8.0,39.83,,41.0,01/03/2003,31/12/2003
8574-1,Bionicle,Bohrok-Kal,2003,8.0,54.9,,41.0,01/03/2003,31/12/2003
8575-1,Bionicle,Bohrok-Kal,2003,8.0,54.94,,41.0,01/03/2003,31/12/2003
8576-1,Bionicle,Bohrok-Kal,2003,8.0,66.22,,41.0,01/03/2003,31/12/2003
8577-1,Bionicle,Bohrok-Kal,2003,8.0,36.1,,41.0,01/03/2003,31/12/2003
8578-1,Bionicle,Bohrok-Kal,2003,8.0,20.0,,41.0,01/03/2003,31/12/2003
8580-1,Bionicle,Accessories,2003,2.0,20.3,,3.0,,
8581-1,Bionicle,Matoran,2003,4.0,6.19,,25.0,01/07/2003,31/12/2003
8582-1,Bionicle,Matoran,2003,4.0,14.0,,25.0,01/07/2003,31/12/2003
8583-1,Bionicle,Matoran,2003,4.0,42.14,,25.0,01/07/2003,31/12/2003
8584-1,Bionicle,Matoran,2003,4.0,31.37,,25.0,01/07/2003,31/12/2003
8585-1,Bionicle,Matoran,2003,4.0,26.0,,25.0,01/07/2003,31/12/2003
8586-1,Bionicle,Matoran,2003,4.0,17.17,,25.0,01/07/2003,31/12/2003
8587-1,Bionicle,Rahkshi,2003,9.0,33.23,,45.0,15/05/2003,30/06/2004
8588-1,Bionicle,Rahkshi,2003,9.0,34.5,,45.0,15/05/2003,30/06/2004
8589-1,Bionicle,Rahkshi,2003,9.0,42.75,,45.0,01/07/2003,30/06/2004
8590-1,Bionicle,Rahkshi,2003,9.0,39.99,,45.0,01/07/2003,30/06/2004
8591-1,Bionicle,Rahkshi,2003,9.0,50.37,,45.0,01/07/2003,30/06/2004
8592-1,Bionicle,Rahkshi,2003,9.0,45.45,,45.0,01/07/2003,30/06/2004
8593-1,Bionicle,Warriors,2003,20.0,150.0,,199.0,01/07/2003,30/06/2005
8594-1,Bionicle,Warriors,2003,20.0,85.0,,172.0,01/07/2003,30/06/2004
8595-1,Bionicle,Warriors,2003,20.0,152.57,,221.0,01/07/2003,30/06/2004
8596-1,Bionicle,Warriors,2003,30.0,315.23,,200.0,01/07/2003,30/06/2005
8599-1,Bionicle,Accessories,2003,2.0,41.14,,5.0,,
9031-1,Education,,2003,91.0,86.16,5.0,30.0,,
9649-1,Education,,2003,55.0,224.45,,1110.0,,
9665-1,Dacta,Technic,2003,150.0,100.0,,318.0,,
9684-1,Education,,2003,170.0,79.92,4.0,729.0,,
9793-1,Education,,2003,200.0,179.14,,833.0,,
9794-1,Education,,2003,200.0,225.0,,831.0,,
10021-1,Hobby Set,,2003,60.0,231.92,,973.0,03/03/2003,28/02/2005
10027-1,World City,Trains,2003,70.0,527.54,2.0,664.0,09/06/2003,31/07/2006
10029-1,Discovery,,2003,40.0,455.25,2.0,453.0,01/10/2003,31/12/2004
10041-1,Town,Shops and Services,2003,65.0,285.0,8.0,616.0,27/01/2003,21/10/2004
10042-1,Bulk Bricks,Seasonal,2003,3.0,21.5,,35.0,,
10071-1,Seasonal,Easter,2003,2.5,12.01,,25.0,10/03/2003,31/07/2006
10072-1,Bulk Bricks,Technic,2003,9.99,25.0,,56.0,,
10073-1,Bulk Bricks,Technic,2003,9.99,10.98,,130.0,,
10074-1,Bulk Bricks,Technic,2003,10.0,19.99,,68.0,,
10077-1,Bulk Bricks,Technic,2003,13.0,28.15,,55.0,,
10078-1,Trains,9V,2003,8.99,66.59,,1.0,,
10079-1,Seasonal,Christmas,2003,2.5,6.68,,42.0,13/10/2003,31/12/2005
10080-1,Seasonal,Christmas,2003,2.49,18.39,,33.0,13/10/2003,31/12/2005
10090-1,Seasonal,Thanksgiving,2003,3.5,10.18,,54.0,13/10/2003,31/12/2005
10121-1,Sports,Basketball,2003,10.0,99.99,5.0,20.0,,
10123-1,Star Wars,Episode V,2003,100.0,2432.44,8.0,698.0,01/10/2003,31/03/2005
10124-1,Creator Expert,Aircraft,2003,60.0,447.08,,670.0,07/07/2003,31/12/2006
10127-1,Sports,Hockey,2003,9.0,98.13,,59.0,16/06/2003,31/01/2005
10128-1,World City,Trains,2003,50.0,240.12,2.0,327.0,03/09/2003,31/07/2006
10129-1,Star Wars,Ultimate Collector Series,2003,130.0,692.46,,1457.0,29/09/2003,31/07/2005
65182-1,Sports,Product Collection,2003,40.0,150.0,,22.0,,
LMG001-1,Promotional,Miscellaneous,2003,0.0,21.34,,8.0,,
1149-1,Town,Special,2002,3.0,7.5,,24.0,,
1374-1,Studios,Spider-Man,2002,7.0,141.78,2.0,58.0,23/04/2002,31/12/2003
1376-1,Studios,Spider-Man,2002,30.0,120.09,5.0,248.0,01/04/2002,30/06/2003
1380-1,Studios,,2002,10.0,46.66,3.0,117.0,01/06/2002,31/12/2003
1381-1,Studios,,2002,20.0,198.9,4.0,176.0,01/06/2002,31/12/2003
1382-1,Studios,,2002,50.0,246.48,6.0,493.0,01/06/2002,31/12/2003
1383-1,Studios,,2002,4.0,43.61,2.0,50.0,01/06/2002,31/12/2003
3278-1,Duplo,Bob the Builder,2002,5.0,9.61,1.0,9.0,,
3279-1,Duplo,Bob the Builder,2002,5.0,13.63,1.0,11.0,,
3281-1,Duplo,Bob the Builder,2002,5.0,11.02,1.0,9.0,,
3282-1,Duplo,Bob the Builder,2002,20.0,31.8,1.0,49.0,,
3283-1,Duplo,Bob the Builder,2002,30.0,65.52,3.0,44.0,,
3325-1,Explore,Logic,2002,100.0,155.48,4.0,90.0,,
3326-1,Explore,Logic,2002,25.0,62.95,1.0,14.0,,
3327-1,Explore,Logic,2002,25.0,85.88,2.0,26.0,,
3334-1,Explore,Logic,2002,13.0,22.52,,10.0,,
3335-1,Explore,Logic,2002,50.0,136.8,3.0,25.0,,
3361-1,Explore,Imagination,2002,30.0,15.0,,4.0,,
3362-1,Explore,Imagination,2002,30.0,19.4,,4.0,,
3364-1,Explore,Imagination,2002,50.0,22.0,,7.0,,
3370-1,Explore,Imagination,2002,8.0,7.0,,6.0,,
3420-1,Sports,Football,2002,50.0,139.24,12.0,388.0,01/01/2002,31/12/2005
3421-1,Sports,Football,2002,30.0,45.04,6.0,225.0,01/03/2002,31/12/2003
3422-1,Sports,Football,2002,20.0,30.31,2.0,110.0,01/03/2002,31/12/2003
3423-1,Sports,Football,2002,10.0,30.0,2.0,54.0,01/01/2002,30/06/2004
3424-1,Sports,Football,2002,7.0,20.0,1.0,37.0,01/03/2002,31/12/2003
3425-1,Sports,Football,2002,90.0,194.0,22.0,548.0,01/03/2002,31/12/2002
3426-1,Sports,Football,2002,20.0,50.27,6.0,133.0,01/02/2002,31/12/2002
3605-2,Explore,Together,2002,4.0,14.42,2.0,8.0,,
3607-1,Explore,Together,2002,4.0,13.63,1.0,7.0,,
3610-1,Explore,Together,2002,6.0,18.48,1.0,8.0,,
3611-1,Explore,Together,2002,10.0,24.53,1.0,13.0,,
3612-1,Explore,Logic,2002,20.0,59.38,2.0,33.0,,
3613-1,Explore,Logic,2002,18.0,30.19,2.0,20.0,,
3614-1,Explore,Logic,2002,25.0,57.75,3.0,33.0,,
3615-2,Explore,Imagination,2002,30.0,113.46,5.0,45.0,,
3616-1,Explore,Being Me,2002,20.0,47.14,3.0,14.0,,
3617-1,Explore,Being Me,2002,20.0,59.2,3.0,16.0,,
3618-1,Explore,Logic,2002,50.0,78.66,3.0,53.0,,
3619-1,Explore,Together,2002,50.0,84.37,7.0,75.0,,
3620-1,Explore,Together,2002,50.0,94.93,4.0,82.0,,
3621-1,Explore,Logic,2002,25.0,75.0,2.0,29.0,,
3739-1,Castle,My Own Creation,2002,40.0,475.0,2.0,619.0,22/01/2002,31/12/2003
3806-1,Spybotics,,2002,60.0,60.0,,244.0,,
3807-1,Spybotics,,2002,60.0,75.0,,202.0,,
3808-1,Spybotics,,2002,60.0,73.22,,235.0,,
3809-1,Spybotics,,2002,60.0,69.87,,260.0,,
3929-1,Promotional,Minifigure,2002,0.0,39.87,1.0,5.0,,
4084-1,Explore,Imagination,2002,5.0,11.05,,45.0,,
4103-1,Creator,Bucket,2002,5.0,25.0,,200.0,01/05/2002,31/12/2006
4108-1,Town,Accessories,2002,7.0,30.03,,2.0,,
4109-1,Town,Accessories,2002,6.99,25.6,,2.0,,
4110-1,Town,Accessories,2002,7.0,26.11,,2.0,,
4111-1,Town,Accessories,2002,7.0,30.39,,2.0,,
4340-1,Explore,Imagination,2002,50.0,37.82,,10.0,,
4341-1,Explore,Imagination,2002,10.0,4.99,,9.0,,
4342-1,Explore,Imagination,2002,10.0,6.22,,9.0,,
4344-1,Explore,Imagination,2002,10.0,4.99,,9.0,,
4345-1,Explore,Imagination,2002,10.0,11.82,,9.0,,
4524-1,Creator,Seasonal,2002,15.0,56.26,,231.0,,
4534-1,Trains,9V,2002,160.0,495.0,,456.0,01/09/2002,31/12/2002
4535-1,Trains,9V,2002,170.0,610.0,,762.0,01/09/2002,31/12/2002
4582-1,Racers,Drome Racers,2002,4.0,9.51,1.0,29.0,01/01/2002,31/12/2003
4583-1,Racers,Drome Racers,2002,4.0,6.0,1.0,38.0,01/01/2002,31/12/2002
4584-1,Racers,Drome Racers,2002,10.0,13.92,1.0,57.0,01/01/2002,31/12/2003
4585-1,Racers,Drome Racers,2002,10.0,14.13,1.0,60.0,01/01/2002,31/12/2003
4586-1,Racers,Drome Racers,2002,20.0,55.0,1.0,168.0,01/09/2002,31/12/2003
4587-1,Racers,Drome Racers,2002,40.0,39.26,2.0,195.0,01/09/2002,31/12/2003
4588-1,Racers,Drome Racers,2002,50.0,90.02,2.0,359.0,01/09/2002,31/12/2003
4589-1,Racers,Drome Racers,2002,70.0,101.88,1.0,136.0,01/09/2002,31/12/2003
4590-1,Racers,Drome Racers,2002,4.0,11.31,1.0,26.0,01/01/2002,31/12/2002
4591-1,Racers,Drome Racers,2002,4.0,7.87,1.0,28.0,01/01/2002,31/12/2002
4592-1,Racers,Drome Racers,2002,4.0,8.88,1.0,25.0,01/01/2002,31/12/2002
4593-1,Racers,Drome Racers,2002,6.99,12.0,2.0,70.0,01/01/2002,31/12/2003
4594-1,Racers,Drome Racers,2002,7.0,15.0,2.0,66.0,01/01/2002,31/12/2002
4595-1,Racers,Drome Racers,2002,10.0,14.55,2.0,71.0,01/03/2002,31/12/2002
4596-1,Racers,Drome Racers,2002,9.99,32.12,1.0,89.0,01/03/2002,31/12/2002
4612-1,Jack Stone,,2002,4.0,5.52,1.0,7.0,,
4613-1,Jack Stone,,2002,4.0,7.28,1.0,13.0,,
4614-1,Jack Stone,,2002,4.0,3.49,1.0,12.0,,
4615-1,Jack Stone,,2002,4.0,4.43,1.0,20.0,,
4616-1,Jack Stone,,2002,7.0,8.0,1.0,34.0,,
4617-1,Jack Stone,,2002,10.0,7.0,2.0,28.0,,
4619-1,Jack Stone,,2002,30.0,32.96,2.0,63.0,,
4620-1,Jack Stone,,2002,70.0,35.0,5.0,170.0,,
4621-1,Jack Stone,,2002,10.0,17.63,2.0,32.0,,
4711-1,Harry Potter,Philosopher's Stone,2002,4.0,27.39,2.0,23.0,01/01/2002,31/12/2003
4712-1,Harry Potter,Philosopher's Stone,2002,10.0,75.0,2.0,71.0,01/01/2002,31/12/2003
4714-1,Harry Potter,Philosopher's Stone,2002,30.0,150.0,4.0,250.0,01/01/2002,31/12/2003
4726-1,Harry Potter,Chamber of Secrets,2002,13.0,75.69,3.0,128.0,20/09/2002,31/12/2004
4727-1,Harry Potter,Chamber of Secrets,2002,20.0,47.7,2.0,178.0,20/09/2002,31/12/2003
4728-1,Harry Potter,Chamber of Secrets,2002,30.0,162.73,3.0,278.0,20/09/2002,31/12/2004
4729-1,Harry Potter,Chamber of Secrets,2002,50.0,108.0,3.0,446.0,20/09/2002,31/12/2004
4730-1,Harry Potter,Chamber of Secrets,2002,70.0,261.49,5.0,591.0,20/09/2002,31/12/2003
4731-1,Harry Potter,Chamber of Secrets,2002,7.0,37.5,2.0,70.0,20/09/2002,31/12/2003
4733-1,Harry Potter,Chamber of Secrets,2002,20.0,84.1,4.0,129.0,20/09/2002,31/12/2003
4735-1,Harry Potter,Chamber of Secrets,2002,10.0,56.18,3.0,90.0,20/09/2002,31/12/2003
4788-1,Alpha Team,Mission Deep Sea,2002,10.0,35.97,2.0,68.0,15/02/2002,31/12/2002
4790-1,Alpha Team,Mission Deep Sea,2002,4.0,12.6,1.0,32.0,01/01/2002,31/12/2003
4791-1,Alpha Team,Mission Deep Sea,2002,7.0,7.0,1.0,42.0,01/01/2002,31/12/2003
4792-1,Alpha Team,Mission Deep Sea,2002,10.0,37.51,1.0,111.0,01/01/2002,31/12/2003
4793-1,Alpha Team,Mission Deep Sea,2002,20.0,39.73,3.0,115.0,01/01/2002,31/12/2003
4794-1,Alpha Team,Mission Deep Sea,2002,30.0,43.25,2.0,189.0,01/01/2002,31/12/2003
4795-1,Alpha Team,Mission Deep Sea,2002,50.0,129.2,4.0,468.0,01/01/2002,31/12/2003
4796-1,Alpha Team,Mission Deep Sea,2002,10.0,23.61,1.0,62.0,01/01/2002,31/12/2003
4797-1,Alpha Team,Mission Deep Sea,2002,10.0,37.3,1.0,57.0,,
4798-1,Alpha Team,Mission Deep Sea,2002,3.0,12.08,1.0,21.0,01/09/2002,01/12/2002
4799-1,Alpha Team,Mission Deep Sea,2002,3.0,27.0,1.0,18.0,,
4800-1,Alpha Team,Mission Deep Sea,2002,3.0,12.66,1.0,23.0,01/09/2002,01/12/2002
5421-1,Explore,Being Me,2002,2.0,8.94,,1.0,,
5423-1,Explore,Being Me,2002,10.0,35.55,,2.0,,
5426-1,Explore,Being Me,2002,10.0,30.28,,9.0,,
5429-1,Explore,Being Me,2002,5.0,25.42,1.0,1.0,,
5836-1,Belville,,2002,4.0,38.21,1.0,23.0,,
5838-1,Belville,,2002,10.0,42.46,1.0,38.0,,
5842-1,Belville,,2002,17.0,35.63,1.0,36.0,,
5843-1,Belville,,2002,27.0,90.77,2.0,71.0,,
5850-1,Belville,,2002,50.0,132.53,3.0,149.0,01/03/2002,31/12/2003
6636-1,Town,Police,2002,65.0,147.83,7.0,273.0,01/09/2002,31/12/2002
6731-1,Island Xtreme Stunts,,2002,4.0,13.89,1.0,11.0,01/07/2002,01/09/2002
6732-1,Island Xtreme Stunts,,2002,4.0,13.3,1.0,16.0,01/07/2002,15/08/2002
6733-1,Island Xtreme Stunts,,2002,4.0,11.89,1.0,19.0,01/07/2002,15/08/2002
6734-1,Island Xtreme Stunts,,2002,7.0,15.91,2.0,53.0,01/07/2002,31/12/2003
6735-1,Island Xtreme Stunts,,2002,10.0,23.75,2.0,85.0,01/07/2002,31/12/2003
6736-1,Island Xtreme Stunts,,2002,13.0,30.0,2.0,87.0,01/07/2002,31/12/2003
6737-1,Island Xtreme Stunts,,2002,13.0,20.0,2.0,93.0,01/07/2002,31/12/2003
6738-1,Island Xtreme Stunts,,2002,20.0,87.16,3.0,108.0,01/07/2002,31/12/2003
6739-1,Island Xtreme Stunts,,2002,30.0,45.35,3.0,199.0,01/07/2002,31/12/2003
6740-1,Island Xtreme Stunts,,2002,50.0,97.84,6.0,330.0,01/07/2002,31/12/2003
6762-1,Western,Cowboys,2002,100.0,971.82,10.0,673.0,01/01/2002,31/12/2002
6763-1,Western,Indians,2002,70.0,349.99,7.0,343.0,01/01/2002,31/12/2003
6764-1,Western,Cowboys,2002,30.0,257.99,4.0,171.0,01/01/2002,31/12/2003
7103-1,Star Wars,Episode II,2002,10.0,73.98,2.0,82.0,23/04/2002,31/12/2003
7113-1,Star Wars,Episode II,2002,10.0,50.11,3.0,93.0,23/04/2002,31/12/2003
7119-1,Star Wars,Episode V,2002,10.0,34.36,1.0,118.0,01/01/2002,31/12/2003
7133-1,Star Wars,Episode II,2002,30.0,250.05,3.0,259.0,23/04/2002,31/12/2003
7139-1,Star Wars,Episode VI,2002,13.0,61.96,4.0,121.0,01/01/2002,31/12/2003
