Number,Theme,Subtheme,Year,RRP (USD),Value new (USD),Minifigs,Pieces,Launch date,Retired Date
6048-1,Castle,Dragon Knights,1993,26.0,229.85,2.0,185.0,,
6056-1,Castle,Dragon Knights,1993,20.0,139.3,2.0,105.0,,
6076-1,Castle,Dragon Knights,1993,43.0,420.0,4.0,214.0,,
6082-1,Castle,Dragon Knights,1993,64.0,756.06,6.0,397.0,,
6105-1,Castle,Accessories,1993,6.75,165.59,4.0,41.0,,
6237-1,Pirates,,1993,3.0,101.84,2.0,21.0,,
6252-1,Pirates,Accessories,1993,7.25,75.0,4.0,32.0,,
6266-1,Pirates,Imperial Guards,1993,17.5,235.85,3.0,106.0,,
6268-1,Pirates,,1993,39.75,630.63,4.0,178.0,,
6286-1,Pirates,,1993,126.5,1932.09,9.0,912.0,,
6319-1,Town,Accessories,1993,4.5,26.24,,37.0,,
6342-1,Town,Coastguard,1993,17.5,93.49,3.0,147.0,,
6344-1,Town,Police,1993,21.0,107.03,2.0,157.0,,
6345-1,Town,Flight,1993,34.0,177.3,6.0,351.0,,
6398-1,Town,Police,1993,73.0,450.0,5.0,615.0,,
6403-1,Town,Paradisa,1993,13.25,119.75,3.0,94.0,,
6409-1,Town,Paradisa,1993,21.0,138.13,5.0,145.0,,
6513-1,Town,Boats,1993,3.25,28.43,1.0,31.0,,
6536-1,Town,Flight,1993,4.5,26.8,1.0,48.0,,
6539-1,Town,Racing,1993,42.0,146.02,4.0,458.0,,
6552-1,Town,Leisure,1993,29.75,187.96,2.0,241.0,,
6663-1,Town,Vehicles,1993,7.25,30.37,1.0,79.0,,
6664-1,Town,Police,1993,7.25,45.0,2.0,67.0,,
6667-1,Town,Maintenance,1993,9.25,75.14,1.0,97.0,,
6670-1,Town,Vehicles,1993,9.25,36.67,1.0,114.0,,
6813-1,Space,Space Police 2,1993,3.0,72.5,1.0,24.0,,
6814-1,Space,Ice Planet 2002,1993,3.0,61.41,1.0,25.0,,
6834-1,Space,Ice Planet 2002,1993,4.0,119.94,1.0,55.0,,
6852-1,Space,Space Police 2,1993,6.0,51.04,1.0,61.0,,
6879-1,Space,Ice Planet 2002,1993,8.0,93.02,1.0,82.0,,
6898-1,Space,Ice Planet 2002,1993,15.0,103.62,1.0,135.0,,
6973-1,Space,Ice Planet 2002,1993,45.0,974.61,3.0,417.0,,
6983-1,Space,Ice Planet 2002,1993,60.0,641.9,3.0,343.0,,
8022-1,Technic,Universal,1993,15.5,29.9,,118.0,,
8042-1,Technic,Universal,1993,38.5,129.88,,230.0,,
8082-1,Technic,Universal,1993,99.0,188.37,,459.0,,
8714-1,Technic,Supplementary,1993,9.0,90.0,3.0,9.0,,
8818-1,Technic,,1993,13.25,38.04,,120.0,,
8824-1,Technic,,1993,25.5,45.0,,194.0,,
8872-1,Technic,,1993,82.0,413.45,,763.0,,
9365-1,Dacta,,1993,69.0,449.0,13.0,739.0,,
9610-1,Dacta,Technic,1993,12.5,26.0,2.0,67.0,,
9612-1,Dacta,Technic,1993,15.0,36.95,,62.0,,
9614-1,Dacta,Technic,1993,15.0,10.0,,77.0,,
1782-1,Town,Divers,1997,50.0,200.0,5.0,322.0,,
1783-1,Primo,,1997,1.0,3.99,,2.0,,
2126-1,Trains,9V,1997,69.5,195.0,5.0,378.0,,
2129-1,Technic,,1997,7.0,20.16,,63.0,01/01/1997,31/12/1998
2147-1,Town,Special,1997,28.0,23.02,2.0,183.0,01/01/1997,31/12/2000
2148-1,Town,Vehicles,1997,11.0,73.86,1.0,105.0,01/01/1997,31/12/1999
2151-1,Space,RoboForce,1997,12.0,60.58,1.0,136.0,,
2152-1,Space,RoboForce,1997,20.0,82.87,1.0,221.0,,
2153-1,Space,RoboForce,1997,30.0,90.0,2.0,280.0,01/01/1997,01/03/1999
2154-1,Space,RoboForce,1997,36.0,300.0,2.0,366.0,,
2160-1,Aquazone,Aquaraiders,1997,15.0,77.31,1.0,110.0,01/05/1997,31/12/1998
2161-1,Aquazone,Aquaraiders,1997,25.0,77.0,1.0,136.0,01/05/1997,31/12/1998
2162-1,Aquazone,Aquaraiders,1997,40.0,131.56,2.0,287.0,,
2601-1,Duplo,,1997,7.0,24.58,,7.0,,
2604-1,Duplo,,1997,70.0,136.2,4.0,58.0,,
2806-1,Duplo,,1997,3.0,12.92,1.0,4.0,,
2845-1,Western,Indians,1997,0.0,24.1,1.0,20.0,,
2846-1,Western,Indians,1997,0.0,29.54,1.0,18.0,,
2878-1,Basic,Seasonal,1997,2.0,4.75,,16.0,,
2886-1,Town,Racing,1997,2.0,10.35,,25.0,,
3200-1,Scala,Dolls,1997,16.5,72.88,1.0,31.0,,
3241-1,Scala,Dolls,1997,22.0,49.95,2.0,54.0,,
3243-1,Scala,Dolls,1997,26.5,190.0,2.0,92.0,,
3270-1,Scala,Dolls,1997,76.0,242.42,1.0,120.0,,
