set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used,RRP (USD),Year,Theme,Pieces
8653-1,742.6911061595135,742.6911061595135,742.6911061595135,1.0,179.15327682540394,839.7809851190809,378.1786258943668,5.0,100.0,2005,Racers,1360.0
8654-1,222.8218880515961,222.8218880515961,222.8218880515961,1.0,78.37955861111422,108.0,89.70364688889137,4.0,79.99,2005,Racers,813.0
8661-1,10.077371821428972,10.077371821428972,10.077371821428972,1.0,2.7,5.150656708730363,3.9253283543651816,2.0,4.0,2006,Racers,44.0
8670-1,31.02998876024852,31.02998876024852,31.02998876024852,1.0,5.4,6.116964695607385,5.758482347803692,2.0,10.0,2006,Racers,105.0
8678-1,106.0,106.0,106.0,1.0,21.834305613096102,40.24098972170786,31.037647667401984,2.0,29.99,2011,Cars,196.0
8683-1,21.96233648919812,87.0796896169479,45.24126531641216,6.0,14.089042750181145,34.36383791107279,20.73104637391043,11.0,1.99,2010,Collectable Minifigures,9.0
8683-10,17.95,74.63973395738391,31.335503402994576,55.0,9.39269516678743,23.10405446259616,14.505010784025584,25.0,1.99,2010,Collectable Minifigures,5.0
8683-11,32.74445293374706,99.51964527651188,48.349803477923146,6.0,20.0,31.02998876024852,25.69643048206466,8.0,1.99,2010,Collectable Minifigures,8.0
8683-12,10.734508762042775,49.75982263825594,20.03005209187844,26.0,5.422268738426858,16.039816815774444,10.997671780946494,26.0,1.99,2010,Collectable Minifigures,7.0
8683-13,17.15185629862941,49.76430147017658,32.62405002344191,8.0,6.662262481944709,15.116057732143457,12.785880010316449,11.0,1.99,2010,Collectable Minifigures,9.0
8683-14,28.932649473045032,74.63973395738391,44.919192233554746,16.0,13.418135952553472,46.80379357063678,28.393783942019564,10.0,1.99,2010,Collectable Minifigures,9.0
8683-15,11.76813087146872,49.75982263825594,19.20197348937956,38.0,7.406117427223775,12.876641771825907,9.132993853374192,20.0,1.99,2010,Collectable Minifigures,9.0
8683-16,17.15185629862941,62.199778297819925,29.14731851269791,16.0,7.371991071580559,16.964695607385593,12.040343150063066,11.0,1.99,2010,Collectable Minifigures,8.0
8683-2,20.154743642857945,62.199778297819925,33.783937843130545,13.0,7.781970462103484,23.40189678531839,13.671995827009331,18.0,1.99,2010,Collectable Minifigures,7.0
8683-3,12.99,62.199778297819925,27.807161060225493,16.0,7.627740980965904,16.087964258921275,11.550274436870236,25.0,1.99,2010,Collectable Minifigures,6.0
8683-4,25.83796259023697,87.0796896169479,43.45147822349626,14.0,13.567501595583872,34.865467086183926,21.93782971663777,16.0,1.99,2010,Collectable Minifigures,6.0
8683-5,32.771805462657134,111.95960093607589,56.012273315566006,13.0,16.101763143064165,24.63357556349304,18.88674024868533,16.0,1.99,2010,Collectable Minifigures,6.0
8683-6,15.675911722222844,62.199778297819925,29.064962405804565,18.0,7.627740980965904,11.87505031800982,9.779000588733396,20.0,1.99,2010,Collectable Minifigures,8.0
8683-7,20.154743642857945,62.199778297819925,30.043452141965947,17.0,6.750664197729651,20.14130714709604,11.345161554835284,26.0,1.99,2010,Collectable Minifigures,6.0
8683-8,15.876153924315746,62.199778297819925,26.813258519623545,15.0,8.565766048214625,26.836271905106944,14.686028174262358,12.0,1.99,2010,Collectable Minifigures,6.0
8683-9,13.376,62.199778297819925,23.332020722210228,26.0,7.37997477390441,20.67976362044118,12.682305561046984,43.0,1.99,2010,Collectable Minifigures,6.0
8684-1,14.303376979338909,49.75982263825594,22.850084935140217,11.0,10.021386422421031,13.404717816600918,11.26781823704425,11.0,1.99,2010,Collectable Minifigures,9.0
8684-10,7.707377291146714,49.75982263825594,14.923681949062017,15.0,5.342120641304495,24.884390151048606,8.65594944531217,13.0,1.99,2010,Collectable Minifigures,8.0
8684-11,6.771,37.3243458106126,12.90722791126832,72.0,3.99,7.278101871032035,6.045874026265435,13.0,1.99,2010,Collectable Minifigures,7.0
8684-12,14.94689487718044,74.64421278930455,30.526740500087254,37.0,10.637225811508358,22.04816983730643,14.23066114194961,15.0,1.99,2010,Collectable Minifigures,10.0
8684-13,8.218656574365406,37.31986697869196,15.0677194523023,29.0,7.186285816659016,15.258260645623622,9.010812773471072,11.0,1.99,2010,Collectable Minifigures,6.0
