Number,Theme,Subtheme,Year,RRP (USD),Value used (USD),Minifigs,Pieces,Launch date,Retired Date
75270-1,Star Wars,Episode IV,2020,29.99,29.97,4.0,200.0,01/01/2020,31/12/2021
75271-1,Star Wars,Episode IV,2020,29.99,17.02,3.0,236.0,01/01/2020,31/12/2021
75272-1,Star Wars,The Rise of Skywalker,2020,79.99,49.61,3.0,470.0,01/01/2020,31/07/2021
75273-1,Star Wars,The Rise of Skywalker,2020,89.99,58.62,4.0,761.0,01/01/2020,31/12/2021
75274-1,Star Wars,Helmet Collection,2020,59.99,64.35,,724.0,19/04/2020,31/12/2021
75275-1,Star Wars,Ultimate Collector Series,2020,199.99,182.36,1.0,1673.0,01/05/2020,31/12/2021
75276-1,Star Wars,Helmet Collection,2020,59.99,39.0,,647.0,19/04/2020,31/12/2021
75277-1,Star Wars,Helmet Collection,2020,59.99,43.52,,625.0,19/04/2020,31/12/2022
75278-1,Star Wars,The Rise of Skywalker,2020,69.99,37.29,1.0,519.0,19/04/2020,31/07/2021
75279-1,Star Wars,Seasonal,2020,39.99,31.61,10.0,311.0,01/09/2020,31/12/2020
75280-1,Star Wars,The Clone Wars,2020,29.99,23.04,6.0,285.0,01/08/2020,31/12/2023
75281-1,Star Wars,Episode III,2020,29.99,20.5,2.0,248.0,01/08/2020,31/12/2021
75283-1,Star Wars,The Clone Wars,2020,39.99,28.5,4.0,286.0,01/08/2020,31/12/2022
75284-1,Star Wars,The Rise of Skywalker,2020,69.99,41.5,3.0,595.0,01/08/2020,31/12/2021
75286-1,Star Wars,Episode III,2020,79.99,51.55,3.0,487.0,01/08/2020,31/12/2021
75288-1,Star Wars,Episode V,2020,159.99,111.74,6.0,1267.0,01/08/2020,31/12/2023
75290-1,Star Wars,Master Builder Series,2020,349.99,250.0,21.0,3187.0,01/10/2020,31/12/2023
75291-1,Star Wars,Episode VI,2020,99.99,75.0,5.0,775.0,01/08/2020,31/12/2021
75292-1,Star Wars,The Mandalorian,2020,129.99,118.45,5.0,1023.0,01/09/2020,31/12/2022
75293-1,Star Wars,Galaxy's Edge,2020,99.99,75.0,4.0,932.0,01/08/2020,31/12/2021
75294-1,Star Wars,Promotional,2020,39.99,106.0,2.0,295.0,01/08/2020,31/12/2020
75317-1,BrickHeadz,Star Wars,2020,19.99,12.24,,295.0,01/08/2020,31/12/2022
75318-1,Star Wars,The Mandalorian,2020,79.99,40.0,1.0,1073.0,30/10/2020,31/12/2023
75549-1,Minions: The Rise of Gru,,2020,19.99,15.99,3.0,136.0,27/04/2020,31/12/2021
75551-1,Minions: The Rise of Gru,,2020,49.99,34.61,3.0,876.0,27/04/2020,31/12/2022
75939-1,Jurassic World,Legend of Isla Nublar,2020,19.99,12.59,2.0,164.0,01/06/2020,31/12/2021
75941-1,Jurassic World,Legend of Isla Nublar,2020,99.99,89.99,5.0,537.0,01/06/2020,31/12/2021
75942-1,Jurassic World,Legend of Isla Nublar,2020,29.99,18.0,2.0,101.0,01/06/2020,31/12/2021
75966-1,Harry Potter,Order of the Phoenix,2020,19.99,13.22,4.0,193.0,01/06/2020,31/12/2021
75967-1,Harry Potter,Order of the Phoenix,2020,29.99,18.41,5.0,253.0,01/06/2020,31/12/2021
75968-1,Harry Potter,Chamber of Secrets,2020,69.99,27.99,6.0,797.0,01/06/2020,31/12/2023
75969-1,Harry Potter,Half-Blood Prince,2020,99.99,70.51,8.0,971.0,01/06/2020,31/12/2023
75978-1,Harry Potter,General,2020,399.99,334.17,17.0,5544.0,01/09/2020,31/12/2024
75979-1,Harry Potter,General,2020,39.99,29.91,1.0,630.0,01/06/2020,31/12/2023
75980-1,Harry Potter,Half-Blood Prince,2020,99.99,84.9,8.0,1047.0,01/06/2020,31/12/2022
75981-1,Harry Potter,Seasonal,2020,39.99,14.96,6.0,335.0,01/09/2020,31/12/2020
76140-1,Marvel Super Heroes,Avengers,2020,9.99,7.39,1.0,148.0,01/01/2020,31/12/2021
76141-1,Marvel Super Heroes,Avengers,2020,9.99,7.54,1.0,152.0,01/01/2020,31/07/2021
76142-1,Marvel Super Heroes,Avengers,2020,19.99,15.6,3.0,226.0,01/01/2020,31/12/2020
76143-1,Marvel Super Heroes,Avengers,2020,39.99,23.73,4.0,477.0,01/01/2020,31/07/2021
76146-1,Marvel Super Heroes,Spider-Man,2020,9.99,8.08,1.0,152.0,01/01/2020,31/12/2021
76147-1,Marvel Super Heroes,Spider-Man,2020,19.99,18.0,3.0,93.0,01/01/2020,31/12/2020
76148-1,Marvel Super Heroes,Spider-Man,2020,19.99,20.0,3.0,234.0,01/01/2020,31/12/2020
76150-1,Marvel Super Heroes,Spider-Man,2020,29.99,26.55,3.0,371.0,01/01/2020,31/07/2021
76151-1,Marvel Super Heroes,Spider-Man,2020,79.99,72.0,5.0,640.0,01/06/2020,31/12/2021
76152-1,Marvel Super Heroes,Avengers,2020,59.99,43.19,5.0,223.0,01/06/2020,31/12/2021
76153-1,Marvel Super Heroes,Avengers,2020,119.99,91.89,8.0,1244.0,01/06/2020,31/12/2021
76157-1,DC Comics Super Heroes,DC Extended Universe,2020,39.99,26.1,3.0,371.0,27/04/2020,31/12/2021
76158-1,DC Comics Super Heroes,Batman,2020,9.99,10.21,2.0,54.0,01/06/2020,31/12/2021
76159-1,DC Comics Super Heroes,Batman,2020,49.99,32.23,4.0,440.0,01/06/2020,31/12/2021
76160-1,DC Comics Super Heroes,Batman,2020,89.99,72.0,6.0,743.0,01/06/2020,31/12/2021
76161-1,DC Comics Super Heroes,Batman 1989,2020,199.99,164.29,3.0,2363.0,01/11/2020,31/12/2022
76162-1,Marvel Super Heroes,Black Widow,2020,29.99,25.17,3.0,271.0,01/03/2020,31/12/2021
76163-1,Marvel Super Heroes,Spider-Man,2020,29.99,23.75,3.0,413.0,01/03/2020,31/12/2021
76164-1,Marvel Super Heroes,Avengers,2020,39.99,21.6,4.0,456.0,01/08/2020,31/12/2021
76165-1,Marvel Super Heroes,Iron Man,2020,59.99,35.7,,480.0,01/08/2020,31/12/2021
76166-1,Marvel Super Heroes,Avengers,2020,89.99,69.42,7.0,685.0,01/08/2020,31/12/2021
76167-1,Marvel Super Heroes,Avengers,2020,29.99,22.41,5.0,258.0,01/08/2020,31/12/2021
76895-1,Speed Champions,Ferrari,2020,19.99,15.61,1.0,275.0,01/01/2020,31/12/2021
76896-1,Speed Champions,Nissan,2020,19.99,17.03,1.0,298.0,01/01/2020,31/12/2021
76897-1,Speed Champions,Audi,2020,19.99,18.22,1.0,250.0,01/01/2020,31/12/2021
76898-1,Speed Champions,Jaguar,2020,29.99,24.03,2.0,565.0,01/01/2020,31/12/2021
76899-1,Speed Champions,Lamborghini,2020,49.99,43.96,2.0,663.0,01/01/2020,31/12/2021
77904-1,Star Wars,Promotional,2020,39.99,87.47,,459.0,01/10/2020,31/10/2020
77905-1,Marvel Super Heroes,Black Widow,2020,39.99,84.95,3.0,230.0,01/10/2020,31/10/2020
77906-1,DC Comics Super Heroes,Promotional,2020,39.99,15.0,3.0,255.0,01/10/2020,31/10/2020
77907-1,Super Mario,Expansion Set,2020,19.99,65.0,1.0,120.0,01/10/2020,31/10/2020
80010-1,Monkie Kid,A Hero is Born,2020,89.99,90.61,3.0,1051.0,16/05/2020,31/12/2021
80013-1,Monkie Kid,A Hero is Born,2020,169.99,145.0,8.0,1959.0,01/10/2021,31/12/2022
80104-1,Seasonal,Chinese Traditional Festivals,2020,79.99,99.0,8.0,882.0,10/01/2020,31/12/2020
80105-1,Seasonal,Chinese Traditional Festivals,2020,119.99,124.95,14.0,1664.0,10/01/2020,31/12/2020
88012-1,Powered Up,,2020,89.99,19.99,,1.0,,
88013-1,Powered Up,,2020,39.99,45.0,,1.0,,
92176-1,Ideas,NASA,2020,119.99,77.99,,1969.0,01/11/2020,31/12/2022
92177-1,Ideas,,2020,69.99,68.59,,962.0,01/01/2021,31/12/2021
854037-1,Seasonal,Christmas,2020,7.99,8.45,,44.0,,
854050-1,Seasonal,Christmas,2020,9.99,10.0,,126.0,,
80033-1,Monkie Kid,Season 3,2022,79.99,58.99,,893.0,01/01/2022,31/12/2023
10260-1,Creator Expert,Modular Buildings Collection,2018,169.99,263.31,6.0,2480.0,01/01/2018,31/12/2020
10261-1,Creator Expert,Fairground,2018,379.99,329.36,11.0,4124.0,01/06/2018,31/12/2021
10262-1,Creator Expert,Vehicles,2018,149.99,128.97,,1290.0,01/08/2018,31/12/2021
10263-1,Creator Expert,Winter Village,2018,99.99,105.79,8.0,1166.0,01/10/2018,31/12/2020
10268-1,Creator Expert,Vestas,2018,199.99,196.44,3.0,826.0,23/11/2018,31/12/2020
10402-1,Classic,Building Bigger Thinking,2018,9.99,8.48,1.0,186.0,01/01/2018,31/12/2018
10403-1,Classic,Building Bigger Thinking,2018,19.99,9.75,2.0,295.0,01/01/2018,31/12/2018
10404-1,Classic,Building Bigger Thinking,2018,29.99,23.5,2.0,579.0,01/01/2018,31/12/2018
10405-1,Classic,Building Bigger Thinking,2018,59.99,26.78,3.0,871.0,01/01/2018,31/12/2018
10712-1,Classic,,2018,19.99,11.67,,244.0,01/01/2018,31/12/2019
10713-1,Classic,,2018,19.99,10.0,,213.0,01/01/2018,31/12/2024
10714-1,Classic,,2018,7.99,5.66,,1.0,,
10749-1,Juniors,Friends,2018,19.99,10.5,1.0,115.0,,
10750-1,Juniors,City,2018,9.99,5.9,1.0,73.0,,
10751-1,Juniors,City,2018,19.99,15.25,2.0,115.0,,
10753-1,Juniors,DC Comics Super Heroes,2018,24.99,13.44,3.0,151.0,01/01/2018,31/12/2019
10754-1,Juniors,Marvel Super Heroes,2018,19.99,14.06,2.0,125.0,01/01/2018,31/07/2019
10755-1,Juniors,Ninjago,2018,19.99,13.52,2.0,131.0,01/01/2018,31/12/2018
10756-1,Juniors,Jurassic World: Fallen Kingdom,2018,19.99,15.82,2.0,84.0,16/04/2018,31/12/2019
10757-1,Juniors,Jurassic World: Fallen Kingdom,2018,24.99,18.91,2.0,85.0,16/04/2018,31/12/2019
10758-1,Juniors,Jurassic World: Fallen Kingdom,2018,49.99,51.97,3.0,150.0,16/04/2018,31/12/2019
10759-1,Juniors,Incredibles 2,2018,19.99,19.5,2.0,95.0,20/04/2018,31/12/2018
10760-1,Juniors,Incredibles 2,2018,24.99,20.0,3.0,149.0,20/04/2018,31/12/2018
10761-1,Juniors,Incredibles 2,2018,29.99,35.0,4.0,178.0,20/04/2018,31/12/2018
10762-1,Juniors,Disney Princess,2018,14.99,11.25,4.0,87.0,01/06/2018,31/12/2018
10764-1,Juniors,City,2018,49.99,30.74,5.0,376.0,01/06/2018,31/12/2019
10765-1,Juniors,Disney Princess,2018,14.99,10.0,1.0,92.0,01/06/2018,31/12/2018
10858-1,Duplo,,2018,9.99,8.99,,18.0,01/01/2018,31/12/2019
10862-1,Duplo,,2018,14.99,12.17,,41.0,01/01/2018,31/07/2019
10868-1,Duplo,,2018,29.99,30.0,2.0,59.0,01/01/2018,31/12/2019
10869-1,Duplo,,2018,59.99,74.95,3.0,104.0,01/01/2018,31/12/2019
10870-1,Duplo,,2018,9.99,6.83,,16.0,01/01/2018,31/12/2020
10871-1,Duplo,,2018,24.99,12.39,3.0,29.0,01/01/2018,31/07/2021
10873-1,Duplo,Minnie,2018,19.99,13.87,1.0,21.0,01/06/2018,31/12/2021
10874-1,Duplo,Trains,2018,59.99,36.45,2.0,59.0,01/06/2018,31/07/2024
10876-1,Duplo,Marvel Super Hero Adventures,2018,29.99,40.0,3.0,38.0,01/01/2018,31/12/2019
10877-1,Duplo,Disney Princess,2018,19.99,18.16,3.0,19.0,01/01/2018,31/12/2019
10878-1,Duplo,Disney Princess,2018,29.99,29.09,1.0,37.0,01/01/2018,31/12/2018
10879-1,Duplo,Jurassic World: Fallen Kingdom,2018,19.99,29.5,1.0,24.0,16/04/2018,31/12/2019
10880-1,Duplo,Jurassic World: Fallen Kingdom,2018,29.99,39.27,1.0,22.0,16/04/2018,31/12/2019
10881-1,Duplo,Mickey and the Roadster Racers,2018,29.99,19.95,2.0,28.0,01/06/2018,31/12/2019
10882-1,Duplo,Trains,2018,19.99,11.27,,23.0,01/06/2018,31/12/2024
21039-1,Architecture,Skylines,2018,59.99,64.38,,597.0,01/01/2018,31/12/2020
21041-1,Architecture,Landmark Series,2018,49.99,56.03,,551.0,01/06/2018,31/12/2019
21042-1,Architecture,Landmark Series,2018,119.99,63.64,,1685.0,01/06/2018,31/12/2023
21047-1,Architecture,Skylines,2018,39.99,47.55,,501.0,01/09/2018,31/12/2020
21138-1,Minecraft,Minifig-scale,2018,14.99,19.59,3.0,69.0,01/01/2018,31/12/2018
21139-1,Minecraft,Minifig-scale,2018,14.99,16.1,3.0,84.0,01/01/2018,31/12/2018
21140-1,Minecraft,Minifig-scale,2018,19.99,16.77,1.0,198.0,01/01/2018,31/12/2020
21141-1,Minecraft,Minifig-scale,2018,19.99,16.35,3.0,241.0,01/01/2018,31/12/2020
21142-1,Minecraft,Minifig-scale,2018,29.99,51.81,2.0,278.0,01/01/2018,31/12/2019
21143-1,Minecraft,Minifig-scale,2018,39.99,62.22,3.0,470.0,01/01/2018,31/12/2020
21144-1,Minecraft,Minifig-scale,2018,49.99,105.53,3.0,549.0,01/01/2018,31/12/2018
21145-1,Minecraft,Minifig-scale,2018,19.99,21.31,2.0,198.0,01/08/2018,31/12/2020
21146-1,Minecraft,Minifig-scale,2018,39.99,64.5,4.0,457.0,01/08/2018,31/12/2018
21147-1,Minecraft,Minifig-scale,2018,89.99,91.9,4.0,644.0,01/08/2018,31/12/2019
21311-1,Ideas,Licensed,2018,179.99,202.6,,2321.0,01/08/2018,31/12/2019
21313-1,Ideas,,2018,69.99,60.03,,962.0,01/02/2018,31/12/2019
21314-1,Ideas,Licensed,2018,34.99,41.16,3.0,230.0,01/04/2018,31/12/2019
21315-1,Ideas,,2018,69.99,57.96,5.0,859.0,,
30357-1,City,Construction,2018,3.99,4.62,1.0,58.0,01/01/2018,31/12/2018
30359-1,City,Mountain Police,2018,3.99,2.0,1.0,48.0,01/01/2018,31/12/2018
30360-1,City,Arctic,2018,3.99,4.19,1.0,43.0,01/06/2018,31/12/2019
30382-1,Jurassic World,Fallen Kingdom,2018,3.99,3.6,,48.0,01/05/2018,31/12/2019
30403-1,Friends,,2018,3.99,0.25,1.0,25.0,01/01/2018,31/12/2018
30406-1,Unikitty,Promotional,2018,3.99,1.69,1.0,46.0,01/06/2018,31/12/2019
30407-1,Harry Potter,Philosopher's Stone,2018,3.99,4.33,1.0,40.0,01/08/2018,31/12/2019
30450-1,Marvel Super Heroes,Black Panther,2018,3.99,2.75,,59.0,01/01/2018,31/12/2018
30525-1,Marvel Super Heroes,Avengers: Infinity War,2018,3.99,3.24,,69.0,03/03/2018,31/12/2018
30542-1,Creator,3 in 1,2018,3.99,3.53,,68.0,01/01/2018,31/12/2018
31071-1,Creator,3 in 1,2018,9.99,5.91,,109.0,,
31072-1,Creator,3 in 1,2018,9.99,7.38,,109.0,,
31073-1,Creator,3 in 1,2018,14.99,14.12,,223.0,01/01/2018,31/12/2019
31074-1,Creator,3 in 1,2018,19.99,11.76,,241.0,01/01/2018,31/12/2019
31075-1,Creator,3 in 1,2018,19.99,13.99,1.0,225.0,,
31076-1,Creator,3 in 1,2018,19.99,10.19,1.0,200.0,,
31077-1,Creator,3 in 1,2018,39.99,33.8,3.0,396.0,01/06/2018,31/12/2019
31078-1,Creator,3 in 1,2018,29.99,22.67,2.0,260.0,01/06/2018,31/07/2020
31079-1,Creator,3 in 1,2018,34.99,24.82,2.0,379.0,01/01/2018,31/12/2019
31080-1,Creator,3 in 1,2018,34.99,39.54,2.0,374.0,01/01/2018,31/12/2018
31081-1,Creator,3 in 1,2018,39.99,39.89,2.0,422.0,,
31083-1,Creator,3 in 1,2018,59.99,35.01,3.0,597.0,01/06/2018,31/12/2019
31084-1,Creator,3 in 1,2018,89.99,83.45,5.0,923.0,01/06/2018,31/12/2019
31085-1,Creator,3 in 1,2018,49.99,26.98,2.0,581.0,01/06/2018,31/12/2018
40187-1,Seasonal,Valentine's Day,2018,5.99,8.69,,100.0,01/01/2018,31/12/2020
40197-1,Miscellaneous,,2018,9.99,11.25,2.0,132.0,01/01/2018,31/12/2020
40270-1,BrickHeadz,Seasonal,2018,9.99,7.32,,140.0,01/01/2018,31/12/2019
40271-1,BrickHeadz,Seasonal,2018,9.99,8.72,,126.0,01/02/2018,31/12/2019
40272-1,BrickHeadz,Seasonal,2018,9.99,7.81,,151.0,01/09/2018,31/12/2019
40273-1,BrickHeadz,Seasonal,2018,9.99,61.16,,114.0,01/10/2018,31/12/2018
40274-1,BrickHeadz,Seasonal,2018,19.99,17.4,,341.0,01/10/2018,31/12/2019
40305-1,Promotional,LEGO brand stores,2018,24.99,27.25,2.0,362.0,01/06/2018,31/12/2021
40306-1,Promotional,LEGOLAND,2018,19.99,12.95,1.0,220.0,01/01/2018,31/12/2018
40309-1,Xtra,,2018,3.99,3.63,,30.0,,
40310-1,Xtra,,2018,3.99,2.5,,24.0,,
40311-1,Xtra,,2018,3.99,4.22,,46.0,01/08/2018,31/12/2019
40312-1,Xtra,,2018,3.99,2.5,,34.0,01/08/2018,31/12/2020
40313-1,Xtra,,2018,3.99,4.12,,21.0,,
40358-1,Promotional,Target,2018,19.99,15.34,4.0,146.0,01/10/2018,31/12/2018
40388-1,Disney,Miscellaneous,2018,9.99,7.81,,80.0,01/01/2018,31/12/2019
41151-1,Disney,Mulan,2018,14.99,10.0,1.0,104.0,01/01/2018,31/12/2018
41152-1,Disney,Sleeping Beauty,2018,39.99,45.1,3.0,322.0,01/01/2018,31/12/2018
41153-1,Disney,The Little Mermaid,2018,49.99,37.05,2.0,380.0,01/01/2018,31/12/2019
41154-1,Disney,Cinderella,2018,69.99,73.55,2.0,585.0,01/01/2018,31/12/2019
41155-1,Disney,Frozen,2018,19.99,11.99,2.0,125.0,01/01/2018,31/12/2019
41156-1,Disney,Tangled: The Series,2018,19.99,12.83,1.0,156.0,01/06/2018,31/12/2018
41157-1,Disney,Tangled: The Series,2018,39.99,25.99,2.0,323.0,01/06/2018,31/07/2019
41190-1,Elves,,2018,14.99,13.26,2.0,149.0,01/03/2018,31/12/2018
41191-1,Elves,,2018,19.99,22.02,2.0,205.0,01/03/2018,31/12/2018
41192-1,Elves,,2018,29.99,45.38,3.0,360.0,01/03/2018,31/12/2018
41193-1,Elves,,2018,39.99,89.48,3.0,451.0,01/03/2018,31/12/2018
41194-1,Elves,,2018,59.99,104.84,4.0,646.0,01/03/2018,31/12/2018
41195-1,Elves,,2018,49.99,98.02,4.0,650.0,01/06/2018,31/12/2018
41196-1,Elves,,2018,79.99,119.15,5.0,883.0,01/06/2018,31/12/2018
41288-1,The Powerpuff Girls,,2018,29.99,20.48,4.0,228.0,01/08/2018,31/12/2019
41327-1,Friends,,2018,9.99,8.0,1.0,86.0,01/01/2018,31/12/2018
41328-1,Friends,,2018,9.99,7.27,1.0,95.0,01/01/2018,31/12/2018
41329-1,Friends,,2018,14.99,9.75,1.0,163.0,01/01/2018,31/12/2018
41330-1,Friends,,2018,14.99,10.0,1.0,119.0,01/01/2018,31/12/2018
41332-1,Friends,,2018,19.99,11.5,1.0,210.0,01/01/2018,31/12/2019
41333-1,Friends,,2018,19.99,20.0,1.0,223.0,01/01/2018,31/12/2019
41334-1,Friends,,2018,24.99,13.66,3.0,229.0,01/01/2018,31/12/2018
41335-1,Friends,,2018,29.99,13.23,2.0,351.0,01/01/2018,31/12/2020
41336-1,Friends,,2018,32.99,25.0,2.0,378.0,01/01/2018,31/07/2019
41338-1,Friends,,2018,44.99,26.35,2.0,460.0,01/01/2018,31/07/2019
41339-1,Friends,Summer,2018,54.99,66.78,2.0,488.0,01/01/2018,31/12/2019
41340-1,Friends,,2018,69.99,61.75,3.0,722.0,01/01/2018,31/12/2019
41341-1,Friends,,2018,9.99,6.3,1.0,85.0,01/06/2018,31/12/2018
41342-1,Friends,,2018,14.99,18.47,1.0,183.0,01/06/2018,31/12/2018
41343-1,Friends,,2018,29.99,28.0,1.0,323.0,01/06/2018,31/07/2019
41344-1,Friends,,2018,29.99,23.69,2.0,294.0,01/06/2018,31/12/2019
41345-1,Friends,,2018,59.99,48.97,3.0,474.0,01/06/2018,31/12/2019
41347-1,Friends,,2018,99.99,92.42,4.0,1017.0,01/06/2018,31/12/2019
41348-1,Friends,Racing,2018,19.99,14.59,1.0,247.0,01/06/2018,31/07/2019
41349-1,Friends,Racing,2018,29.99,15.92,2.0,345.0,01/06/2018,31/07/2019
41350-1,Friends,Racing,2018,29.99,26.72,2.0,325.0,01/06/2018,31/07/2019
41351-1,Friends,Racing,2018,39.99,20.02,2.0,413.0,01/06/2018,31/07/2019
41352-1,Friends,Racing,2018,59.99,25.96,3.0,648.0,01/06/2018,31/07/2019
41353-1,Friends,Seasonal,2018,29.99,15.0,,500.0,01/09/2018,31/12/2018
41451-1,Unikitty,,2018,9.99,5.39,3.0,126.0,01/06/2018,31/12/2019
41453-1,Unikitty,,2018,19.99,8.4,4.0,214.0,01/06/2018,31/12/2019
41454-1,Unikitty,,2018,29.99,17.75,4.0,359.0,01/06/2018,31/12/2019
41455-1,Unikitty,Miscellaneous,2018,39.99,26.5,17.0,433.0,01/06/2018,31/12/2019
41456-1,Unikitty,,2018,39.99,40.0,6.0,515.0,01/06/2018,31/12/2019
41597-1,BrickHeadz,Miscellaneous,2018,29.99,35.55,,708.0,01/04/2018,31/12/2018
41598-1,BrickHeadz,DC Comics Super Heroes,2018,9.99,11.09,,122.0,01/01/2018,31/08/2018
41599-1,BrickHeadz,DC Comics Super Heroes,2018,9.99,10.66,,143.0,01/01/2018,31/08/2018
41600-1,BrickHeadz,DC Comics Super Heroes,2018,9.99,12.82,,135.0,01/01/2018,31/08/2018
41601-1,BrickHeadz,DC Comics Super Heroes,2018,9.99,7.93,,108.0,01/01/2018,31/08/2018
41602-1,BrickHeadz,Star Wars,2018,9.99,13.59,,119.0,01/01/2018,31/08/2018
41603-1,BrickHeadz,Star Wars,2018,9.99,15.0,,130.0,01/01/2018,31/08/2018
41604-1,BrickHeadz,Marvel Super Heroes,2018,9.99,18.86,,101.0,01/04/2018,30/11/2018
41605-1,BrickHeadz,Marvel Super Heroes,2018,9.99,17.15,,105.0,01/04/2018,30/11/2018
41606-1,BrickHeadz,Marvel Super Heroes,2018,9.99,14.0,,113.0,01/04/2018,30/11/2018
41607-1,BrickHeadz,Marvel Super Heroes,2018,9.99,11.09,,136.0,01/04/2018,30/11/2018
41608-1,BrickHeadz,Star Wars,2018,9.99,10.81,,141.0,01/04/2018,30/11/2018
41609-1,BrickHeadz,Star Wars,2018,9.99,18.65,,149.0,01/04/2018,30/11/2018
41610-1,BrickHeadz,DC Comics Super Heroes,2018,19.99,45.11,,209.0,01/05/2018,31/12/2018
41611-1,BrickHeadz,Back to the Future,2018,19.99,37.17,,240.0,01/05/2018,31/12/2018
41612-1,BrickHeadz,Minecraft,2018,19.99,56.52,,160.0,01/08/2018,31/12/2018
41613-1,BrickHeadz,Disney,2018,19.99,30.75,,160.0,20/04/2018,31/12/2018
41614-1,BrickHeadz,Jurassic World,2018,19.99,20.33,,234.0,16/04/2018,31/12/2018
41615-1,BrickHeadz,Wizarding World,2018,14.99,29.65,,180.0,01/07/2018,31/12/2018
41616-1,BrickHeadz,Wizarding World,2018,9.99,20.11,,127.0,01/07/2018,31/12/2018
41617-1,BrickHeadz,Disney,2018,9.99,14.02,,130.0,01/07/2018,31/12/2018
41618-1,BrickHeadz,Disney,2018,14.99,18.77,,201.0,01/07/2018,31/12/2018
41619-1,BrickHeadz,Star Wars,2018,9.99,25.74,,104.0,01/07/2018,31/12/2018
41620-1,BrickHeadz,Star Wars,2018,9.99,20.85,,124.0,01/07/2018,31/12/2018
41621-1,BrickHeadz,Wizarding World,2018,19.99,38.47,,245.0,01/07/2018,31/12/2018
41622-1,BrickHeadz,Ghostbusters,2018,19.99,37.1,,228.0,01/08/2018,31/12/2018
41623-1,BrickHeadz,Disney,2018,19.99,39.32,,361.0,01/08/2018,31/12/2018
41624-1,BrickHeadz,Disney,2018,9.99,32.0,,109.0,20/08/2018,31/12/2018
41625-1,BrickHeadz,Disney,2018,9.99,50.59,,129.0,20/08/2018,31/12/2018
41626-1,BrickHeadz,Marvel Super Heroes,2018,14.99,38.75,,189.0,01/10/2018,31/12/2018
41627-1,BrickHeadz,Star Wars,2018,14.99,33.97,,215.0,01/10/2018,31/12/2018
41628-1,BrickHeadz,Star Wars,2018,9.99,14.85,,124.0,01/10/2018,31/12/2018
41629-1,BrickHeadz,Star Wars,2018,9.99,35.69,,161.0,01/10/2018,31/12/2018
41630-1,BrickHeadz,Disney,2018,19.99,52.92,,193.0,01/10/2018,31/12/2018
41631-1,BrickHeadz,Wizarding World,2018,19.99,29.08,,247.0,01/10/2018,31/12/2018
41632-1,BrickHeadz,The Simpsons,2018,19.99,36.0,,215.0,01/10/2018,31/12/2018
41775-1,Unikitty,Blind Bags Series 1,2018,3.99,2.68,1.0,14.0,01/06/2018,31/12/2018
41775-2,Unikitty,Blind Bags Series 1,2018,3.99,2.05,1.0,14.0,01/06/2018,31/12/2018
41775-3,Unikitty,Blind Bags Series 1,2018,3.99,2.99,1.0,14.0,01/06/2018,31/12/2018
41775-4,Unikitty,Blind Bags Series 1,2018,3.99,2.01,1.0,14.0,01/06/2018,31/12/2018
41775-5,Unikitty,Blind Bags Series 1,2018,3.99,2.05,1.0,14.0,01/06/2018,31/12/2018
41775-6,Unikitty,Blind Bags Series 1,2018,3.99,0.9,1.0,14.0,01/06/2018,31/12/2018
41775-7,Unikitty,Blind Bags Series 1,2018,3.99,2.92,1.0,14.0,01/06/2018,31/12/2018
41775-8,Unikitty,Blind Bags Series 1,2018,3.99,2.05,1.0,14.0,01/06/2018,31/12/2018
41775-9,Unikitty,Blind Bags Series 1,2018,3.99,1.35,1.0,14.0,01/06/2018,31/12/2018
41775-10,Unikitty,Blind Bags Series 1,2018,3.99,1.41,1.0,15.0,01/06/2018,31/12/2018
41775-11,Unikitty,Blind Bags Series 1,2018,3.99,1.97,1.0,15.0,01/06/2018,31/12/2018
41775-12,Unikitty,Blind Bags Series 1,2018,3.99,2.31,1.0,15.0,01/06/2018,31/12/2018
42071-1,Technic,,2018,19.99,15.34,,171.0,,
42072-1,Technic,,2018,19.99,15.34,,135.0,,
42073-1,Technic,,2018,19.99,10.79,,139.0,,
42074-1,Technic,,2018,39.99,26.23,,330.0,,
42075-1,Technic,,2018,49.99,28.87,,513.0,01/01/2018,31/12/2019
42076-1,Technic,,2018,89.99,56.55,,1020.0,01/01/2018,31/12/2018
42077-1,Technic,,2018,109.99,55.08,,1005.0,01/01/2018,31/12/2019
42078-1,Technic,,2018,179.99,149.52,,2595.0,01/01/2018,31/12/2019
42079-1,Technic,,2018,69.99,57.21,,592.0,01/08/2018,31/12/2019
42080-1,Technic,,2018,149.99,99.45,,1003.0,01/08/2018,31/12/2019
42081-1,Technic,,2018,139.99,75.29,,1167.0,01/08/2018,31/12/2019
42082-1,Technic,,2018,299.99,209.78,,4057.0,01/08/2018,31/12/2020
42083-1,Technic,,2018,349.99,251.57,,3599.0,01/06/2018,31/12/2022
42084-1,Technic,,2018,14.99,7.24,,176.0,,
60170-1,City,Mountain Police,2018,6.99,6.12,2.0,37.0,01/01/2018,31/12/2018
60171-1,City,Mountain Police,2018,9.99,6.32,4.0,88.0,01/01/2018,31/12/2018
60172-1,City,Mountain Police,2018,39.99,24.78,3.0,297.0,,
60173-1,City,Mountain Police,2018,59.99,28.27,4.0,303.0,,
60174-1,City,Mountain Police,2018,89.99,92.72,7.0,663.0,01/01/2018,31/12/2019
