set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used
10215-1,503.8685910714486,503.8685910714486,503.8685910714486,1.0,212.7333191503656,344.7776528916502,271.26051789139615,6.0
10216-1,373.2770493455307,391.8865959757695,382.5818226606501,4.0,268.13245743397243,310.29988760248517,292.11909924695715,3.0
10217-1,369.5036334523956,515.6800962655736,436.72790990598975,3.0,327.5387702470677,327.5387702470677,327.5387702470677,1.0
10218-1,222.82188805159615,600.0,420.7795702852121,23.0,250.0,391.8977930555711,310.9359420591533,10.0
10220-1,155.0,335.9011969678308,226.0108794590656,75.0,83.9780985119081,190.0,134.05253403958991,14.0
10221-1,1287.6641771825907,1700.0,1495.8880590608635,3.0,900.0,1012.0,945.2530278769964,3.0
10222-1,558.7342820992285,1300.0,929.3671410496142,2.0,328.3624554974602,328.3624554974602,328.3624554974602,1.0
10223-1,481.41844606926514,644.0,559.0567813673773,4.0,315.0,315.0,315.0,1.0
10224-1,839.4385851917452,1206.3258117131822,1071.184924997204,6.0,576.9651842860455,799.0,700.9845109120998,6.0
10225-1,224.99,481.99915874252696,320.04448081432673,9.0,110.85109003571868,358.31,228.86210846073982,8.0
10226-1,201.27203928830207,369.5036334523956,302.01298133092223,5.0,145.5620374206407,145.5620374206407,145.5620374206407,1.0
10227-1,593.767813034391,805.0881571532083,699.4279850937996,2.0,391.7858160744822,472.34538446156074,429.1638725304223,4.0
10228-1,518.4767732066662,649.3746430930814,583.9257081498738,3.0,419.99,482.68181849525246,443.8148118879683,4.0
10229-1,282.60812876037414,559.8539900793872,396.29646104294864,9.0,312.82120033963446,344.7776528916502,328.79942661564235,2.0
10230-1,205.0,279.95,242.475,2.0,127.726,158.5977203301591,143.16186016507953,2.0
10231-1,559.8539900793872,559.8539900793872,559.8539900793872,1.0,240.40216011918562,240.40216011918562,240.40216011918562,1.0
10232-1,320.961811985079,1208.4262392216178,597.9423553782409,8.0,259.99,559.8539900793872,372.6001888613158,7.0
10233-1,215.5529272999581,370.3434144375147,324.9941876755876,6.0,260.6843336163621,260.6843336163621,260.6843336163621,1.0
10234-1,391.8977930555711,644.0,513.391840627331,10.0,260.6843336163621,260.6843336163621,260.6843336163621,1.0
10236-1,422.24187931787395,844.3833894654605,689.7876583430824,5.0,263.3411712786424,344.7776528916502,304.0594120851463,2.0
10240-1,288.816,763.6948355855505,448.63686706607695,10.0,223.93039895195335,335.9123940476324,270.7862288282265,4.0
10241-1,600.0,600.0,600.0,1.0,279.9269950396936,279.9269950396936,279.9269950396936,1.0
10242-1,207.1459763293733,300.0,261.69371090419617,10.0,120.92846185714765,166.626412258809,148.08600197972572,3.0
10243-1,365.87,559.8539900793872,455.01771241549034,68.0,279.9269950396936,498.2700511706547,359.1294495112371,5.0
10244-1,246.32455855512885,450.0,314.2547851333356,7.0,210.93496803911157,210.93496803911157,210.93496803911157,1.0
10245-1,203.6873037597617,310.0,242.9229459587407,9.0,158.7589936095098,257.53283543651816,199.07970998924458,4.0
10246-1,388.8575799049996,599.99,511.377072849245,10.0,324.7153142460446,503.8685910714486,415.2760965376684,4.0
10247-1,334.7926860674736,530.0,423.4939946814675,17.0,249.99,379.2554181808152,313.75251286572876,9.0
10248-1,402.1086039043941,447.87199498370825,424.9902994440512,2.0,279.0,400.0,338.1511329379456,3.0
10249-1,160.31588395133952,330.0,227.95663823073969,11.0,134.1813595255347,134.1813595255347,134.1813595255347,1.0
10251-1,518.4767732066662,670.1810065073236,603.2122953447865,6.0,414.2919526587466,615.839389087326,488.8257052018108,7.0
10252-1,146.168,335.9011969678308,205.5151024216765,84.0,93.9269516678743,145.0021834305613,120.56664825068937,9.0
10253-1,446.7522870035495,828.0,557.2805532141217,5.0,196.5232621482406,330.0,263.2616310741203,2.0
10255-1,271.5830716796823,900.0,402.6130821980572,223.0,258.5204178750182,474.98,337.7789271574982,8.0
10256-1,446.76348408335105,724.4398660829256,549.4612688721331,41.0,220.0,360.54960681975973,279.41056027723374,4.0
10257-1,336.56302416685986,503.8685910714486,422.3554038095771,4.0,268.3627190510694,449.0,356.1869347023219,4.0
10258-1,120.0,390.0,217.08808452953852,152.0,75.0,111.97079801587746,93.48539900793872,2.0
10259-1,160.31588395133952,335.9011969678308,252.1723855500568,13.0,175.7941528849276,175.7941528849276,175.7941528849276,1.0
10260-1,307.919694543663,559.8427929995858,397.47137128603595,71.0,256.4131274563594,391.8977930555711,313.62778981838557,6.0
10261-1,415.9622145291576,759.99,536.7458992452611,76.0,310.29988760248517,360.54960681975973,334.94983147408163,3.0
10262-1,152.60838953060204,450.54170882360404,265.05766564838996,81.0,106.37225811508358,200.0,139.85920335376147,9.0
10264-1,283.62381016222014,600.0,360.803489966327,99.0,246.33575563493042,335.9123940476324,278.5639403502266,5.0
10265-1,115.61241631106215,559.8427929995858,219.6077227966419,1039.0,90.0,976.1737024511422,252.9138043833199,7.0
10266-1,99.99,300.0,156.43966096597137,102.0,75.56125362505459,137.90416560360225,97.30125035762363,7.0
10267-1,100.1974274695872,559.8427929995858,201.39398335037825,134.0,128.52,128.52,128.52,1.0
10268-1,210.4145976861331,372.4061908805172,304.22414042077764,11.0,223.94159603175493,261.57520494766885,242.7584004897119,2.0
10269-1,115.0,186.99,151.6474810015812,215.0,70.0,100.21386422421033,86.59683421230409,3.0
10270-1,203.65,559.8427929995858,293.9846644271052,124.0,172.3888264458251,291.1240748412814,210.4943220862222,10.0
10271-1,61.65995536589981,223.93039895195335,142.65951736669484,273.0,65.50775404941353,100.21386422421033,86.59236286898698,3.0
10272-1,320.8886843833703,558.7342820992285,498.7614793528933,8.0,391.8977930555711,391.8977930555711,391.8977930555711,1.0
